tract_geoid,zcta,share_of_tract_land,is_dominant_zcta,arealand_part,areawater_part,arealand_tract
72001956300,00601,0.9983,True,44991741,90659,45069895
72001956300,00641,0.0017,False,78154,0,45069895
72001956400,00601,0.89,True,33106200,338407,37197511
72001956400,00631,0.11,False,4091311,252497,37197511
72001956500,00601,1.0,True,44705097,159867,44705097
72001956600,00601,1.0,True,1990283,0,1990283
72001956700,00601,1.0,True,1381732,0,1381732
72001956800,00601,0.9109,True,38606629,210359,42381208
72001956800,00731,0.0891,False,3774579,0,42381208
72003430100,00602,0.999,True,14019195,1038568,14032743
72003430100,00676,0.001,False,13548,0,14032743
72003430200,00602,1.0,True,6050837,1288208,6050837
72003430300,00602,1.0,True,1813254,781036,1813254
72003430401,00602,1.0,True,6333923,0,6333923
72003430402,00602,0.9094,True,10828304,418,11907621
72003430402,00610,0.0069,False,82104,0,11907621
72003430402,00676,0.0837,False,997213,0,11907621
72003430501,00602,1.0,True,11030815,0,11030815
72003430502,00602,1.0,True,10551834,1283,10551834
72003430601,00602,0.97,True,9723493,0,10024106
72003430601,00677,0.03,False,300613,0,10024106
72003430602,00602,1.0,True,8178504,1318915,8178504
72003990000,,,False,0,33597561,0
72005400100,00603,0.4608,False,3626634,440724,7870452
72005400100,00690,0.5392,True,4243818,3790,7870452
72005400300,00603,1.0,True,10333209,1453649,10333209
72005400400,00603,1.0,True,6476604,2717115,6476604
72005400501,00603,1.0,True,3665775,10558,3665775
72005400502,00603,1.0,True,5093449,8208,5093449
72005400600,00603,1.0,True,1115790,876,1115790
72005400700,00603,1.0,True,2134643,486760,2134643
72005400800,00603,1.0,True,386759,473405,386759
72005400900,00603,1.0,True,1120757,0,1120757
72005401200,00603,1.0,True,16999831,48067,16999831
72005401301,00603,1.0,True,2268693,0,2268693
72005401303,00603,0.8862,True,12551386,50772,14163793
72005401303,00690,0.1138,False,1612407,4813,14163793
72005401304,00603,1.0,True,3984133,1235,3984133
72005401401,00603,1.0,True,6776512,34318,6776512
72005401402,00603,0.9987,True,10616023,3958,10629962
72005401402,00676,0.0013,False,13939,0,10629962
72005401500,00603,1.0,True,1597648,546891,1597648
72005990000,,,False,0,94842533,0
72007230100,00703,0.8426,True,11019248,5907,13077238
72007230100,00725,0.1574,False,2057990,0,13077238
72007230200,00703,1.0,True,13202149,5271,13202149
72007230300,00703,1.0,True,1777266,1039,1777266
72007230400,00703,0.9618,True,25301045,10622,26305155
72007230400,00956,0.0382,False,1004110,0,26305155
72007230501,00703,1.0,True,8621172,5544,8621172
72007230502,00703,1.0,True,14936524,0,14936524
72009250100,00705,0.8065,True,19046122,0,23614402
72009250100,00786,0.1935,False,4568280,0,23614402
72009250200,00705,1.0,True,17279031,58293,17279031
72009250300,00705,1.0,True,2298425,4641,2298425
72009250400,00705,1.0,True,2896154,1382,2896154
72009250500,00705,1.0,True,5685075,2253,5685075
72009250600,00705,1.0,True,29321380,5324,29321380
72011810100,00610,0.9035,True,40015582,389198,44287965
72011810100,00670,0.0965,False,4272383,57576,44287965
72011810200,00610,0.8041,True,16502856,102906,20524229
72011810200,00680,0.1959,False,4021373,2564,20524229
72011810300,00610,1.0,True,783733,0,783733
72011810400,00610,1.0,True,619568,0,619568
72011810500,00610,1.0,True,11843255,109697,11843255
72011810600,00602,0.0012,False,16554,0,14348695
72011810600,00610,0.9988,True,14332141,320985,14348695
72011810700,00610,0.9543,True,8912831,3387744,9339984
72011810700,00677,0.0457,False,427153,0,9339984
72011990000,,,False,0,10236977,0
72013300101,00612,0.578,True,10532994,50112,18222167
72013300101,00652,0.422,False,7689173,58059,18222167
72013300102,00612,0.1946,False,2173671,0,11169714
72013300102,00652,0.8054,True,8996043,0,11169714
72013300200,00612,1.0,True,18017294,4586819,18017294
72013300301,00612,0.0711,False,399419,0,5617591
72013300301,00616,0.9289,True,5218172,46564,5617591
72013300302,00612,1.0,True,18765551,205770,18765551
72013300400,00612,1.0,True,1832907,2932325,1832907
72013300500,00612,1.0,True,536914,446937,536914
72013300700,00612,1.0,True,816876,1360890,816876
72013300800,00612,1.0,True,1707732,0,1707732
72013301000,00612,1.0,True,3765450,1547804,3765450
72013301100,00612,1.0,True,7055259,746,7055259
72013301200,00612,1.0,True,1952821,0,1952821
72013301300,00612,1.0,True,1112511,0,1112511
72013301400,00612,1.0,True,873592,6683,873592
72013301500,00612,1.0,True,5658620,0,5658620
72013301600,00612,1.0,True,25667311,264916,25667311
72013301700,00612,1.0,True,17355338,15582,17355338
72013301800,00612,1.0,True,25891520,32792,25891520
72013301900,00612,0.648,True,50726527,1391768,78278039
72013301900,00616,0.0669,False,5237679,96516,78278039
72013301900,00688,0.2851,False,22313833,22179,78278039
72013302000,00612,0.0486,False,319050,0,6562479
72013302000,00616,0.9514,True,6243429,419,6562479
72013302100,00616,0.7295,True,11490475,0,15750114
72013302100,00688,0.2705,False,4259639,0,15750114
72013302201,00688,1.0,True,6265677,29148,6265677
72013302202,00688,1.0,True,14563478,3322,14563478
72013302300,00650,0.0506,False,1960361,2339,38740632
72013302300,00688,0.9494,True,36780271,17902,38740632
72013992900,,,False,0,104086237,0
72015280101,00714,1.0,True,17631632,6518,17631632
72015280102,00714,1.0,True,6595305,18534,6595305
72015280201,00714,1.0,True,3453965,216445,3453965
72015280202,00714,0.9987,True,11176751,2568503,11191843
72015280202,00723,0.0013,False,15092,0,11191843
72015991500,,,False,0,50646650,0
72017590100,00612,0.009,False,176895,2412060,19722641
72017590100,00617,0.991,True,19545746,1690094,19722641
72017590200,00617,1.0,True,2418675,0,2418675
72017590300,00617,1.0,True,9921230,0,9921230
72017590400,00617,0.9467,True,15486955,2843,16359349
72017590400,00650,0.0533,False,872394,0,16359349
72017990000,,,False,0,27544453,0
72019952201,00794,1.0,True,9978302,0,9978302
72019952202,00782,0.0804,False,1898996,0,23605686
72019952202,00794,0.9196,True,21706690,71735,23605686
72019952301,00794,1.0,True,12130839,0,12130839
72019952302,00783,0.0564,False,1009283,0,17886907
72019952302,00794,0.9436,True,16877624,0,17886907
72019952400,00794,1.0,True,1983226,0,1983226
72019952500,00794,1.0,True,23129082,6077,23129082
72021030101,00934,0.1432,False,1136003,25858,7933574
72021030101,00960,0.4578,True,3632363,28932,7933574
72021030101,00961,0.3452,False,2738448,116964,7933574
72021030101,00966,0.0538,False,426760,0,7933574
72021030103,00959,1.0,True,543746,0,543746
72021030104,00959,0.5197,True,531674,2078,1023094
72021030104,00969,0.4803,False,491420,0,1023094
72021030105,00959,1.0,True,1695467,12524,1695467
72021030200,00959,1.0,True,1141698,9698,1141698
72021030300,00959,0.2336,False,481271,0,2060560
72021030300,00961,0.7664,True,1579289,45164,2060560
72021030700,00959,1.0,True,248866,0,248866
72021030800,00957,0.1065,False,33968,0,318954
72021030800,00959,0.8935,True,284986,0,318954
72021030901,00959,1.0,True,617978,0,617978
72021030902,00959,1.0,True,788113,0,788113
72021030903,00959,1.0,True,444242,0,444242
72021030904,00957,0.7094,True,364771,0,514209
72021030904,00959,0.2906,False,149438,0,514209
72021031004,00961,1.0,True,719047,0,719047
72021031005,00961,1.0,True,746702,0,746702
72021031011,00961,1.0,True,1127243,0,1127243
72021031021,00961,1.0,True,2317577,0,2317577
72021031023,00957,0.6241,True,603002,0,966150
72021031023,00959,0.3759,False,363148,0,966150
72021031031,00961,1.0,True,1435663,5466,1435663
72021031032,00959,0.1031,False,189328,0,1836249
72021031032,00961,0.8969,True,1646921,0,1836249
72021031033,00959,0.0968,False,146645,0,1514782
72021031033,00961,0.9032,True,1368137,1335,1514782
72021031034,00959,1.0,True,864826,0,864826
72021031035,00959,1.0,True,1167125,0,1167125
72021031101,00956,0.0058,False,5970,0,1023357
72021031101,00957,0.9942,True,1017387,0,1023357
72021031113,00957,1.0,True,901299,0,901299
72021031114,00956,0.0735,False,45479,0,618743
72021031114,00957,0.9265,True,573264,0,618743
72021031121,00957,1.0,True,1150376,249,1150376
72021031122,00957,1.0,True,739947,0,739947
72021031123,00957,1.0,True,836157,0,836157
72021031124,00956,0.3694,False,234455,0,634746
72021031124,00957,0.6306,True,400291,0,634746
72021031125,00956,0.4421,False,413986,0,936509
72021031125,00957,0.5579,True,522523,0,936509
72021031201,00957,1.0,True,381490,0,381490
72021031202,00957,1.0,True,414172,0,414172
72021031203,00957,1.0,True,386925,348,386925
72021031301,00956,0.6413,True,1740899,0,2714759
72021031301,00957,0.3587,False,973860,0,2714759
72021031304,00956,1.0,True,2566558,4254,2566558
72021031305,00956,1.0,True,916947,0,916947
72021031306,00956,0.6527,True,1240347,0,1900218
72021031306,00957,0.3473,False,659871,810,1900218
72021031307,00956,0.5171,True,376070,0,727257
72021031307,00957,0.4829,False,351187,0,727257
72021031401,00956,1.0,True,643908,0,643908
72021031402,00956,0.7535,True,516338,0,685221
72021031402,00957,0.2465,False,168883,0,685221
72021031403,00956,1.0,True,771273,0,771273
72021031501,00959,1.0,True,745876,0,745876
72021031502,00959,1.0,True,550327,0,550327
72021031503,00956,0.1424,False,81866,0,574892
72021031503,00959,0.8576,True,493026,0,574892
72021031611,00956,1.0,True,714276,0,714276
72021031612,00956,1.0,True,1005469,0,1005469
72021031621,00956,0.4022,False,222046,0,552139
72021031621,00959,0.5978,True,330093,0,552139
72021031622,00956,1.0,True,637215,3436,637215
72021031631,00956,0.259,False,175800,0,678807
72021031631,00959,0.741,True,503007,0,678807
72021031632,00956,1.0,True,417375,0,417375
72021031641,00956,1.0,True,450592,0,450592
72021031651,00956,1.0,True,612019,0,612019
72021031701,00956,0.4368,False,1297232,613,2969567
72021031701,00959,0.5632,True,1672335,57493,2969567
