tract_geoid,first_event_year,n_events
72001956500,2021,1
72003430100,2025,1
72003430300,2015,1
72003430501,2026,1
72003430502,2024,1
72003430601,2016,2
72003430602,2023,1
72005400100,2019,6
72005400300,2013,5
72005400400,2021,1
72005400501,2019,2
72005400502,2023,1
72005400700,2015,2
72005401301,2022,1
72005401303,2022,1
72007230200,2023,1
72007230502,2020,2
72011810200,2024,1
72011810700,2016,2
72013300302,2022,1
72013300400,2024,1
72013300800,2022,1
72013302202,2013,1
72017590100,2018,1
72019952500,2023,1
72021030101,2021,3
72021030104,2021,2
72021030105,2022,4
72021030200,2015,1
72021031021,2018,1
72021031033,2022,1
72021031122,2021,1
72021031202,2022,1
72021031501,2023,1
72021032100,2024,1
72023830102,2020,1
72023830201,2022,3
72023830503,2022,1
72023830606,2015,1
72025200100,2025,1
72025200302,2023,1
72025200304,2022,1
72025200305,2020,1
72025200306,2025,1
72025202500,2021,1
72025202602,2022,1
72027320200,2017,1
72029100103,2022,1
72029100700,2025,1
72031050106,2021,10
72031050107,2015,28
72031050111,2018,6
72031050112,2018,2
72031050113,2022,10
72031050211,2012,2
72031050221,2018,8
72031050404,2024,2
72031050405,2022,5
72031050506,2025,1
72031050803,2023,2
72031050812,2020,1
72031051102,2025,1
72033020200,2019,2
72033020423,2021,2
72035260700,2024,1
72035260902,2021,3
72037160202,2019,1
72041240101,2020,1
72041240201,2024,1
72041240602,2024,1
72043954600,2025,1
72045951700,2023,1
72045952000,2023,1
72049950500,2015,6
72051540200,2014,48
72051540401,2016,30
72051540402,2013,112
72051540600,2021,1
72053150102,2018,1
72053150105,2022,1
72053150106,2017,6
72053150601,2023,1
72053150602,2018,1
72055961500,2024,1
72061040200,2023,1
72061040301,2022,2
72061040302,2021,3
72061040303,2021,3
72061040304,2021,3
72061040411,2017,6
72061040412,2013,1
72061040443,2016,3
72061040444,2023,2
72061040446,2021,1
72061040500,2019,2
72061040603,2024,1
72061040604,2017,6
72061041000,2022,2
72061041100,2021,4
72063210504,2022,1
72063210506,2025,1
72065310200,2017,2
72069180302,2023,1
72069180600,2025,1
72069180901,2026,1
72069180903,2012,138
72069180904,2021,4
72071410100,2017,2
72071410300,2019,5
72071410401,2013,14
72071410403,2012,3
72071410701,2023,1
72071410703,2022,1
72075710901,2023,1
72077500100,2018,1
72079850400,2019,2
72083959900,2021,1
72085190302,2020,2
72087110200,2020,2
72089140101,2020,7
72089140201,2023,3
72089140202,2019,1
72089140300,2020,7
72091570100,2021,1
72091570201,2014,1
72091570300,2021,1
72095951400,2021,1
72097080600,2022,2
72097081501,2020,1
72097081800,2020,1
72097081900,2025,1
72097082001,2022,2
72097082103,2023,1
72099420100,2025,1
72101955401,2022,1
72103170200,2023,2
72103170300,2016,4
72105520500,2021,1
72109290100,2022,1
72111730400,2017,1
72111730800,2014,1
72113070502,2020,1
72113071602,2024,1
72113072202,2018,1
72115330100,2021,1
72117959401,2014,26
72117959402,2020,1
72117959500,2020,10
72117959602,2018,6
72119130101,2019,19
72119130102,2021,12
72119130200,2015,14
72119130300,2021,1
72119130602,2025,1
72119130701,2024,1
72119130703,2023,1
72119130704,2022,1
72121960700,2019,1
72127000400,2021,2
72127000506,2019,15
72127000600,2017,9
72127000700,2013,38
72127000900,2014,43
72127001001,2014,49
72127001002,2015,21
72127001100,2018,32
72127001200,2013,30
72127001400,2023,1
72127001500,2018,6
72127001600,2014,39
72127001800,2016,13
72127001900,2017,15
72127002002,2023,1
72127002100,2023,5
72127002600,2025,1
72127002800,2025,1
72127003000,2022,1
72127003702,2026,1
72127003800,2021,1
72127003902,2013,7
72127004200,2023,1
72127005405,2022,1
72127005500,2021,1
72127005601,2024,1
72127005602,2024,1
72127005900,2023,1
72127006101,2023,1
72127006102,2025,1
72127006301,2022,1
72127006302,2016,3
72127006500,2023,1
72127006701,2018,1
72127006702,2022,1
72127006800,2019,1
72127006900,2022,1
72127007300,2025,1
72127007600,2020,1
72127007900,2021,2
72127008100,2014,1
72127008202,2023,2
72127008500,2021,1
72127008700,2025,1
72127009112,2024,1
72127009300,2024,1
72127009624,2021,1
72127009800,2019,4
72127009901,2021,1
72127009903,2022,1
72127009904,2016,1
72127010002,2022,4
72127010045,2021,1
72127010100,2020,6
72127010200,2016,2
72127010500,2019,3
72129220300,2016,1
72135510101,2014,2
72135510200,2022,1
72135510503,2024,1
72135510701,2021,3
72137121400,2019,4
72139060102,2024,1
72139060302,2020,3
72139060403,2021,3
72139060501,2023,1
72143550101,2018,13
72143550103,2018,27
72145560204,2019,2
72145560600,2024,1
72145560900,2025,1
72147950500,2015,6
72147950600,2012,3
72151950602,2021,2
72151950700,2017,1
72151951300,2021,4
72153750602,2024,1
