tract_geoid,year,sales_n,entity_n,port10_n,port25_n
72001956300,2000,9,0,0,0
72001956300,2001,17,0,0,0
72001956300,2002,11,0,0,0
72001956300,2003,13,0,0,0
72001956300,2004,13,0,0,0
72001956300,2005,14,0,0,0
72001956300,2006,21,0,0,0
72001956300,2007,13,0,0,0
72001956300,2008,17,0,0,0
72001956300,2009,11,0,0,0
72001956300,2010,18,0,0,0
72001956300,2011,22,0,0,0
72001956300,2012,12,0,0,0
72001956300,2013,17,0,0,0
72001956300,2014,13,0,0,0
72001956300,2015,12,0,0,0
72001956300,2016,18,0,0,0
72001956300,2017,16,0,0,0
72001956300,2018,14,0,0,0
72001956300,2019,16,0,0,0
72001956300,2020,17,0,0,0
72001956300,2021,29,0,0,0
72001956300,2022,37,0,0,0
72001956300,2023,37,2,0,0
72001956300,2024,31,0,0,0
72001956300,2025,21,1,0,0
72001956300,2026,7,1,0,0
72001956400,2000,7,0,0,0
72001956400,2001,10,0,0,0
72001956400,2002,9,0,0,0
72001956400,2003,11,0,0,0
72001956400,2004,7,0,0,0
72001956400,2005,22,1,0,0
72001956400,2006,1,0,0,0
72001956400,2007,10,0,0,0
72001956400,2008,11,0,0,0
72001956400,2009,13,0,0,0
72001956400,2010,4,0,0,0
72001956400,2011,10,0,0,0
72001956400,2012,12,2,0,0
72001956400,2013,11,0,0,0
72001956400,2014,7,0,0,0
72001956400,2015,6,0,0,0
72001956400,2016,12,0,0,0
72001956400,2017,7,0,0,0
72001956400,2018,12,0,0,0
72001956400,2019,14,0,0,0
72001956400,2020,19,0,0,0
72001956400,2021,22,0,0,0
72001956400,2022,31,3,3,0
72001956400,2023,17,2,0,0
72001956400,2024,24,0,0,0
72001956400,2025,21,0,0,0
72001956400,2026,5,0,0,0
72001956500,2000,3,0,0,0
72001956500,2001,11,0,0,0
72001956500,2002,9,0,0,0
72001956500,2003,11,0,0,0
72001956500,2004,7,0,0,0
72001956500,2005,15,0,0,0
72001956500,2006,6,0,0,0
72001956500,2007,7,1,0,0
72001956500,2008,9,0,0,0
72001956500,2009,2,0,0,0
72001956500,2010,5,0,0,0
72001956500,2011,13,0,0,0
72001956500,2012,6,0,0,0
72001956500,2013,12,0,0,0
72001956500,2014,16,0,0,0
72001956500,2015,9,1,0,0
72001956500,2016,10,0,0,0
72001956500,2017,9,0,0,0
72001956500,2018,13,0,0,0
72001956500,2019,9,1,0,0
72001956500,2020,9,1,0,0
72001956500,2021,20,0,0,0
72001956500,2022,21,0,0,0
72001956500,2023,18,0,0,0
72001956500,2024,19,3,0,0
72001956500,2025,17,2,0,0
72001956500,2026,4,1,0,0
72001956600,2000,6,0,0,0
72001956600,2001,6,0,0,0
72001956600,2002,5,0,0,0
72001956600,2003,11,0,0,0
72001956600,2004,5,0,0,0
72001956600,2005,14,0,0,0
72001956600,2006,6,0,0,0
72001956600,2007,9,0,0,0
72001956600,2008,2,0,0,0
72001956600,2009,10,0,0,0
72001956600,2010,7,0,0,0
72001956600,2011,21,0,0,0
72001956600,2012,6,0,0,0
72001956600,2013,9,0,0,0
72001956600,2014,6,0,0,0
72001956600,2015,3,0,0,0
72001956600,2016,5,0,0,0
72001956600,2017,4,0,0,0
72001956600,2018,13,0,0,0
72001956600,2019,9,1,0,0
72001956600,2020,6,0,0,0
72001956600,2021,9,0,0,0
72001956600,2022,9,0,0,0
72001956600,2023,8,0,0,0
72001956600,2024,8,1,0,0
72001956600,2025,11,0,0,0
72001956600,2026,1,0,0,0
72001956700,2000,2,0,0,0
72001956700,2001,6,0,0,0
72001956700,2002,5,0,0,0
72001956700,2003,5,1,0,0
72001956700,2004,4,0,0,0
72001956700,2005,22,0,0,0
72001956700,2006,13,0,0,0
72001956700,2007,6,0,0,0
72001956700,2008,5,0,0,0
72001956700,2009,8,0,0,0
72001956700,2010,7,0,0,0
72001956700,2011,11,0,0,0
72001956700,2012,6,0,0,0
72001956700,2013,3,0,0,0
72001956700,2014,15,0,0,0
72001956700,2015,9,0,0,0
72001956700,2016,9,0,0,0
72001956700,2017,5,0,0,0
72001956700,2018,13,0,0,0
