tract_geoid,year,purch_oo_n,purch_oo_v,purch_nonoo_n,purch_nonoo_v,purch_hisp_n,purch_hisp_v,purch_hisp_inc,purch_hisp_incn,purch_nonhisp_n,purch_nonhisp_v,purch_nonhisp_inc,purch_nonhisp_incn,refi_n,refi_v,cashout_n,cashout_v,total_n,total_v
72001956300,2019,2,190000,0,0,2,190000,80,2,0,0,0,0,0,0,0,0,2,190000
72001956300,2020,1,145000,0,0,1,145000,64,1,0,0,0,0,0,0,0,0,1,145000
72001956300,2021,3,255000,0,0,3,255000,87,3,0,0,0,0,0,0,0,0,3,255000
72001956300,2022,2,280000,0,0,2,280000,75,2,0,0,0,0,0,0,0,0,3,355000
72001956300,2023,3,285000,0,0,3,285000,119,3,0,0,0,0,0,0,1,145000,4,430000
72001956300,2024,5,585000,0,0,5,585000,248,5,0,0,0,0,0,0,0,0,6,650000
72001956400,2018,2,180000,0,0,2,180000,60,2,0,0,0,0,0,0,1,65000,3,245000
72001956400,2019,3,375000,0,0,3,375000,181,3,0,0,0,0,0,0,1,45000,4,420000
72001956400,2020,1,115000,0,0,1,115000,36,1,0,0,0,0,1,55000,0,0,2,170000
72001956400,2021,3,475000,1,75000,4,550000,247,4,0,0,0,0,2,250000,0,0,7,915000
72001956400,2023,3,495000,0,0,3,495000,247,3,0,0,0,0,0,0,1,255000,4,750000
72001956400,2024,1,35000,0,0,1,35000,20,1,0,0,0,0,0,0,0,0,1,35000
72001956500,2018,2,150000,0,0,2,150000,62,2,0,0,0,0,0,0,0,0,2,150000
72001956500,2019,1,65000,0,0,1,65000,39,1,0,0,0,0,1,135000,3,665000,5,865000
72001956500,2020,2,220000,0,0,2,220000,88,2,0,0,0,0,1,105000,0,0,3,325000
72001956500,2021,1,85000,1,125000,2,210000,265,2,0,0,0,0,2,280000,0,0,4,490000
72001956500,2022,1,65000,0,0,1,65000,21,1,0,0,0,0,0,0,2,220000,4,350000
72001956500,2023,2,110000,0,0,2,110000,40,2,0,0,0,0,0,0,0,0,2,110000
72001956500,2024,1,145000,0,0,1,145000,74,1,0,0,0,0,0,0,0,0,1,145000
72001956600,2018,3,245000,0,0,3,245000,109,3,0,0,0,0,0,0,0,0,3,245000
72001956600,2019,2,150000,0,0,2,150000,133,2,0,0,0,0,0,0,0,0,2,150000
72001956600,2022,4,460000,1,135000,5,595000,306,5,0,0,0,0,0,0,0,0,5,595000
72001956600,2023,1,65000,0,0,1,65000,21,1,0,0,0,0,0,0,0,0,1,65000
72001956700,2018,2,240000,0,0,2,240000,85,2,0,0,0,0,1,125000,0,0,3,365000
72001956700,2019,4,380000,0,0,4,380000,147,4,0,0,0,0,0,0,0,0,4,380000
72001956700,2020,1,75000,0,0,1,75000,23,1,0,0,0,0,0,0,0,0,1,75000
72001956700,2021,3,265000,0,0,3,265000,170,3,0,0,0,0,0,0,0,0,3,265000
72001956700,2022,3,285000,0,0,3,285000,131,3,0,0,0,0,0,0,0,0,3,285000
72001956800,2018,1,135000,0,0,1,135000,34,1,0,0,0,0,3,365000,1,85000,5,585000
72001956800,2019,1,175000,0,0,1,175000,24,1,0,0,0,0,0,0,0,0,1,175000
72001956800,2020,1,75000,1,145000,2,220000,82,2,0,0,0,0,0,0,0,0,2,220000
72001956800,2021,3,395000,0,0,3,395000,185,3,0,0,0,0,4,290000,0,0,7,685000
72001956800,2022,12,1290000,0,0,12,1290000,541,12,0,0,0,0,0,0,0,0,12,1290000
72001956800,2023,1,165000,1,105000,2,270000,125,2,0,0,0,0,0,0,0,0,2,270000
72001956800,2024,2,210000,0,0,2,210000,98,2,0,0,0,0,0,0,1,125000,3,335000
72003430100,2018,7,665000,0,0,5,545000,207,5,1,75000,18,1,2,120000,0,0,10,890000
72003430100,2019,5,715000,0,0,5,715000,282,5,0,0,0,0,0,0,3,405000,8,1120000
72003430100,2020,6,750000,1,75000,6,750000,401,6,0,0,0,0,0,0,4,740000,11,1565000
72003430100,2021,7,905000,0,0,6,670000,274,6,1,235000,94,1,1,95000,6,940000,15,2185000
72003430100,2022,8,1130000,2,150000,9,825000,452,9,1,455000,141,1,0,0,0,0,10,1280000
72003430100,2023,5,1775000,1,75000,4,950000,735,4,1,725000,331,1,1,75000,3,615000,10,2540000
72003430100,2024,4,550000,3,285000,6,650000,412,6,0,0,0,0,0,0,1,85000,8,920000
72003430200,2018,8,620000,6,620000,12,910000,519,12,0,0,0,0,3,405000,3,215000,20,1860000
72003430200,2019,9,755000,7,845000,14,1390000,965,14,1,85000,66,1,2,220000,6,470000,26,2460000
72003430200,2020,20,2080000,3,355000,15,1465000,1114,15,7,875000,721,7,3,195000,5,505000,31,3135000
72003430200,2021,27,3595000,4,910000,23,3005000,1469,23,5,915000,1153,5,3,405000,9,1455000,44,6460000
72003430200,2022,15,1955000,5,345000,18,1860000,1225,18,2,440000,383,2,4,690000,11,1385000,35,4375000
72003430200,2023,6,960000,3,335000,7,855000,587,7,2,440000,270,2,0,0,4,540000,13,1835000
72003430200,2024,7,1195000,5,945000,8,1120000,870,8,2,370000,523,2,2,390000,5,775000,19,3305000
72003430300,2018,7,915000,2,170000,9,1085000,593,9,0,0,0,0,0,0,3,185000,12,1270000
72003430300,2019,4,300000,1,135000,4,300000,106,3,1,135000,94,1,0,0,1,165000,6,600000
72003430300,2020,7,785000,3,435000,10,1220000,832,10,0,0,0,0,0,0,5,555000,15,1775000
72003430300,2021,7,645000,1,255000,5,395000,159,5,3,505000,346,3,1,85000,4,470000,13,1455000
72003430300,2022,8,1010000,6,1010000,12,1620000,854,12,2,400000,546,2,0,0,6,780000,20,2800000
72003430300,2023,6,490000,0,0,5,435000,151,5,0,0,0,0,0,0,1,405000,7,895000
72003430300,2024,3,265000,3,615000,5,655000,459,5,1,225000,175,1,1,195000,0,0,7,1075000
72003430401,2018,5,405000,0,0,5,405000,200,5,0,0,0,0,1,55000,3,245000,9,705000
72003430401,2019,3,345000,0,0,3,345000,124,3,0,0,0,0,3,265000,5,725000,11,1335000
72003430401,2020,3,335000,0,0,3,335000,108,3,0,0,0,0,4,440000,2,80000,9,855000
72003430401,2021,10,1060000,1,205000,11,1265000,511,11,0,0,0,0,3,385000,2,320000,16,1970000
72003430401,2022,4,470000,0,0,4,470000,141,4,0,0,0,0,1,145000,1,65000,6,680000
72003430401,2023,1,105000,0,0,1,105000,56,1,0,0,0,0,0,0,2,420000,3,525000
72003430401,2024,3,455000,1,185000,4,640000,295,4,0,0,0,0,0,0,1,95000,5,735000
72003430402,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,65000,1,175000,2,240000
72003430402,2019,3,295000,1,95000,4,390000,258,4,0,0,0,0,1,65000,2,180000,7,635000
72003430402,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205000
72003430402,2021,3,495000,1,65000,3,365000,134,3,0,0,0,0,0,0,0,0,4,560000
72003430402,2022,1,105000,0,0,1,105000,44,1,0,0,0,0,0,0,0,0,1,105000
72003430402,2023,3,405000,1,155000,4,560000,264,4,0,0,0,0,0,0,2,180000,7,885000
72003430402,2024,2,220000,2,310000,4,530000,237,4,0,0,0,0,0,0,1,205000,5,735000
72003430501,2018,8,1320000,1,155000,9,1475000,769,9,0,0,0,0,2,440000,5,865000,18,2880000
72003430501,2019,13,1925000,1,55000,14,1980000,771,14,0,0,0,0,1,115000,4,430000,20,2630000
72003430501,2020,12,2140000,0,0,12,2140000,886,12,0,0,0,0,9,1205000,3,505000,25,4095000
72003430501,2021,19,2865000,2,330000,16,2290000,789,16,3,575000,301,3,7,885000,6,860000,35,5015000
72003430501,2022,9,2265000,3,695000,11,2635000,1259,11,1,325000,317,1,1,125000,2,190000,15,3275000
72003430501,2023,8,1660000,0,0,7,1395000,380,7,1,265000,119,1,0,0,4,390000,13,2135000
72003430501,2024,10,2940000,1,175000,10,2890000,997,10,0,0,0,0,0,0,6,1120000,19,4485000
72003430502,2018,0,0,1,135000,1,135000,195,1,0,0,0,0,1,55000,1,85000,3,275000
72003430502,2019,6,570000,0,0,6,570000,163,6,0,0,0,0,0,0,2,200000,8,770000
72003430502,2020,0,0,1,115000,1,115000,75,1,0,0,0,0,1,115000,1,125000,3,355000
72003430502,2021,0,0,0,0,0,0,0,0,0,0,0,0,2,190000,5,575000,7,765000
