tract_geoid,year,purch_n,purch_v,purch_hisp_n,purch_hisp_v,purch_hisp_inc,purch_hisp_incn,purch_nonhisp_n,purch_nonhisp_v,purch_nonhisp_inc,purch_nonhisp_incn
72001956300,2012,1,68000,1,68000,28,1,0,0,0,0
72001956300,2013,13,1363000,13,1363000,720,13,0,0,0,0
72001956300,2014,2,210000,2,210000,49,2,0,0,0,0
72001956300,2015,8,662000,8,662000,249,8,0,0,0,0
72001956300,2016,1,107000,1,107000,47,1,0,0,0,0
72001956300,2017,2,251000,2,251000,103,2,0,0,0,0
72001956300,2019,2,190000,2,190000,80,2,0,0,0,0
72001956300,2020,1,145000,1,145000,64,1,0,0,0,0
72001956300,2021,3,255000,3,255000,87,3,0,0,0,0
72001956300,2022,2,280000,2,280000,75,2,0,0,0,0
72001956300,2023,3,285000,3,285000,119,3,0,0,0,0
72001956300,2024,5,585000,5,585000,248,5,0,0,0,0
72001956400,2012,1,82000,1,82000,22,1,0,0,0,0
72001956400,2013,4,418000,4,418000,289,4,0,0,0,0
72001956400,2014,1,108000,0,0,0,0,0,0,0,0
72001956400,2015,1,97000,1,97000,18,1,0,0,0,0
72001956400,2016,2,198000,2,198000,54,2,0,0,0,0
72001956400,2017,3,188000,2,132000,34,2,0,0,0,0
72001956400,2018,2,180000,2,180000,60,2,0,0,0,0
72001956400,2019,3,375000,3,375000,181,3,0,0,0,0
72001956400,2020,1,115000,1,115000,36,1,0,0,0,0
72001956400,2021,3,475000,3,475000,114,3,0,0,0,0
72001956400,2023,3,495000,3,495000,247,3,0,0,0,0
72001956400,2024,1,35000,1,35000,20,1,0,0,0,0
72001956500,2012,1,78000,1,78000,63,1,0,0,0,0
72001956500,2013,3,333000,3,333000,95,3,0,0,0,0
72001956500,2014,1,251000,1,251000,130,1,0,0,0,0
72001956500,2016,1,57000,1,57000,21,1,0,0,0,0
72001956500,2017,1,43000,1,43000,19,1,0,0,0,0
72001956500,2018,2,150000,2,150000,62,2,0,0,0,0
72001956500,2019,1,65000,1,65000,39,1,0,0,0,0
72001956500,2020,2,220000,2,220000,88,2,0,0,0,0
72001956500,2021,1,85000,1,85000,23,1,0,0,0,0
72001956500,2022,1,65000,1,65000,21,1,0,0,0,0
72001956500,2023,2,110000,2,110000,40,2,0,0,0,0
72001956500,2024,1,145000,1,145000,74,1,0,0,0,0
72001956600,2012,2,132000,2,132000,45,2,0,0,0,0
72001956600,2014,1,128000,1,128000,52,1,0,0,0,0
72001956600,2015,2,137000,2,137000,57,2,0,0,0,0
72001956600,2016,1,95000,1,95000,49,1,0,0,0,0
72001956600,2017,7,583000,2,234000,114,2,0,0,0,0
72001956600,2018,3,245000,3,245000,109,3,0,0,0,0
72001956600,2019,2,150000,2,150000,133,2,0,0,0,0
72001956600,2022,4,460000,4,460000,145,4,0,0,0,0
72001956600,2023,1,65000,1,65000,21,1,0,0,0,0
72001956700,2012,2,204000,2,204000,45,2,0,0,0,0
72001956700,2013,3,347000,3,347000,107,3,0,0,0,0
72001956700,2014,3,337000,3,337000,83,3,0,0,0,0
72001956700,2016,2,241000,2,241000,121,2,0,0,0,0
72001956700,2017,4,276000,2,175000,69,2,0,0,0,0
72001956700,2018,2,240000,2,240000,85,2,0,0,0,0
72001956700,2019,4,380000,4,380000,147,4,0,0,0,0
72001956700,2020,1,75000,1,75000,23,1,0,0,0,0
72001956700,2021,3,265000,3,265000,170,3,0,0,0,0
72001956700,2022,3,285000,3,285000,131,3,0,0,0,0
72001956800,2012,2,327000,2,327000,120,2,0,0,0,0
72001956800,2013,2,136000,2,136000,68,2,0,0,0,0
72001956800,2014,5,406000,5,406000,177,5,0,0,0,0
72001956800,2015,3,396000,3,396000,273,3,0,0,0,0
72001956800,2017,2,236000,2,236000,131,2,0,0,0,0
72001956800,2018,1,135000,1,135000,34,1,0,0,0,0
72001956800,2019,1,175000,1,175000,24,1,0,0,0,0
72001956800,2020,1,75000,1,75000,27,1,0,0,0,0
72001956800,2021,3,395000,3,395000,185,3,0,0,0,0
72001956800,2022,12,1290000,12,1290000,541,12,0,0,0,0
72001956800,2023,1,165000,1,165000,83,1,0,0,0,0
72001956800,2024,2,210000,2,210000,98,2,0,0,0,0
72003430100,2012,8,1183000,8,1183000,406,8,0,0,0,0
72003430100,2013,9,1101000,9,1101000,354,9,0,0,0,0
72003430100,2014,7,725000,7,725000,248,7,0,0,0,0
72003430100,2015,7,692000,7,692000,219,7,0,0,0,0
72003430100,2016,11,1457000,11,1457000,532,11,0,0,0,0
72003430100,2017,10,1173000,10,1173000,415,10,0,0,0,0
72003430100,2018,7,665000,5,545000,207,5,1,75000,18,1
72003430100,2019,5,715000,5,715000,282,5,0,0,0,0
72003430100,2020,6,750000,6,750000,401,6,0,0,0,0
72003430100,2021,7,905000,6,670000,274,6,1,235000,94,1
72003430100,2022,8,1130000,7,675000,295,7,1,455000,141,1
72003430100,2023,5,1775000,3,875000,558,3,1,725000,331,1
72003430100,2024,4,550000,3,365000,100,3,0,0,0,0
72003430200,2012,9,1106000,9,1106000,509,9,0,0,0,0
72003430200,2013,9,804000,8,724000,305,8,1,80000,68,1
72003430200,2014,8,1088000,8,1088000,512,8,0,0,0,0
72003430200,2015,16,1375000,16,1375000,612,16,0,0,0,0
72003430200,2016,12,989000,12,989000,400,12,0,0,0,0
72003430200,2017,4,368000,4,368000,260,4,0,0,0,0
72003430200,2018,8,620000,7,515000,182,7,0,0,0,0
72003430200,2019,9,755000,9,755000,269,9,0,0,0,0
72003430200,2020,20,2080000,13,1295000,860,13,6,690000,626,6
72003430200,2021,27,3595000,21,2585000,1103,21,3,425000,371,3
72003430200,2022,15,1955000,14,1550000,780,14,1,405000,79,1
72003430200,2023,6,960000,5,695000,316,5,1,265000,225,1
72003430200,2024,7,1195000,6,990000,619,6,1,205000,49,1
72003430300,2012,7,1115000,7,1115000,473,7,0,0,0,0
72003430300,2013,4,504000,3,424000,132,3,1,80000,45,1
72003430300,2014,5,350000,5,350000,124,5,0,0,0,0
72003430300,2015,4,353000,4,353000,167,4,0,0,0,0
72003430300,2016,10,770000,10,770000,448,10,0,0,0,0
72003430300,2017,4,525000,4,525000,165,4,0,0,0,0
72003430300,2018,7,915000,7,915000,294,7,0,0,0,0
72003430300,2019,4,300000,4,300000,106,3,0,0,0,0
72003430300,2020,7,785000,7,785000,557,7,0,0,0,0
72003430300,2021,7,645000,5,395000,159,5,2,250000,198,2
72003430300,2022,8,1010000,8,1010000,421,8,0,0,0,0
72003430300,2023,6,490000,5,435000,151,5,0,0,0,0
72003430300,2024,3,265000,3,265000,109,3,0,0,0,0
72003430401,2012,4,313000,4,313000,127,4,0,0,0,0
72003430401,2014,1,190000,0,0,0,0,1,190000,133,1
72003430401,2015,4,316000,4,316000,120,4,0,0,0,0
72003430401,2016,2,359000,2,359000,178,2,0,0,0,0
72003430401,2017,2,223000,2,223000,45,2,0,0,0,0
72003430401,2018,5,405000,5,405000,200,5,0,0,0,0
72003430401,2019,3,345000,3,345000,124,3,0,0,0,0
72003430401,2020,3,335000,3,335000,108,3,0,0,0,0
72003430401,2021,10,1060000,10,1060000,373,10,0,0,0,0
72003430401,2022,4,470000,4,470000,141,4,0,0,0,0
72003430401,2023,1,105000,1,105000,56,1,0,0,0,0
72003430401,2024,3,455000,3,455000,227,3,0,0,0,0
72003430402,2012,3,259000,3,259000,102,3,0,0,0,0
72003430402,2013,4,407000,4,407000,111,4,0,0,0,0
72003430402,2014,1,98000,1,98000,22,1,0,0,0,0
72003430402,2015,1,103000,1,103000,29,1,0,0,0,0
72003430402,2016,4,505000,4,505000,183,4,0,0,0,0
72003430402,2017,1,79000,1,79000,53,1,0,0,0,0
72003430402,2019,3,295000,3,295000,193,3,0,0,0,0
72003430402,2021,3,495000,2,300000,87,2,0,0,0,0
72003430402,2022,1,105000,1,105000,44,1,0,0,0,0
72003430402,2023,3,405000,3,405000,139,3,0,0,0,0
72003430402,2024,2,220000,2,220000,120,2,0,0,0,0
72003430501,2012,10,1412000,10,1412000,646,10,0,0,0,0
72003430501,2013,11,1323000,11,1323000,622,11,0,0,0,0
72003430501,2014,15,1701000,14,1558000,655,14,0,0,0,0
72003430501,2015,8,811000,8,811000,214,8,0,0,0,0
72003430501,2016,11,1452000,10,1304000,517,10,1,148000,105,1
72003430501,2017,10,1359000,10,1359000,535,10,0,0,0,0
72003430501,2018,8,1320000,8,1320000,484,8,0,0,0,0
72003430501,2019,13,1925000,13,1925000,725,13,0,0,0,0
72003430501,2020,12,2140000,12,2140000,886,12,0,0,0,0
72003430501,2021,19,2865000,16,2290000,789,16,3,575000,301,3
72003430501,2022,9,2265000,9,2265000,962,9,0,0,0,0
72003430501,2023,8,1660000,7,1395000,380,7,1,265000,119,1
72003430501,2024,10,2940000,9,2715000,814,9,0,0,0,0
72003430502,2012,3,216000,3,216000,128,3,0,0,0,0
72003430502,2013,2,166000,2,166000,136,2,0,0,0,0
72003430502,2014,3,324000,3,324000,84,3,0,0,0,0
72003430502,2015,5,341000,5,341000,115,5,0,0,0,0
72003430502,2016,3,243000,3,243000,75,3,0,0,0,0
72003430502,2019,6,570000,6,570000,163,6,0,0,0,0
72003430502,2023,1,385000,1,385000,72,1,0,0,0,0
72003430502,2024,4,540000,4,540000,192,4,0,0,0,0
72003430601,2012,9,907000,9,907000,435,9,0,0,0,0
