tract_geoid,med_hh_inc,med_value,med_rent,poverty,ba_share,renter_share,vacancy,seasonal_share,mainland_share,pop
72001956300,10154.0,84000.0,419.0,0.68845,0.0976,0.23657,0.16126,0.01186,0.02003,4043
72001956400,14583.0,86300.0,394.0,0.43779,0.1061,0.17431,0.2585,0.0311,0.0,2647
72001956500,12083.0,72900.0,443.0,0.63213,0.09604,0.20725,0.228,0.05,0.01087,2944
72001956600,12688.0,128600.0,360.0,0.58859,0.21495,0.50798,0.16258,0.00668,0.00471,2972
72001956700,9974.0,90200.0,360.0,0.54348,0.24435,0.37055,0.17269,0.0,0.01912,2092
72001956800,12515.0,87900.0,395.0,0.5938,0.14728,0.19922,0.20758,0.03108,0.03552,4843
72003430100,17347.0,102400.0,425.0,0.4551,0.17857,0.23635,0.19656,0.10383,0.05526,5139
72003430200,15500.0,96500.0,405.0,0.50873,0.17322,0.30276,0.19885,0.05812,0.07104,5124
72003430300,10713.0,93200.0,309.0,0.58357,0.14461,0.44883,0.23656,0.08746,0.07008,3239
72003430401,13308.0,85900.0,438.0,0.65238,0.1508,0.15458,0.1945,0.07046,0.06957,5433
72003430402,11975.0,68400.0,302.0,0.73307,0.13863,0.14429,0.16322,0.03018,0.0786,4593
72003430501,18635.0,117500.0,653.0,0.44971,0.27099,0.08682,0.11189,0.02962,0.08751,5462
72003430502,11220.0,76800.0,450.0,0.66841,0.13932,0.19101,0.1432,0.05355,0.06328,4804
72003430601,12542.0,85500.0,457.0,0.55211,0.1385,0.18757,0.08574,0.0284,0.05084,5488
72003430602,16875.0,92500.0,446.0,0.48712,0.1187,0.18274,0.19788,0.03257,0.08746,2950
72003990000,,,,,,,,,,0
72005400100,15226.0,107700.0,475.0,0.5052,0.18339,0.28112,0.24659,0.08102,0.06641,5225
72005400300,36250.0,152700.0,711.0,0.24818,0.42471,0.30448,0.25116,0.10012,0.21904,3876
72005400400,10369.0,105200.0,360.0,0.66052,0.12132,0.37248,0.19429,0.05151,0.07944,4821
72005400501,11913.0,119100.0,352.0,0.46793,0.15611,0.29621,0.17124,0.06756,0.08693,3336
72005400502,16425.0,123700.0,439.0,0.49413,0.14577,0.26416,0.26461,0.05411,0.10754,4538
72005400600,7634.0,113800.0,143.0,0.73274,0.1099,0.65523,0.17129,0.05548,0.06725,3628
72005400700,19329.0,121100.0,208.0,0.44268,0.25986,0.36519,0.22039,0.08863,0.04227,2957
72005400800,9194.0,48800.0,435.0,0.71144,0.09213,0.27532,0.36904,0.10171,0.09916,2027
72005400900,10813.0,82200.0,238.0,0.63775,0.13731,0.4163,0.30951,0.07833,0.11693,2882
72005401200,15310.0,98900.0,445.0,0.51567,0.2209,0.2396,0.18262,0.02519,0.07456,3541
72005401301,9350.0,89200.0,199.0,0.6736,0.06459,0.3898,0.17307,0.02542,0.06589,5206
72005401303,17747.0,107700.0,423.0,0.46388,0.19588,0.20699,0.12377,0.01757,0.07885,6493
72005401401,15864.0,99700.0,511.0,0.56887,0.14874,0.06999,0.15949,0.02729,0.07441,5510
72005401402,16168.0,118700.0,465.0,0.46163,0.31028,0.20666,0.16649,0.05288,0.08604,5056
72005401500,7083.39526,108113.38445,231.30952,0.70617,0.16316,0.51069,0.30726,0.09841,0.05716,2869
72005990000,,,,,,,,,,0
72007230100,15734.0,78700.0,419.0,0.54585,0.13772,0.27536,0.21902,0.02716,0.02268,4630
72007230200,18270.0,93900.0,379.0,0.42041,0.25268,0.2469,0.14787,0.0583,0.02242,6201
72007230300,9738.0,90300.0,371.0,0.60081,0.11411,0.55747,0.16351,0.00981,0.01899,3950
72007230400,11927.0,80300.0,417.0,0.56229,0.1166,0.27243,0.11303,0.05363,0.0217,4747
72007230501,14705.0,88700.0,432.0,0.51482,0.17471,0.29443,0.07966,0.01267,0.01217,5011
72007230502,16534.0,85000.0,461.0,0.54987,0.11403,0.22156,0.11803,0.00984,0.02402,4288
72009250100,17946.0,94500.0,246.0,0.4767,0.14136,0.20954,0.08558,0.01991,0.04316,5654
72009250200,17542.0,96500.0,389.0,0.50632,0.20979,0.16618,0.06604,0.02256,0.03315,5852
72009250300,10109.0,74400.0,499.0,0.66887,0.09211,0.14354,0.10607,0.05475,0.09082,3182
72009250400,15446.0,95400.0,344.0,0.54638,0.23169,0.36954,0.25558,0.02416,0.04231,2458
72009250500,16281.0,97900.0,268.0,0.46471,0.24508,0.33839,0.06528,0.0,0.04692,5115
72009250600,14126.0,80100.0,408.0,0.54032,0.18324,0.22816,0.08979,0.02056,0.02179,3900
72011810100,13158.0,86300.0,283.0,0.61173,0.14713,0.13859,0.2508,0.03754,0.0469,2985
72011810200,16250.0,93400.0,463.0,0.48704,0.1449,0.15851,0.13712,0.01073,0.07837,8026
72011810300,15810.0,90500.0,122.0,0.45239,0.18908,0.33859,0.1206,0.0,0.04751,2526
72011810400,11393.0,110500.0,362.0,0.5607,0.06335,0.46322,0.14164,0.0,0.038,1079
72011810500,19600.0,98500.0,348.0,0.35072,0.16555,0.15138,0.15212,0.00864,0.02941,6019
72011810600,14631.0,124400.0,390.0,0.48887,0.2728,0.20556,0.19743,0.01285,0.06061,4042
72011810700,13420.0,75200.0,470.0,0.49792,0.07667,0.16348,0.25583,0.13587,0.04326,4577
72011990000,,,,,,,,,,0
72013300101,17543.0,103400.0,488.0,0.43689,0.18705,0.17724,0.20749,0.03598,0.05761,4999
72013300102,16840.0,99600.0,478.0,0.43661,0.12678,0.22007,0.22095,0.03596,0.01873,5018
72013300200,15125.0,79000.0,388.0,0.50335,0.10604,0.23292,0.27215,0.05736,0.04635,3301
72013300301,13750.0,95700.0,390.0,0.52083,0.1696,0.24305,0.23783,0.0157,0.02217,2661
72013300302,22100.0,128000.0,711.0,0.28441,0.35421,0.14063,0.18078,0.02413,0.02566,5144
72013300400,13000.0,74500.0,376.0,0.52992,0.1076,0.33425,0.22567,0.08128,0.09066,2206
72013300500,7907.0,59700.0,359.0,0.64633,0.06089,0.57556,0.44513,0.0,0.09438,1049
72013300700,13203.0,82000.0,385.0,0.56618,0.17241,0.417,0.31421,0.0,0.04358,2226
72013300800,19090.0,104800.0,256.0,0.46242,0.24937,0.26541,0.18864,0.01399,0.0921,6124
72013301000,23667.0,104700.0,481.0,0.31379,0.3268,0.25074,0.16865,0.01805,0.05271,5976
72013301100,19511.0,98700.0,454.0,0.35931,0.2064,0.29408,0.10294,0.01861,0.08361,8588
72013301200,15230.0,91900.0,449.0,0.54145,0.19401,0.30159,0.15231,0.00807,0.05676,5127
72013301300,3509.0,108300.0,111.0,0.85616,0.14653,0.77395,0.06719,0.0,0.09498,3727
72013301400,14773.0,95100.0,446.0,0.54816,0.17054,0.26527,0.06595,0.03922,0.04242,1556
72013301500,22338.0,102400.0,504.0,0.34786,0.22992,0.25,0.18941,0.01826,0.06356,5459
