PR person-years (stock): 442,722 across 237 zips
Arrivals (consecutive-year moves into a PR zip): 33,686 (within-PR 26,387, off-island 7,299)
New credit-file entries in PR zips: 45,776 (excluded from rates)
Gap reappearances: 7,270 (excluded from rates)

Island-level annual in-migration (note 2005 = no prior year observable):
 year  n_stock  n_in_any  n_in_within_pr  n_in_off_island  rate_in_any  rate_in_within_pr  rate_in_off_island
 2006    24479      2506            2057              449       0.1024             0.0840              0.0183
 2007    26210      2874            2278              596       0.1097             0.0869              0.0227
 2008    26581      3025            2390              635       0.1138             0.0899              0.0239
 2009    26734      2901            2284              617       0.1085             0.0854              0.0231
 2010    23521      2341            1883              458       0.0995             0.0801              0.0195
 2011    23309      2244            1783              461       0.0963             0.0765              0.0198
 2012    23130      2001            1582              419       0.0865             0.0684              0.0181
 2013    22738      2018            1566              452       0.0888             0.0689              0.0199
 2014    22885      1802            1280              522       0.0787             0.0559              0.0228
 2015    22765      1374            1122              252       0.0604             0.0493              0.0111
 2016    22939      1350            1080              270       0.0589             0.0471              0.0118
 2017    22469      1232            1018              214       0.0548             0.0453              0.0095
 2018    22131      1261            1004              257       0.0570             0.0454              0.0116
 2019    22188      1380            1037              343       0.0622             0.0467              0.0155
 2020    21818      1168             881              287       0.0535             0.0404              0.0132
 2021    21411      1347             987              360       0.0629             0.0461              0.0168
 2022    21490      1413            1065              348       0.0658             0.0496              0.0162
 2023    21510      1449            1090              359       0.0674             0.0507              0.0167
