Histories: 523,835 rows / 49,212 consumers (dup ctk-year dropped: 0)
PR person-years at risk (obs t & t+1): 392,846
Attrition person-years (in PR at t<2023, unobserved t+1): 28,320
Zip-year cells: 3,306 | zips: 231

Island-level annual rates:
 year  n_at_risk  n_stay  n_move_any  n_move_within_pr  n_move_off_pr  n_attrit  rate_move_any  rate_move_within_pr  rate_move_off_pr
 2005      22353   19640        2713              2057            656      2057         0.1214               0.0920            0.0293
 2006      22985   20091        2894              2278            616      1491         0.1259               0.0991            0.0268
 2007      24307   21222        3085              2390            695      1898         0.1269               0.0983            0.0286
 2008      25186   22236        2950              2284            666      1394         0.1171               0.0907            0.0264
 2009      22732   20176        2556              1883            673      3996         0.1124               0.0828            0.0296
 2010      21607   19226        2381              1783            598      1907         0.1102               0.0825            0.0277
 2011      21862   19653        2209              1582            627      1444         0.1010               0.0724            0.0287
 2012      21555   19401        2154              1566            588      1575         0.0999               0.0727            0.0273
 2013      21371   19592        1779              1280            499      1366         0.0832               0.0599            0.0233
 2014      21696   20042        1654              1122            532      1187         0.0762               0.0517            0.0245
 2015      21635   19984        1651              1080            571      1129         0.0763               0.0499            0.0264
 2016      21563   19924        1639              1018            621      1375         0.0760               0.0472            0.0288
 2017      21249   19461        1788              1004            784      1220         0.0841               0.0472            0.0369
 2018      21099   19478        1621              1037            584      1027         0.0768               0.0491            0.0277
 2019      20924   19586        1338               881            457      1263         0.0639               0.0421            0.0218
 2020      20306   18864        1442               987            455      1509         0.0710               0.0486            0.0224
 2021      20133   18636        1497              1065            432      1276         0.0744               0.0529            0.0215
 2022      20283   18778        1505              1090            415      1206         0.0742               0.0537            0.0205
