year,n_stock,n_in_any,n_in_within_pr,n_in_off_island,n_new_entry,n_gap_return,rate_in_any,rate_in_within_pr,rate_in_off_island
2005,24414,0,0,0,24414,0,0.0,0.0,0.0
2006,24479,2506,2057,449,2333,0,0.10237346296825851,0.08403121042526247,0.018342252542996037
2007,26210,2874,2278,596,3144,101,0.10965280427317818,0.08691339183517742,0.022739412438000765
2008,26581,3025,2390,635,2219,115,0.11380309243444565,0.08991384823746285,0.02388924419698281
2009,26734,2901,2284,617,1458,139,0.10851350340390514,0.08543427844692153,0.023079224956983616
2010,23521,2341,1883,458,817,187,0.09952808128906084,0.0800561200629225,0.019471961226138344
2011,23309,2244,1783,461,1253,586,0.09627182633317603,0.07649405808915011,0.01977776824402591
2012,23130,2001,1582,419,816,660,0.08651102464332036,0.0683960224816256,0.01811500216169477
2013,22738,2018,1566,452,838,481,0.08875010994810449,0.06887149265546662,0.019878617292637873
2014,22885,1802,1280,522,935,556,0.0787415337557352,0.055931833078435654,0.02280970067729954
2015,22765,1374,1122,252,854,495,0.06035580935646826,0.0492861849330112,0.011069624423457061
2016,22939,1350,1080,270,936,669,0.05885173721609486,0.04708138977287589,0.011770347443218972
2017,22469,1232,1018,214,843,470,0.054831100627531264,0.04530686723930749,0.009524233388223774
2018,22131,1261,1004,257,960,449,0.056978898377841036,0.04536622836744838,0.011612670010392663
2019,22188,1380,1037,343,866,464,0.062195781503515415,0.04673697494140977,0.015458806562105642
2020,21818,1168,881,287,661,403,0.05353377944816207,0.04037950316252636,0.013154276285635714
2021,21411,1347,987,360,771,429,0.06291158750175144,0.04609780019616085,0.016813787305590584
2022,21490,1413,1065,348,823,618,0.06575151233131689,0.04955793392275477,0.016193578408562122
2023,21510,1449,1090,359,835,448,0.06736401673640167,0.050674105067410505,0.016689911668991166
