year,n_at_risk,n_stay,n_move_any,n_move_within_pr,n_move_off_pr,n_attrit,rate_move_any,rate_move_within_pr,rate_move_off_pr
2005,22353,19640,2713,2057,656,2057,0.12137073323491254,0.09202344204357357,0.02934729119133897
2006,22985,20091,2894,2278,616,1491,0.1259082010006526,0.09910811398738308,0.026800087013269525
2007,24307,21222,3085,2390,695,1898,0.12691817172008063,0.09832558522236393,0.028592586497716708
2008,25186,22236,2950,2284,666,1394,0.11712856348765187,0.09068530135789725,0.026443262129754626
2009,22732,20176,2556,1883,673,3996,0.11244061235263066,0.0828347703677635,0.029605841984867147
2010,21607,19226,2381,1783,598,1907,0.1101957698893877,0.0825195538482899,0.027676216041097792
2011,21862,19653,2209,1582,627,1444,0.1010429054981246,0.07236300429969811,0.028679901198426495
2012,21555,19401,2154,1566,588,1575,0.09993041057759221,0.07265135699373695,0.027279053583855253
2013,21371,19592,1779,1280,499,1366,0.08324364793411633,0.059894249216227595,0.023349398717888728
2014,21696,20042,1654,1122,532,1187,0.07623525073746312,0.0517146017699115,0.02452064896755162
2015,21635,19984,1651,1080,571,1129,0.07631153223942685,0.04991911254911024,0.026392419690316617
2016,21563,19924,1639,1018,621,1375,0.07600983165607754,0.04721049946667903,0.028799332189398508
2017,21249,19461,1788,1004,784,1220,0.0841451362417055,0.04724928231916796,0.03689585392253753
2018,21099,19478,1621,1037,584,1027,0.07682828570074411,0.04914924877956301,0.027679036921181097
2019,20924,19586,1338,881,457,1263,0.063945708277576,0.042104760084113936,0.021840948193462054
2020,20306,18864,1442,987,455,1509,0.07101349354870481,0.048606323254210576,0.02240717029449424
2021,20133,18636,1497,1065,432,1276,0.07435553568767694,0.0528982267918343,0.021457308895842648
2022,20283,18778,1505,1090,415,1206,0.07420006902332002,0.053739584874032444,0.02046048414928758
