zip,year,n_at_risk,n_stay,n_move_any,n_move_within_pr,n_move_off_pr,n_attrit,rate_move_any,rate_move_within_pr,rate_move_off_pr
00601,2005,84,78,6,4,2,9,0.07142857142857142,0.047619047619047616,0.023809523809523808
00601,2006,81,77,4,2,2,13,0.04938271604938271,0.024691358024691357,0.024691358024691357
00601,2007,87,81,6,4,2,5,0.06896551724137931,0.04597701149425287,0.022988505747126436
00601,2008,99,92,7,5,2,3,0.0707070707070707,0.050505050505050504,0.020202020202020204
00601,2009,94,87,7,3,4,5,0.07446808510638298,0.031914893617021274,0.0425531914893617
00601,2010,83,80,3,2,1,14,0.03614457831325301,0.024096385542168676,0.012048192771084338
00601,2011,81,78,3,1,2,6,0.037037037037037035,0.012345679012345678,0.024691358024691357
00601,2012,79,76,3,3,0,2,0.0379746835443038,0.0379746835443038,0.0
00601,2013,81,76,5,3,2,6,0.06172839506172839,0.037037037037037035,0.024691358024691357
00601,2014,82,77,5,0,5,10,0.06097560975609756,0.0,0.06097560975609756
00601,2015,83,79,4,2,2,5,0.04819277108433735,0.024096385542168676,0.024096385542168676
00601,2016,81,77,4,0,4,5,0.04938271604938271,0.0,0.04938271604938271
00601,2017,82,74,8,6,2,5,0.0975609756097561,0.07317073170731707,0.024390243902439025
00601,2018,78,76,2,2,0,4,0.02564102564102564,0.02564102564102564,0.0
00601,2019,77,77,0,0,0,3,0.0,0.0,0.0
00601,2020,80,79,1,1,0,5,0.0125,0.0125,0.0
00601,2021,86,79,7,7,0,5,0.08139534883720931,0.08139534883720931,0.0
00601,2022,82,76,6,4,2,7,0.07317073170731707,0.04878048780487805,0.024390243902439025
00602,2005,208,195,13,5,8,16,0.0625,0.02403846153846154,0.038461538461538464
00602,2006,218,210,8,4,4,14,0.03669724770642202,0.01834862385321101,0.01834862385321101
00602,2007,246,219,27,13,14,15,0.10975609756097561,0.052845528455284556,0.056910569105691054
00602,2008,245,234,11,4,7,9,0.044897959183673466,0.0163265306122449,0.02857142857142857
00602,2009,233,217,16,10,6,31,0.06866952789699571,0.04291845493562232,0.02575107296137339
00602,2010,217,209,8,5,3,24,0.03686635944700461,0.02304147465437788,0.013824884792626729
00602,2011,203,198,5,3,2,15,0.024630541871921183,0.014778325123152709,0.009852216748768473
00602,2012,225,204,21,15,6,8,0.09333333333333334,0.06666666666666667,0.02666666666666667
00602,2013,205,195,10,7,3,20,0.04878048780487805,0.03414634146341464,0.014634146341463415
00602,2014,195,186,9,3,6,16,0.046153846153846156,0.015384615384615385,0.03076923076923077
00602,2015,198,184,14,4,10,8,0.0707070707070707,0.020202020202020204,0.050505050505050504
00602,2016,197,184,13,4,9,12,0.06598984771573604,0.02030456852791878,0.04568527918781726
00602,2017,196,185,11,2,9,13,0.05612244897959184,0.01020408163265306,0.04591836734693878
00602,2018,195,186,9,3,6,11,0.046153846153846156,0.015384615384615385,0.03076923076923077
00602,2019,195,187,8,3,5,12,0.041025641025641026,0.015384615384615385,0.02564102564102564
00602,2020,188,183,5,2,3,23,0.026595744680851064,0.010638297872340425,0.015957446808510637
00602,2021,181,174,7,4,3,20,0.03867403314917127,0.022099447513812154,0.016574585635359115
00602,2022,183,178,5,4,1,16,0.0273224043715847,0.02185792349726776,0.00546448087431694
00603,2005,192,173,19,13,6,23,0.09895833333333333,0.06770833333333333,0.03125
00603,2006,198,179,19,11,8,15,0.09595959595959595,0.05555555555555555,0.04040404040404041
00603,2007,198,180,18,12,6,21,0.09090909090909091,0.06060606060606061,0.030303030303030304
00603,2008,210,185,25,15,10,14,0.11904761904761904,0.07142857142857142,0.047619047619047616
00603,2009,203,188,15,11,4,23,0.07389162561576355,0.054187192118226604,0.019704433497536946
00603,2010,201,179,22,15,7,15,0.10945273631840796,0.07462686567164178,0.03482587064676617
00603,2011,201,178,23,15,8,12,0.11442786069651742,0.07462686567164178,0.03980099502487562
00603,2012,190,178,12,10,2,16,0.06315789473684211,0.05263157894736842,0.010526315789473684
00603,2013,204,191,13,9,4,14,0.06372549019607843,0.04411764705882353,0.0196078431372549
00603,2014,204,190,14,11,3,11,0.06862745098039216,0.05392156862745098,0.014705882352941176
00603,2015,205,185,20,10,10,13,0.0975609756097561,0.04878048780487805,0.04878048780487805
00603,2016,207,186,21,12,9,12,0.10144927536231885,0.057971014492753624,0.043478260869565216
00603,2017,194,174,20,6,14,12,0.10309278350515463,0.030927835051546393,0.07216494845360824
00603,2018,192,176,16,9,7,6,0.08333333333333333,0.046875,0.036458333333333336
00603,2019,205,188,17,8,9,11,0.08292682926829269,0.03902439024390244,0.04390243902439024
00603,2020,195,179,16,9,7,14,0.08205128205128205,0.046153846153846156,0.035897435897435895
00603,2021,187,178,9,4,5,11,0.0481283422459893,0.0213903743315508,0.026737967914438502
00603,2022,198,178,20,11,9,12,0.10101010101010101,0.05555555555555555,0.045454545454545456
00604,2005,17,12,5,4,1,1,0.29411764705882354,0.23529411764705882,0.058823529411764705
00604,2006,15,11,4,3,1,0,0.26666666666666666,0.2,0.06666666666666667
00604,2007,12,9,3,1,2,3,0.25,0.08333333333333333,0.16666666666666666
00604,2008,12,7,5,4,1,2,0.4166666666666667,0.3333333333333333,0.08333333333333333
00604,2009,9,5,4,4,0,4,0.4444444444444444,0.4444444444444444,0.0
00604,2010,9,4,5,4,1,1,0.5555555555555556,0.4444444444444444,0.1111111111111111
