zip,n_rows,first_year,last_year
00601,1695,2005,2023
00602,4210,2005,2023
00603,4041,2005,2023
00604,186,2005,2023
00605,1239,2005,2023
00606,655,2005,2023
00607,3,2005,2007
00608,1,2007,2007
00609,2,2013,2014
00610,3504,2005,2023
00611,301,2005,2023
00612,6840,2005,2023
00613,1621,2005,2023
00614,791,2005,2023
00616,1090,2005,2023
00617,2708,2005,2023
00618,1,2006,2006
00619,26,2005,2010
00620,4,2007,2009
00622,785,2005,2023
00623,4550,2005,2023
00624,2590,2005,2023
00625,33,2005,2020
00627,4259,2005,2023
00628,3,2007,2018
00629,29,2005,2023
00630,44,2005,2023
00631,230,2005,2023
00632,19,2005,2022
00633,3,2005,2006
00635,4,2005,2007
00636,47,2005,2018
00637,3072,2005,2023
00638,2341,2005,2023
00639,6,2014,2023
00641,3265,2005,2023
00643,5,2005,2008
00646,5120,2005,2023
00647,511,2005,2023
00648,5,2005,2008
00649,3,2007,2009
00650,1726,2005,2023
00652,640,2005,2023
00653,1491,2005,2023
00654,19,2005,2021
00656,2307,2005,2023
00657,10,2005,2019
00658,1,2007,2007
00659,4377,2005,2023
00660,2425,2005,2023
00661,13,2005,2019
00662,5277,2005,2023
00664,1871,2005,2023
00666,1,2005,2005
00667,2487,2005,2023
00668,1,2009,2009
00669,3466,2005,2023
00670,831,2005,2023
00671,10,2005,2010
00672,10,2005,2011
00673,13,2005,2016
00674,5369,2005,2023
00676,4116,2005,2023
00677,1719,2005,2023
00678,3212,2005,2023
00680,5982,2005,2023
00681,2002,2005,2023
00682,3165,2005,2023
00683,3962,2005,2023
00685,5286,2005,2023
00687,3482,2005,2023
00688,1362,2005,2023
00690,801,2005,2023
00692,4269,2005,2023
00693,5696,2005,2023
00694,1550,2005,2023
00698,4693,2005,2023
00700,3,2006,2008
00701,8,2005,2017
00703,2916,2005,2023
00704,657,2005,2023
00705,3034,2005,2023
00707,1269,2005,2023
00708,3,2005,2006
00709,1,2006,2006
00714,2169,2005,2023
00715,596,2005,2023
00716,3830,2005,2023
00717,2117,2005,2023
00718,2372,2005,2023
00719,3264,2005,2023
00720,2364,2005,2023
00721,341,2005,2023
00723,2629,2005,2023
00724,6,2005,2023
00725,11055,2005,2023
00726,1963,2005,2023
00727,5287,2005,2023
00728,4341,2005,2023
00729,5790,2005,2023
00730,4170,2005,2023
00731,2232,2005,2023
00732,1034,2005,2023
00733,533,2005,2023
00734,40,2005,2022
00735,1352,2005,2023
00736,5027,2005,2023
00737,1344,2005,2023
00738,4301,2005,2023
00739,4364,2005,2023
00740,214,2005,2023
00741,684,2005,2023
00742,14,2005,2019
00743,1,2005,2005
00744,350,2005,2023
00745,5858,2005,2023
00747,2,2009,2010
00749,1,2005,2005
00751,2459,2005,2023
00753,3,2006,2008
00754,3553,2005,2023
00756,4,2005,2008
00757,2535,2005,2023
00758,9,2005,2010
00759,12,2005,2021
00760,1,2005,2005
00761,10,2006,2015
00762,1,2005,2005
00763,8,2005,2012
00764,2,2006,2007
00765,973,2005,2023
00766,2572,2005,2023
00767,3599,2005,2023
00769,3888,2005,2023
00771,4104,2005,2023
00772,1949,2005,2023
00773,2388,2005,2023
00775,158,2005,2023
00776,2,2006,2006
00777,4779,2005,2023
00778,4892,2005,2023
00779,1,2008,2008
00780,2014,2005,2023
00781,3,2016,2018
00782,1980,2005,2023
00783,3986,2005,2023
00784,3475,2005,2023
00785,1371,2005,2023
00786,201,2005,2023
00787,7,2005,2021
00790,3,2005,2007
00791,5112,2005,2023
00792,1224,2005,2023
00793,4,2009,2014
00794,3279,2005,2023
00795,4268,2005,2023
00796,6,2005,2021
00797,4,2005,2007
00798,3,2005,2007
00900,1,2005,2005
00901,915,2005,2023
00902,514,2005,2023
00906,76,2005,2021
00907,3126,2005,2023
00908,476,2005,2023
00909,769,2005,2023
00910,491,2005,2023
00911,1232,2005,2023
00912,1003,2005,2023
00913,503,2005,2023
00914,260,2005,2023
00915,2996,2005,2023
00916,290,2005,2023
00917,2738,2005,2023
00918,2719,2005,2023
00919,1357,2005,2023
00920,2720,2005,2023
00921,4493,2005,2023
00922,517,2005,2023
00923,3001,2005,2023
00924,6285,2005,2023
00925,809,2005,2023
00926,13382,2005,2023
00927,2455,2005,2023
00928,742,2005,2023
00929,510,2005,2023
00930,19,2005,2012
00931,246,2005,2023
00933,47,2005,2023
00934,121,2005,2023
00936,1782,2005,2023
00937,116,2005,2023
00939,10,2005,2009
00940,206,2005,2023
00943,2,2008,2009
00946,1,2006,2006
00949,7983,2005,2023
00950,552,2005,2023
00951,1231,2005,2023
00952,1368,2005,2023
00953,7299,2005,2023
00954,1135,2005,2023
00955,1,2009,2009
00956,8269,2005,2023
00957,5553,2005,2023
00958,397,2005,2023
00959,5892,2005,2023
00960,2388,2005,2023
00961,4648,2005,2023
00962,2475,2005,2023
00963,545,2005,2023
00964,6,2007,2011
00965,846,2005,2023
00966,2199,2005,2023
00967,5,2005,2007
00968,728,2005,2023
00969,5383,2005,2023
00970,1963,2005,2023
00971,1991,2005,2023
00972,4,2005,2006
00973,4,2006,2018
00974,10,2005,2023
00975,2,2007,2022
00976,6318,2005,2023
00977,1188,2005,2023
00978,494,2005,2023
00979,3007,2005,2023
00981,67,2005,2023
00982,1421,2005,2023
00983,4820,2005,2023
00984,1133,2005,2023
00985,4897,2005,2023
00986,1216,2005,2023
00987,6151,2005,2023
00988,337,2005,2023
00996,1,2007,2007
00999,3,2005,2007
