zcta,first_event_year,n_events,dose_group
00601,2021,1,1-4
00602,2015,7,5+
00603,2013,19,5+
00610,2016,3,1-4
00612,2022,3,1-4
00617,2018,1,1-4
00622,2015,1,1-4
00623,2020,5,5+
00624,2014,2,1-4
00627,2017,1,1-4
00637,2019,1,1-4
00646,2013,191,5+
00647,2024,1,1-4
00659,2017,2,1-4
00662,2012,26,5+
00667,2019,2,1-4
00670,2021,1,1-4
00674,2014,3,1-4
00676,2025,1,1-4
00677,2014,43,5+
00678,2021,1,1-4
00680,2020,6,5+
00682,2020,2,1-4
00687,2022,1,1-4
00688,2013,1,1-4
00692,2018,40,5+
00693,2019,4,1-4
00698,2024,1,1-4
00703,2020,3,1-4
00707,2021,1,1-4
00716,2018,2,1-4
00718,2016,6,5+
00719,2021,1,1-4
00723,2022,1,1-4
00725,2020,6,5+
00727,2020,3,1-4
00729,2022,2,1-4
00731,2020,1,1-4
00735,2019,1,1-4
00736,2021,4,1-4
00738,2017,10,5+
00739,2020,3,1-4
00745,2015,50,5+
00754,2016,1,1-4
00765,2012,9,5+
00767,2017,7,5+
00769,2025,1,1-4
00771,2020,1,1-4
00772,2020,2,1-4
00773,2019,18,5+
00775,2015,6,5+
00777,2018,1,1-4
00778,2022,2,1-4
00782,2023,2,1-4
00791,2012,146,5+
00794,2023,1,1-4
00795,2023,1,1-4
00901,2013,46,5+
00906,2014,18,5+
00907,2014,126,5+
00909,2014,23,5+
00911,2013,81,5+
00912,2022,4,1-4
00913,2015,23,5+
00915,2013,11,5+
00917,2016,6,5+
00918,2018,7,5+
00920,2021,4,1-4
00921,2014,5,5+
00923,2023,2,1-4
00924,2021,3,1-4
00925,2025,1,1-4
00926,2016,19,5+
00927,2019,4,1-4
00949,2019,4,1-4
00953,2014,6,5+
00956,2024,1,1-4
00957,2021,3,1-4
00959,2015,6,5+
00961,2018,3,1-4
00962,2019,4,1-4
00966,2019,14,5+
00968,2022,4,1-4
00969,2013,20,5+
00971,2021,7,5+
00976,2021,5,5+
00979,2015,56,5+
00983,2012,10,5+
00985,2020,3,1-4
00987,2022,9,5+
