filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,sbp_application,county,state,country,mailing_county,mailing_state,mail_country,taxable_year_end,total_net_worth,identification_type,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,n_business,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,n_hh,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,inicial
2020-RepAct22-001478_Redacted.pdf,2019-05-14 17:05:18.327,FALSE,NA,NA,REDACTED,Dorado,Puerto Rico,U,REDACTED,REDACTED,REDACTED,3,From 25 to 50 million,S,0,0,0,0,0,0,0,0,0,92935,Own,4500000,NA,NA,0,TRUE,2017,2018,0,250000,250000,0,4500000,4500000,0,0,0,0,915233,915233,1,Consulting Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,450000,Yes,20500,NA
2020-RepAct22-002458_Redacted.pdf,2019-05-14 17:05:18.327,FALSE,NA,NA,REDACTED,Dorado,REDACTED,U,REDACTED,REDACTED,REDACTED,REDACTED,From 10 to 25 million,REDACTED,38140,0,49612,0,0,15937,0,0,0,0,Own,2e+06,NA,NA,0,TRUE,2018,2019,1e+05,1e+05,0,2e+06,2e+06,0,0,2e+06,2e+06,75000,75000,0,3,Services,FALSE,TRADING FAMILY OFFICE,FALSE,INVESTMENTS,FALSE,NA,NA,NA,NA,NA,NA,1,NA,250000,Yes,NA,NA
2021-RepAct22-003785_Redacted.pdf,Unable to extract - field not clearly visible in document,FALSE,NA,NA,REDACTED,NA,Puerto Rico,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,From 1 to 5 million,REDACTED,531,0,9963,0,9564,2838,0,0,0,0,Own,4e+05,NA,NA,0,TRUE,5000,4000,5000,4000,-1000,0,0,0,0,0,0,0,0,0,1,Manufacturing,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,REDACTED,20000,No,NA,NA
2021-RepAct22-004933_Redacted.pdf,REDACTED,FALSE,NA,NA,REDACTED,San Juan,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,From 1 to 5 million,REDACTED,0,0,0,0,409984,0,0,0,0,0,Rent,NA,750,Carolina,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BUSINESS CONSULTING,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,REDACTED,9000,Yes,5000,NA
2021-RepAct22-004935_Redacted.pdf,2021-04-11 17:05:18.327,FALSE,NA,NA,REDACTED,Guaynabo,REDACTED,NA,REDACTED,REDACTED,REDACTED,NA,From 1 to 5 million,NA,0,0,0,0,0,0,0,0,0,0,Own,875000,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,63000,No,NA,NA
2021-RepAct22-005497_Redacted.pdf,2020-01-21 13:29:28.000,FALSE,NA,NA,REDACTED,San Juan,Puerto Rico,REDACTED,REDACTED,REDACTED,REDACTED,NA,From 1 to 5 million,NA,2,0,0,0,2061591,0,0,0,0,0,Rent,NA,5000,San Juan,0,TRUE,2019,2020,86000,140000,54000,0,0,0,525000,2e+05,-325000,120000,50000,-70000,1,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,150000,Yes,5000,NA
2021-RepAct22-005568_Redacted.pdf,2021-10-30 08:55:18.327,FALSE,NA,NA,REDACTED,Rincón,REDACTED,NA,REDACTED,REDACTED,REDACTED,NA,Less than 1 million,NA,1,0,0,0,0,0,0,0,0,0,Rent,NA,1900,Rincón,0,TRUE,2019,2020,8e+05,1e+06,2e+05,250000,0,-250000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,340,50000,No,NA,NA
2021-RepAct22-005716_Redacted.pdf,2021-11-29 12:18:00.000,FALSE,NA,NA,REDACTED,San Juan,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Less than 1 million,REDACTED,203,0,247407.5,0,0,0,0,130000,0,0,Own,550000,NA,NA,0,TRUE,2019,2020,0,387030,387030,550000,550000,0,0,0,0,0,0,0,1,Business Consulting,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36000,No,NA,NA
2021-RepAct22-005719_Redacted.pdf,2019-05-14 17:05:18.327,TRUE,"business_name_1, individual's_decree_number","Island Living Investment LLC, 17-20-S-001",REDACTED,San Juan,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Less than 1 million,REDACTED,203,0,247407.5,0,0,0,0,236254.21,0,0,Own,550000,NA,NA,0,TRUE,2019,2020,0,0,0,550000,550000,0,0,0,0,0,0,0,1,Business Consulting,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,170,36000,No,NA,NA
2021-RepAct22-005893_Redacted.pdf,2020-10-13 17:05:18.327,TRUE,"business_decree_number_4, business_decree_number_5","13-20-S-012, 13-20-S-012",REDACTED,Dorado,Puerto Rico,U,REDACTED,REDACTED,REDACTED,31-12-2020,From 10 to 25 million,S,32188,0,968242,0,1278982,600,0,3015,0,4926,Own,2342308,NA,NA,1,TRUE,2019,2020,818658,100908,-717750,10306289,10306289,0,1e+06,1e+06,0,0,0,0,6,Real Estate/Property,FALSE,Real Estate/Property,FALSE,HOLDING COMPANY,FALSE,ADVISORY/CONSULTING/INVESTMENT BANKING,TRUE,ADVISORY AND INSURANCE,TRUE,Real Estate/Property,FALSE,1,NA,186500,Yes,3087,NA
