filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,date_of_decree,decree_year,county,state,physical_address,mailing_address,mailing_state,mailing_county,taxable_year_end,total_net_worth,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,does_grantee_own_other_real_estate_in_puerto_rico,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,does_grantee_have_a_business_in_puerto_rico,n_business,business_information_table_height,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,business_type_7,business_decree_7,business_type_8,business_decree_8,business_type_9,business_decree_9,household_table_height,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,n_charities,gender
2022-RepAct22-000005_Redacted.pdf,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From 1 to 5 million,0,0,0,26425,502933,0,0,0,0,0,NA,NA,NA,NA,NA,0,TRUE,2020,2021,40000,40000,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
2022-RepAct22-000007_Redacted.pdf,05/16/2022,FALSE,NA,NA,REDACTED,REDACTED,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,REDACTED,From 10 to 25 million,9032,0,7,0,162208,0,0,96154,266521,0,Own,110000,NA,NA,No,0,TRUE,2020,2021,1e+07,1e+07,0,110000,110000,0,0,0,0,0,0,0,Yes,1,60,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,286,150000,Yes,0,1,REDACTED
2022-RepAct22-000010_Redacted.pdf,05/10/2022,FALSE,NA,NA,REDACTED,REDACTED,San Juan,PR,"San Juan, PR","San Juan, PR",PR,San Juan,REDACTED,From 10 to 25 million,0,0,33375,0,2634109.96,0,0,0,0,288985,Rent,NA,1900,NA,NA,0,TRUE,2020,2021,5000,3000,-2000,0,0,0,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,249,60000,Yes,0,1,REDACTED
2022-RepAct22-000012_Redacted.pdf,05/11/2022,FALSE,NA,NA,REDACTED,REDACTED,Humacao,NA,"Humacao,","Humacao,",NA,Humacao,REDACTED,From 1 to 5 million,350,0,197149,0,1526992,0,0,60000,0,53591,Rent,NA,3000,NA,NA,0,TRUE,2020,2021,125000,2900000,2775000,0,0,0,0,0,0,0,0,0,Yes,1,50,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,260,60000,Yes,0,1,REDACTED
2022-RepAct22-000014_Redacted.pdf,05/10/2022,FALSE,NA,NA,REDACTED,REDACTED,San Juan,Puerto Rico,"San Juan, Puerto Rico","San Juan, Puerto Rico",Puerto Rico,San Juan,REDACTED,From 1 to 5 million,0,0,138180,0,0,0,0,20000,0,0,Own,292000,NA,NA,No,0,TRUE,2020,2021,0,0,0,3e+05,294000,-6000,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,281,110000,No,0,0,REDACTED
2022-RepAct22-000015_Redacted.pdf,11/07/2022,FALSE,NA,NA,REDACTED,REDACTED,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,REDACTED,From 1 to 5 million,18072,0,0,0,784688,38566,0,0,0,0,Own,395000,NA,NA,No,0,TRUE,2020,2021,0,0,0,0,395000,395000,0,0,0,0,0,0,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,199,25000,No,0,0,REDACTED
2022-RepAct22-000016_Redacted.pdf,05/10/2022,FALSE,NA,NA,REDACTED,REDACTED,San Juan,Puerto Rico,"San Juan, Puerto Rico","San Juan, Puerto Rico",Puerto Rico,San Juan,REDACTED,From 1 to 5 million,725,0,552921,0,0,0,0,20000,0,0,Own,1500000,NA,NA,No,0,TRUE,2020,2021,0,6e+05,6e+05,424000,1500000,1076000,0,0,0,0,0,0,Yes,1,40,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,312,157048,No,0,0,REDACTED
2022-RepAct22-000018_Redacted.pdf,12/20/2022,FALSE,NA,NA,06/12/2017,2017,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,Less than 1 million,0,0,8,0,73,0,9000,98666,0,0,Own,1500000,NA,NA,No,0,TRUE,2020,2021,90000,90000,0,1500000,1861101,361101,35000,42490,7490,35000,8000,-27000,Yes,1,40,Real Estate/Property,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,328,250000,Yes,5030,3,REDACTED
2022-RepAct22-000019_Redacted.pdf,05/10/2022,FALSE,NA,NA,REDACTED,REDACTED,San Juan,Puerto Rico,"San Juan, Puerto Rico","San Juan, Puerto Rico",Puerto Rico,San Juan,REDACTED,From 1 to 5 million,0,0,0,0,120000,0,0,0,0,57766,Rent,NA,2750,NA,NA,0,TRUE,2018,2019,0,5e+05,5e+05,0,0,0,0,0,0,0,5e+05,5e+05,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,309,10800,Yes,0,1,REDACTED
2022-RepAct22-000020_Redacted.pdf,05/10/2022,FALSE,NA,NA,REDACTED,REDACTED,SAN JUAN,PR,"SAN JUAN, PR","SAN JUAN, PR",PR,SAN JUAN,REDACTED,From 1 to 5 million,0,0,0,0,138525,0,0,80599,0,0,Rent,NA,6500,NA,NA,0,TRUE,2019,2020,0,0,0,1565000,1700000,135000,628112,1460330,832218,0,0,0,Yes,1,75,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,284,70000,No,0,0,REDACTED
2022-RepAct22-000021_Redacted.pdf,05/11/2022,FALSE,NA,NA,REDACTED,REDACTED,San Juan,PUERTO RICO,"San Juan, PUERTO RICO","San Juan, PUERTO RICO",PUERTO RICO,San Juan,REDACTED,From 5 to 10 million,100,1696,0,0,0,0,0,70000,0,0,Own,2500000,NA,NA,Yes,0,TRUE,2020,2021,127000,0,-127000,2400000,2500000,1e+05,0,0,0,5900000,5900000,0,Yes,1,60,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,363,6e+05,Yes,0,2,REDACTED
2022-RepAct22-000024_Redacted.pdf,05/25/2022,FALSE,NA,NA,REDACTED,REDACTED,San Juan,PR,"San Juan, PR","San Juan, PR",PR,San Juan,REDACTED,From 10 to 25 million,6054,0,74905,0,637184,0,0,0,0,13,Own,1300000,NA,NA,No,0,TRUE,2020,2021,8000,8000,0,1300000,1300000,0,0,0,0,3000,3000,0,Yes,1,80,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,215,84027.5,No,0,0,REDACTED
