filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,date_of_decree,decree_year,county,state,physical_address,mailing_address,mailing_state,mailing_county,taxable_year_end,total_net_worth,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,does_grantee_own_other_real_estate_in_puerto_rico,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,does_grantee_have_a_business_in_puerto_rico,n_business,business_information_table_height,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,business_type_7,business_decree_7,business_type_8,business_decree_8,business_type_9,business_decree_9,business_type_10,business_decree_10,business_type_11,business_decree_11,business_type_12,business_decree_12,business_type_13,business_decree_13,business_type_14,business_decree_14,business_type_15,business_decree_15,household_table_height,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated,n_charities,gender
2022-RepAct22-000004_Redacted (1).pdf,NA,FALSE,NA,NA,06/22/2019,2019,San Juan,Puerto Rico,"San Juan, Puerto Rico","San Juan, PR",PR,San Juan,12/31/2021,Less than 1 million,14623.5,0,1511,0,10075,0,0,0,0,116073,Own,125000,NA,NA,No,0,TRUE,2020,2021,0,766857,766857,0,0,0,0,0,0,0,0,0,Yes,1,40,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,209,25000,Yes,0,1,REDACTED
2022-RepAct22-008192_Redacted-2.pdf,01/12/2023,FALSE,NA,NA,02/01/2020,2020,San Juan,Puerto Rico,"San Juan, Puerto Rico","San Juan, Puerto Rico",Puerto Rico,San Juan,//,From 5 to 10 million,0,0,0,0,4027930,0,0,0,0,0,Rent,NA,1800,"San Juan, PR",NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,238,1e+05,Sí,0,1,REDACTED
2022-RepAct22-008351_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,02/11/2018,2018,San Juan,PR,"San Juan, PR","San Juan, PR",PR,San Juan,12/31/2021,Less than 1 million,0,0,55215,0,48467,48467,0,54300,7500,0,Rent,NA,2800,NA,NA,0,TRUE,2020,2021,240000,150000,-90000,0,0,0,0,0,0,0,0,0,Yes,1,50,Service,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,189,21000,Yes,0,1,REDACTED
2022-RepAct22-008433_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,02/04/2019,2019,DORADO,PR,"DORADO, PR","DORADO, PR",PR,DORADO,12/31/2021,From 1 to 5 million,248,0,0,0,771335,28,0,144050,0,28111,Own,7500000,NA,NA,No,0,TRUE,2020,2021,211378,0,-211378,5e+06,7500000,2500000,0,0,0,0,0,0,Yes,1,45,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,365,250000,Yes,0,2,REDACTED
2022-RepAct22-008441_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,01/01/2021,2021,Dorado,PR,"Dorado, PR","Dorado, PR",PR,Dorado,12/31/2021,More than 100 million,0,0,0,0,0,0,0,0,0,0,Own,4e+06,NA,NA,Yes,0,TRUE,2020,2021,1e+06,1e+06,0,4e+06,5e+06,1e+06,2.5e+07,3.6e+07,1.1e+07,75000,70000,-5000,Yes,1,160,Other,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,185,1400000,Yes,0,1,REDACTED
2022-RepAct22-008456_Redacted.pdf,01/17/2023,FALSE,NA,NA,01/14/2014,2014,SAN JUAN,PUERTO RICO,"SAN JUAN, PUERTO RICO","SAN JUAN, PR",PR,SAN JUAN,12/31/2021,From 10 to 25 million,97582,0,8475794,0,31056,0,0,24300,0,19319,Own,2500000,NA,NA,No,0,TRUE,2020,2021,0,1.5e+07,1.5e+07,0,3800000,3800000,0,1.5e+07,1.5e+07,1250000,0,-1250000,Yes,1,35,Financial,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,226,5e+05,Yes,341585,3,REDACTED
2022-RepAct22-008464_Redacted (1).pdf,01/05/2023,FALSE,NA,NA,REDACTED,NA,Dorado,Puerto Rico,"Dorado, Puerto Rico","Dorado, Puerto Rico",Puerto Rico,Dorado,REDACTED,From 1 to 5 million,12,0,15793,0,15781,0,0,16666,0,0,Rent,NA,12000,NA,NA,0,TRUE,2020,2021,0,6e+05,6e+05,0,0,0,0,6e+05,6e+05,0,0,0,Yes,1,40,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,159,108000,No,0,0,REDACTED
2022-RepAct22-008474_Redacted (1).pdf,01/31/2023,FALSE,NA,NA,12/29/2020,2020,DORADO,PUERTO RICO,"DORADO, PUERTO RICO","DORADO, PUERTO RICO",PUERTO RICO,DORADO,12/31/2021,From 5 to 10 million,8458,0,1804649,0,1191,0,0,52150,0,0,Rent,NA,8900,NA,NA,0,TRUE,2020,2021,0,1500000,1500000,0,0,0,0,0,0,0,0,0,Yes,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,245,50000,Yes,15000,3,NA
2022-RepAct22-008506_Redacted (1).pdf,01/17/2023,FALSE,NA,NA,02/01/2019,2019,GUAYNABO,PR,"GUAYNABO, PR","GUAYNABO, PR",PR,GUAYNABO,12/31/2021,From 1 to 5 million,0,0,0,0,92115,0,0,308818,0,0,Rent,NA,1250000,"DORADO , PR",NA,0,TRUE,2020,2021,1e+05,48866,-51134,0,1250000,1250000,81000,0,-81000,0,72300,72300,Yes,1,35,REDACTED,REDACTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,240,20000,Yes,0,1,REDACTED
2022-RepAct22-008510_Redacted.pdf,01/17/2023,FALSE,NA,NA,03/05/2021,2021,San Juan,Puerto Rico,"San Juan, Puerto Rico","San Juan, Puerto Rico",Puerto Rico,San Juan,//,From 1 to 5 million,1,0,9,0,0,25684,15000,0,0,1004,Own,750000,NA,NA,No,0,TRUE,2020,2021,0,180000,180000,0,50000,50000,0,125000,125000,0,30000,30000,Yes,1,45,Other,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,243,50000,No,0,0,NA
