year,n_total,n_core,n_broad,n_clust2,n_clust3
2000,12562,127,165,46,21
2001,13844,146,198,66,38
2002,17581,200,279,111,58
2003,20343,208,269,90,49
2004,23261,355,455,165,107
2005,24146,371,515,188,98
2006,19999,345,470,164,66
2007,18236,386,518,239,84
2008,18599,315,434,148,75
2009,13954,216,326,125,50
2010,14461,227,342,94,56
2011,17069,244,339,140,73
2012,15101,333,468,202,96
2013,13669,302,463,187,129
2014,14056,946,1126,754,176
2015,15216,633,797,369,225
2016,15486,476,660,270,137
2017,13551,465,603,286,118
2018,18579,672,938,428,216
2019,20397,956,1182,434,196
2020,19864,939,1125,475,158
2021,32808,2177,2436,943,465
2022,33860,3023,3238,1164,514
2023,33365,3309,3498,1251,566
2024,31767,3593,3822,1368,569
2025,31503,3629,3835,1248,581
2026,11039,1651,1797,593,327
