municipio,n,value
Lajas,148,600041356628
San Juan,7171,22600742239
Dorado,751,7837986799
Bayamón,1367,3941824659
Rincón,334,2611225900
Salinas,150,2355841261
Humacao,603,1950785835
Isabela,409,1820639304
Luquillo,316,1599333253
Toa Baja,414,1565640175
Fajardo,458,1481343249
Carolina,1554,955322221
Caguas,964,897405368
Guaynabo,851,755463049
Río Grande,541,664725673
Mayagüez,793,620718694
Ponce,1019,496076532
Arecibo,469,410915833
Manatí,270,360246663
Cabo Rojo,679,309672901
Culebra,181,265692031
Cidra,131,205859112
Aguadilla,333,181665198
Aguas Buenas,79,149931349
Canóvanas,162,130147834
Vega Alta,252,124210808
Cataño,128,118759128
Trujillo Alto,242,105486953
Guayama,219,96320010
Las Piedras,117,89004032
Vieques,200,88460147
Juncos,106,68352961
Vega Baja,242,65073749
Juana Díaz,187,64390257
Lares,75,60612659
Santa Isabel,88,59447855
Gurabo,173,55251429
Hatillo,188,54939129
Patillas,67,54582400
San Lorenzo,111,50950605
Toa Alta,210,48751816
Loíza,120,47387456
Cayey,233,47335068
Naguabo,152,44461041
Adjuntas,38,43575528
Añasco,135,42299594
Aguada,143,41921604
Peñuelas,68,40708568
Camuy,121,39988003
San Sebastián,136,39336889
Corozal,122,34321845
Yabucoa,110,33635157
Barceloneta,107,31862498
Yauco,114,31386769
Quebradillas,102,30826243
Coamo,154,30767154
San Germán,95,30524063
Guánica,68,27457150
Barranquitas,87,27391088
Hormigueros,56,26527768
Moca,77,25642524
Aibonito,105,25089807
Ceiba,87,24962606
Morovis,51,21663067
Guayanilla,42,20241410
Naranjito,68,15999028
Ciales,91,13222463
,7,12465527
Villalba,36,12462102
Utuado,66,10652177
Jayuya,43,8808499
Arroyo,156,8166124
Sabana Grande,58,7828802
Orocovis,39,7557600
Comerío,40,7319415
Maricao,32,5289175
Maunabo,36,3938786
Las Marías,28,3061430
Florida,13,1623100
