year,core_n,core_v,broad_n,broad_v,person_n,person_v
2000,127,399691616,38,47044246,12397,3502876807
2001,146,1224391376,52,29137225,13646,7457021484
2002,200,1111024303,79,878707786,17302,11919143747
2003,208,147026228,61,62544042,20074,8950423592
2004,355,828219508,100,43664479,22806,6367146482
2005,371,1459608007,144,935844759,23631,9885507120
2006,345,234651767,125,122115323,19529,7404525490
2007,386,356994344,132,82870703,17718,4283415855
2008,315,485157674,119,140074126,18165,5110632473
2009,216,119834296,110,43051303,13628,2389936626
2010,227,178121580,115,40109154,14119,2725609659
2011,244,1633077296,95,44848093,16730,2925594572
2012,333,341653096,135,84474754,14633,2609205076
2013,302,178009416,161,257864381,13206,2888378969
2014,946,873014575,180,81868510,12930,2232481995
2015,633,548798451,164,72856236,14419,2320520666
2016,476,2335302793,184,67780804,14826,2217070356
2017,465,243004109,138,70995337,12948,2707131744
2018,672,369628989,266,1196902258,17641,2434699274
2019,956,1840269055,226,95746881,19215,4676004487
2020,939,753617308,186,59813738,18739,4377519359
2021,2177,602601362947,259,74112951,30372,7184840564
2022,3023,12126571052,215,75324544,30622,137510108062396
2023,3309,4363714290,189,56375953,29867,9314708594
2024,3593,12003821014,229,128033111,27945,8642438593
2025,3629,6321444783,206,108537318,27668,8857429551
2026,1651,8978007389,146,33956781,9242,11825376945
