mail_address,parcels,value,n_entities,entities
PO BOX 362708 PR PUERTO RICO 00936 2708,534,262158290,20,BANCO POPULA | BANCO POPULAR | BANCO POPULAR D PR | BANCO POPULAR DE P R | BANCO POPULAR DE PR | BANCO POPULAR DE PU | BANCO POPULAR DE PUE | BANCO POPULAR DE PUERTO RICO
261 AVE DOMENECH PR PUERTO RICO 00918 3518,474,336281557,2,COBIAN PLAZA LLC | PLAZA COBIAN LLC
PO BOX 99 PR PUERTO RICO 00677 0099,116,3073868,4,BLSP FUNDING LLC | BSLP FUNDING LLC | PALMAR ARROYO LLC | PALMAR DE ARROYO LLC
EDIF MARAMAR PLAZA SUITE 960 101 AVE SAN PATRICIO PR USA 00968,105,1150182998,8,EJA PPROPIERTY GROUP | EJA PREPETTY GROUP I | EJA PROERTY GROUP I | EJA PROPERTIES GROUP | EJA PROPERTY GROUP | EJA PROPERTY GROUP I | EJA PROPERTY GROUP INC | EJA PROPERTY INC
STE 1040 101 AVE SAN PATRICIO PR ESTADOS UNIDOS 00968 3044,99,137990860,2,METRO P AVIA HOSPITAL GROUP LLC | METRO PAVIA HOSPITAL GROUP LLC
PO BOX 8294 PR 00726 8294,90,5955650,2,FORTALEZ ESJ LLC | FORTALEZA ESJ LLC
PO BOX 13399 PR 00908 3399,89,145270067,3,CABO ROJO LAND ACQUISITION LLC | CABO ROJO LAND ACQUITION LLC | CABO TOJO LAND ACQUISITION LLC
STE 501 53 CALLE PALMERAS EL CARIBE BUILDING PR ESTADOS UNIDOS 00901 2409,87,1636299934,4,BORINQUEN INVESTMENTS LLC | CASA SERENITY LLC | COSTA ISABELA LLC | COSTA ISABELLA LLC
PO BOX 360983 PR PUERTO RICO 00936 0983,83,23372858,3,HILL TOP DEVELOPMENT CORP | PLAZA Q LLC | RREF II BP BDA LLC
VALLE ARRIBA HEIGHTS STA PO BOX 2008 PR 00984 2008,78,9803881,3,PUERTO RICO PROPERTIES SOLUCTIONS LLC | PUERTO RICO PROPERTIES SOLUTION LLC | PUERTO RICO PROPERTIES SOLUTIONS LLC
PO BOX 9146 PR 00908 0146,62,88581376,13,FIRST BANK | FIRST BANK DE PR | FIRST BANK DE PUERTO | FIRST BANK DE PUERTO RICO | FIRST BANK OF PR | FIRST BANK OF PUERTO | FIRST BANK P R | FIRST BANK PR
PO BOX 270005 PR 00928,55,1999993,2,AGF METROPOLITAN HOLDING LLC | AGF METROPOLITAN HOLDINGS LLC
VIG TOWER 1225 AVE PONCE DE LEON STE VS G PR USA 00907 3907,54,3827600,10,CONSTELATION REALTY | CONSTELLA REALTY LLC | CONSTELLATION REALTY | CONSTELLATION REALTY LCC | CONSTELLATION REALTY LLC | CONSTELLATIONG REALTY LLC | CONSTELLATIONS RALTY LLC | CONSTELLATIONS REALTY LLC
PO BOX 13867 PR ESTADOS UNIDOS 00908 3867,54,4732000,2,JACARANDAS INVESTMENT COR | JACARANDAS INVESTMENT CORP
PO BOX 41308 PR 00940 1308,54,12058746,27,CORP DE PROYECTO ENL | CORP DEL PROYECTO | CORP DEL PROYECTO DE | CORP DEL PROYECTO E | CORP DEL PROYECTO EN | CORP DEL PROYECTO ENLACE DEL CA O MARTIN PE A | CORP DEL PROYECTO ENLACE DEL CANO MARTIN PENA | CORP DEL PROYRCTO
EXT COUNTRY CLUB PB45 CALLE 246 PR PUERTO RICO 00982 2760,53,4747620,7,TWIN INVESMENT LLC | TWIN INVESMENTS LLC | TWIN INVESTEMENTS LLC | TWIN INVESTMENT LLC | TWIN INVESTMENTS LLC | TWINS INVESTMENTS LLC | TWIS INESTMENTS LLC
PO BOX 1451 PR PUERTO RICO 00926,50,10162508,2,DORAL BANK | MR 65 INFANTERY LLC
PO BOX 11503 PR PUERTO RICO 00922 1503,45,82274717,15,I A INVEST LLC | I A INVESTMENT LL | I A INVESTMENT LLC | SAMMY ODEH SONS LLC | SAMMY ODEN SONS INC | V P P HOLDING LLC | V PP HOLDING LLC | VP HOLDINGS LLC
PO BOX 1995 PR PUERTO RICO 00729 1995,43,1720000,2,NUEVO AMANECER INC | NUEVO RENACER INC
PO BOX 6960 PR 00726 6960,42,19752116,11,HIRAL INV INC | HIRAL INVESMENTS INC | HIRAL INVESTMEN INC | HIRAL INVESTMENT | HIRAL INVESTMENT COR | HIRAL INVESTMENT INC | HIRAL INVESTMENTS | HIRAL INVESTMENTS I
STE 207 ADLER MEDICAL PLAZA 576 CALLE CESAR GONZALEZ PR ESTADOS UNIDOS 00918 3757,42,3729141,3,ADLEER REALTY | ADLER REALTY INC | ASDLER REALTY INC
PO BOX 883 PR 00623 0883,40,22283350,6,JAMAR S PROPERTIES LLC | JAMARS PROPERTIES LLC | JAMARS PRPERTIES LLC | JR PROPERTIES INC | JR PROPERTIES NC | JR PROPERTY INC
COND PARQUE MONTEVERDE II 609 AVE CONDADO PR PUERTO RICO 00907 3808,40,929108,5,601 609 CONDADO ST LLC | 607 609 CONDADO ST LLC | 607609 CONDADO ST LLC | CONDADO 607 609 LLC | CONDADO 607 609 ST LLC
PO BOX 3705 PR 00970 3705,39,4278387,5,INVERSIONES B TRES | INVERSIONES B TRES I | INVERSIONES B TRES INC | INVERSIONES B TRES INC INMOBILARIAS NAIHOMY INC | INVESRSIONES B TRES INC
PO BOX 35047 PR 00936 5047,35,9760599,8,REAL ESTATE INC | REAL STATE CORP | X X REAL ESTATE INC | X X REAL ESTATES INC | X X REAL STATE INC | X X REMESTMTE INC | XX REAL ESTATE INC | XX REAL ESTATES INC
500 N BROADWAY SUITE 201 ATTN PROPERTY TAX DEPT NY UNITED STATES 11753 2122,35,40118216,5,BANCO POPULAR | BANCO POPULAR DE P R | BANCO POPULAR DE PR | BANCO POPULAR DE PUERTO RICO | SANRRY REALTY INC
FERNANDEZ JUNCOS PO BOX 11138 PR PR 00910 2238,34,1476431618,2,ROSADELA DEL MAR LLC | ROSALEDA DEL MAR LLC
603 CALLE HIPODROMO PR PUERTO RICO 00909 2148,34,1579043,7,M R D OFFICE 3 INC | MRD OFFICE 2 INC | MRD OFFICE INC | PIT OFFICE 3 INC | SAT OFFICE 1 INC | SAT OFFICE 2 INC | SAT OFFICE I INC
A4 REPTO MENDOZA PR 00791 3745,31,52645720,7,CASAS PRIORITY LLC | ESTRELLA COMERCIAL LLC | ESTRELLA COMERCIOAL LLC | ESTRELLA COMMERCIAL LLC | ESTRELLA COMMERCIAL SERVICES INC | RETAIL PROPCO BORROWER LLC | VELEZ DE JESUS PARTNERS LLC
PO BOX 362394 PR PUERTO RICO 00936 2394,30,2559786,10,R G MORTGAGE CORP | R G PREMIER BANK | R G PREMIER BANK OF | R Y G MORTGAGE CORP | RG MORGAGE CORP | RG MORTAGAGE CORP | RG MORTAGE CORP | RG MORTGAGE CORP
PO BOX 9216 PR 00908 0216,29,10945135,2,R M EQUITIES LLC | RM EQUITIES LLC
PO BOX 190858 PR 00919 0839,29,531064720,6,COBIAN PLAZA LLC | P D C M ASSOCIATES | P D C M ASSOCIATES S | PDCM ASSOCIATES S E | PDCM ASSOCIATES SE | PDCM ASSOCIATES SE R
PO BOX 1850 PR PUERTO RICO 00677 1850,29,2988233,2,H R INC | HR INC
PO BOX 488 PR 00740,29,2263651,2,MMC GUARANTEE LLC | MMC LLC
PO BOX 1892 PR 00754 1892,28,3640888,11,ALEJANDRO CAPITAL LLC | ALMENDRO CAPITAL | ALMENDRO CAPITAL LLC | INMOBILIARIAS MAM LLC | INVERSIONES MAM LLC | J K INVESMENT PROPERTY INC | J K INVESTMENT INC | J K INVESTMENT PRO
P O BOX 617 PR UNITED STATES 00638 0617,27,1060998,2,FINCA LA JAGUA INC | FINCA LA JAGUAS INC
HC 3 BOX 6830 PR PUERTO RICO 00646,26,7817579,6,DORAL BANK | DORAL BANK OF PR | DORAL FINACIAL CORP | DORAL FINANCIAL CORP | DORAL FINANCIAL INC | DORAL FINANCILA CORP
PO BOX 542 PR 00698 0542,24,1141000,10,ARMANDO TROCHE 7 ASSOCIADS INC | ARMANDO TROCHE AND ASSOC INC | ARMANDO TROCHE ASSO INC | INVER SIGLO XXI CORP | INVERS SIGLO 21 CORP | INVERSIONES SIGLO XR | INVERSIONES SIGLO XX | INVERSIONES SIGLO XXI CORP
PO BOX 5878 PR ESTADOS UNIDOS 00726 5878,24,33472232,2,CAZUELA LLC | METRO CAGUAS INCORPORATED
PO BOX 441 PR PUERTO RICO 00738 0441,24,6142802,7,ANGEL L SUAREZ INC | ARMALET LLC | ARMATEL LLC | INMOBILIARIA WITOCHE LLC | ONE BY ONE LLC | THREE N ONE CORP | Z2 VECES LLC
URB BALDRICH 599 AVE HOSTOS PR PUERTO RICO 00918,24,1152351,2,RESIDENCIAS BALMORAL INC | RESIDENCIAS DE BALMORAL INC
5151 COLLINS AVENUE FLORIDA ESTADOS UNIDOS 33140,24,2894539,4,MIRAMAR PLZA HOLDING | PLAZA HOLDING MIRAMA | PLAZA HOLDINGS LLC | PLAZA HOLDINGS MIRAM
PO BOX 29455 PR 00929 0455,23,5346490,14,BJ HOLDING CORP | BJ HOLDING INC | GILLIGAN S BEACH FRONT LLC | GILLIGAN S BEACH RESORT LLC | GILLIGANS BEACH FRONT LLC | GULLIGANS BEACH FRONT LLC | J S R INVESTMENT LLC | JMC INVESTMENT LLC
246 CALLE CARIBE PR 00949,23,2569000,2,EL COMBATE DEVELOPMENT | EL COMBATE DEVELOPMENT LLC
STE 806 909 AVE TITO CASTRO PR 00716 4725,23,3889000,4,BETOND TOMORROW HOSPITALS CORP | BEYOND TOMORROW HOSPITAL CORP | BEYOND TOMORROW HOSPITALS CORP | BEYOUND TOMORROW HOSPITAL CORP
E19 AVE LUIS MUNOZ MARIN URB CAGUAX PR PUERTO RICO 00725 3331,23,2340750,5,ALEJANDRO INVESTMENT | ALEJANDRO INVESTMENT GROUP | ALEJANDRO INVESTMENT GROUP CORP | ALEJANDRO INVESTMENT GROUP INC | ALEJANDRO INVESTMENTS GROUP INC
2 CALLE BALDORIOTY PR PUERTO RICO 00725 2707,23,8786180,6,PROPERTIES CORP | QNS PROPERTIES | QNS PROPERTIES CORP | QNS PROPERTIES CORPO | QNS PROPERTIES CORPORATION | QNS PROPIERTIES CORP
623 AVE PONCE DE LEON STE 605 B PR UNITED STATES 00917,23,1610440,2,RINCON HILLS HOLDING | RINCON HILLS HOLDING LLC
PO BOX 608 PR PUERTO RICO 00677,23,8563876,15,COOP A C AGUADA | COOP A C DE AGUADA | COOP A C DE RINCON | COOP A C RINCON | COOP AHORRO C DE AGU | COOP AHORRO CREDITO | COOP AHORRO Y CRD RI | COOP AHORRO Y CREDI
