buyer,parcels,value
COBIAN PLAZA LLC,481,340561841
BANCO POPULAR DE PR,367,166679856
BANCO POPULAR PR,116,14037239
METRO PAVIA HOSPITAL GROUP LLC,98,137765860
EJA PROPERTY GROUP I,90,1123914527
BSLP FUNDING LLC,89,2188521
FORTALEZA ESJ LLC,88,4855650
BANCO POPULAR DE PUERTO RICO,86,31276926
CABO ROJO LAND ACQUISITION LLC,85,137812684
COSTA ISABELA LLC,83,1678283984
PLAZA Q LLC,81,22672742
DORAL BANK,75,13554777
PUERTO RICO PROPERTIES SOLUTIONS LLC,58,7672961
JACARANDAS INVESTMENT CORP,53,4432000
BANCO POPULAR,45,9295364
TWIN INVESTMENTS LLC,42,3757620
NUEVO RENACER INC,42,1680000
ADLER REALTY INC,40,3345471
BMC REALTY L L C,39,6138126
COSTA BONITA RESORT LLC,37,189250000
JUF RESORT OWNER LLC,37,5500000
CONSTELLATIONS REALTY LLC,36,2432600
607 609 CONDADO ST LLC,35,831906
DORAL FINANCIAL CORP,33,8451177
ROSADELA DEL MAR LLC,33,1431618
AGF METROPOLITAN HOLDINGS LLC,33,1200000
RM EQUITIES LLC,29,10955135
JR PROPERTIES INC,28,11943350
H R INC,28,2573233
COOP DE AHORRO Y CRE,27,11999241
MMC LLC,27,2171231
ORIENTAL BANK,26,6085480
INVERSIONES B TRES INC,26,3084139
BAM BAM LLC,26,18342828
FIRST BANK PR,26,5382457
FINCA LA JAGUAS INC,26,1049318
PALMAR DE ARROYO LLC,25,836162
COOPERATIVA DE AHORR,25,7773319
X X REAL ESTATE INC,25,7238699
BANCO POPULAR DE PUE,24,8306181
LIME RESIDENTIAL LTD,23,2382027
RINCON HILLS HOLDING,23,1660440
TRM LLC,23,1778214
METRO CAGUAS INCORPORATED,23,32824732
LEANDRO REALTY ENTER,23,2070000
EL COMBATE DEVELOPMENT LLC,22,2460667
BEST DEAL CORP,22,3014708
AGF METROPOLITAN HOLDING LLC,22,799993
RG MORTGAGE CORP,21,1494849
PDCM ASSOCIATES SE,21,521533753
PLAZA HOLDINGS MIRAM,21,2706317
ICON PROPERTIES LLC,20,12478104
INSTITUTO PARA LA INVESTIGACION Y ACCION EN AGROECOLOGIA INC,20,4038500
EMPRESAS ALCO LLC,20,653694
RESIDENCIAS DE BALMORAL INC,20,639351
NIFTY LLC,20,1850000
BEYOND TOMORROW HOSPITALS CORP,19,3656500
BAUTISTA REO PR CORP,19,11974777
PUERTO RICO PROPERTIES SOLUCTIONS LLC,19,2029920
SOFTEK INC,19,48450000
JVI HOLDINGS LLC,19,2762600
ESTRELLA COMMERCIAL LLC,18,2192925
SANRRY REALTY INC,18,3367337
KAMAC LLC,18,2095100
INMOBILIARIA AMB LLC,17,3691479
MT HOME LLC,17,3321575
EMPRESAS PUCHO INC,17,2177000
STORE COMPANY INC,16,4360860
DLS RETAIL LLC,16,38404746
C L ENTERPRISES INC,16,208850515
INVERSIONES LA CIMA LLC,15,1613153
INVERSIONES SIGLO XX,15,777000
VPP HOLDINGS LLC,15,55767916
REF REALTY LLC,15,10042500
VIVIENDA MODERNIZATION 1 LLC,15,130834799
NEMA REALTY LLC,15,9846000
LAB PRODUCTS REALTY,15,6447000
SKY VIEW REALTY INC,15,13081041
FSM CORP,14,1936405
INVERSIONES HG INC,14,3223364
MENR INVESTMENT CORP,14,1328163
HULA PROPERTIES INC,14,6206704
LIME HOMES LTD,14,1723446
COMBATE GARDEN LLC,14,2718081
