test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
D_0_250,event,1,pre4,-.0210361635249714,.0224455468534681,-.9400000000000001,.3488,-.0650533606521283,.0229810336021856,8780
D_0_250,event,2,pre3,-.0173890798819396,.0216129983826207,-.8,.4212,-.0597734188710068,.0249952591071277,9991
D_0_250,event,3,pre2,-.0091804144348901,.0214648850795939,-.43,.6689000000000001,-.0512741227360148,.0329132938662346,11199
D_0_250,event,4,pre1,0,,,,,,
D_0_250,event,5,tau0,.0244262428733452,.0216528035479692,1.13,.2594,-.0180353646978313,.0668878504445218,12480
D_0_250,event,6,tau1,.0491083349095458,.021453848459531,2.29,.0222,.0070360221329134,.0911806476861782,11176
D_0_250,event,7,tau2,.1012939664062852,.0260488865827088,3.89,.0001,.0502090865206971,.1523788462918733,9877
D_0_250,event,8,tau3,.0847958524241417,.0255329261818466,3.32,.0009,.0347205541388722,.1348711507094111,8531
D_0_250,pooled,1,Pre,-.0130274800112337,.0169720347207856,-.77,.4428,-.046311285994603,.0202563259721356,8695
D_0_250,pooled,2,Post,.0851728219275314,.020371159813325,4.18,0,.0452203059414391,.1251253379136236,8476
D_1000_1500,event,1,pre4,.0130535056205473,.0152553039296437,.86,.3923,-.0168616246991752,.0429686359402698,8991
D_1000_1500,event,2,pre3,-.0205645406567747,.0134817065130305,-1.53,.1273,-.0470017069780477,.0058726256644984,10178
D_1000_1500,event,3,pre2,-.0147750161082344,.0129675999914003,-1.14,.2547,-.0402039987924579,.0106539665759892,11369
D_1000_1500,event,4,pre1,0,,,,,,
D_1000_1500,event,5,tau0,-.0038268565133752,.0137787135552147,-.28,.7812,-.0308463738981457,.0231926608713954,12584
D_1000_1500,event,6,tau1,.005390841034308,.0138732363935623,.39,.6976,-.021814328722681,.0325960107912971,11324
D_1000_1500,event,7,tau2,.0111036085370608,.0167491041709087,.66,.5074000000000001,-.0217419884993705,.043949205573492,10019
D_1000_1500,event,8,tau3,.014353573304071,.0181676479408455,.79,.4296,-.0212752859147262,.0499824325228682,8675
D_1000_1500,pooled,1,Pre,-.0018395405474335,.0111748461635316,-.16,.8693000000000001,-.023753075177685,.0200739940828181,8956
D_1000_1500,pooled,2,Post,.0124649956987316,.0137776920392599,.9,.3657,-.0145546907844787,.039484682181942,8652
D_250_500,event,1,pre4,-.0054317977408929,.0189798295565786,-.29,.7748,-.0426519552933877,.031788359811602,8835
D_250_500,event,2,pre3,-.0260880502800922,.0187316956450049,-1.39,.1638,-.0628214993186263,.0106453987584419,10038
D_250_500,event,3,pre2,.0458686581013097,.0183250735175516,2.5,.0124,.0099328084173026,.0818045077853168,11249
D_250_500,event,4,pre1,0,,,,,,
D_250_500,event,5,tau0,.0450234828216791,.0190682444522875,2.36,.0183,.0076305427193319,.0824164229240262,12500
D_250_500,event,6,tau1,.0317202714566785,.0195920676916215,1.62,.1056,-.0067004890208284,.0701410319341853,11216
D_250_500,event,7,tau2,.1014815811828776,.0231730203283465,4.38,0,.0560371160911451,.14692604627461,9912
D_250_500,event,8,tau3,.1248516098363745,.0266626206545258,4.68,0,.0725616417259117,.1771415779468372,8583
D_250_500,pooled,1,Pre,.0083024459371067,.0140273009187225,.59,.554,-.0192059302469627,.0358108221211762,8764
D_250_500,pooled,2,Post,.0991686768010795,.0190244450103071,5.21,0,.06185805132049,.1364793022816691,8528
D_500_1000,event,1,pre4,-.0140134383378952,.0151699668623756,-.92,.3557,-.0437613224775023,.015734445801712,8976
D_500_1000,event,2,pre3,-.0001696326181674,.0141029770504091,-.01,.9904000000000001,-.0278251672621222,.0274859020257874,10166
D_500_1000,event,3,pre2,.0099064559978504,.0121393868601394,.8200000000000001,.4145,-.0138985292514406,.0337114412471415,11352
D_500_1000,event,4,pre1,0,,,,,,
D_500_1000,event,5,tau0,.0178094762414052,.0134502325884791,1.32,.1856,-.0085659537362195,.0441849062190299,12578
D_500_1000,event,6,tau1,.0278423822211684,.014113909665846,1.97,.0486,.0001652255507229,.055519538891614,11321
D_500_1000,event,7,tau2,.0290958692636478,.0159217046303649,1.83,.0678,-.0021272917672716,.0603190302945672,10004
D_500_1000,event,8,tau3,.0308251972078437,.0186653177997329,1.65,.0988,-.0057797655892464,.0674301600049338,8664
D_500_1000,pooled,1,Pre,.0010146164308246,.0111966789354973,.09,.9278000000000001,-.0209418278967001,.0229710607583494,8936
D_500_1000,pooled,2,Post,.039937733525279,.012886293197878,3.1,.002,.0146661057132915,.0652093613372665,8641
