test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
D_0_250,event,1,pre4,-.100158154116213,.022004970839642,-4.55,0,-.1433113526347959,-.0570049555976301,8856
D_0_250,event,2,pre3,-.0633564550387475,.0214100634514577,-2.96,.0031,-.1053428161059088,-.0213700939715862,10077
D_0_250,event,3,pre2,-.0392273267993806,.0214048581587413,-1.83,.067,-.0812033086873189,.0027486550885577,11296
D_0_250,event,4,pre1,0,,,,,,
D_0_250,event,5,tau0,.0472843948570987,.0215786251303914,2.19,.0285,.0049682730549926,.0896005166592048,12569
D_0_250,event,6,tau1,.1004193140383738,.0213759457732525,4.7,0,.0584997840535704,.1423388440231773,11273
D_0_250,event,7,tau2,.1853655761569318,.0257811274953148,7.19,0,.1348058172236093,.2359253350902543,9967
D_0_250,event,8,tau3,.1986765638673395,.0250430175946191,7.930000000000001,0,.1495620604096124,.2477910673250666,8615
D_0_250,pooled,1,Pre,-.0655539582120163,.016743060683051,-3.92,.0001,-.0983887329664389,-.0327191834575938,8794
D_0_250,pooled,2,Post,.1589671364154452,.0200386551919608,7.930000000000001,0,.119666724711455,.1982675481194354,8575
D_1000_1750,event,1,pre4,-.0699114195574395,.0122878593752781,-5.69,0,-.0940073943886339,-.0458154447262452,9086
D_1000_1750,event,2,pre3,-.0621224294215787,.0103657921201463,-5.99,0,-.0824493112977626,-.0417955475453948,10282
D_1000_1750,event,3,pre2,-.0395497805433809,.0106255135654352,-3.72,.0002,-.0603859652377102,-.0187135958490517,11477
D_1000_1750,event,4,pre1,0,,,,,,
D_1000_1750,event,5,tau0,.0212364610203919,.011376748451092,1.87,.0621,-.0010728494579601,.0435457714987439,12681
D_1000_1750,event,6,tau1,.0609032315963377,.0110374942122792,5.52,0,.0392589689382704,.0825474942544049,11434
D_1000_1750,event,7,tau2,.0969536031151019,.0138810064592067,6.98,0,.069732516026196,.1241746902040078,10118
D_1000_1750,event,8,tau3,.1342121258309176,.0153496363255969,8.74,0,.1041097902784885,.1643144613833467,8769
D_1000_1750,pooled,1,Pre,-.0538742200009466,.0088376611047073,-6.100000000000001,0,-.071204516046044,-.0365439239558492,9080
D_1000_1750,pooled,2,Post,.0925106467256614,.0110239180909911,8.390000000000001,0,.070891504993747,.1141297884575759,8763
D_1750_2500,event,1,pre4,-.0539280370989672,.0114950913401514,-4.69,0,-.0764694176287979,-.0313866565691365,9088
D_1750_2500,event,2,pre3,-.032104016196868,.0111798863642372,-2.87,.0041,-.0540272793779102,-.0101807530158258,10287
D_1750_2500,event,3,pre2,-.0387456390253845,.0094785839057479,-4.09,0,-.0573327232567618,-.0201585547940072,11482
D_1750_2500,event,4,pre1,0,,,,,,
D_1750_2500,event,5,tau0,.0373958964403143,.0099563689418395,3.76,.0002,.0178719092344609,.0569198836461677,12686
D_1750_2500,event,6,tau1,.0677022812028374,.0107625151911073,6.29,0,.0465972736555402,.0888072887501346,11440
D_1750_2500,event,7,tau2,.0861198891707273,.012534558495958,6.87,0,.0615392526090874,.1107005257323673,10122
D_1750_2500,event,8,tau3,.1006863898713032,.0134883653499679,7.46,0,.0742342499767393,.1271385297658671,8774
D_1750_2500,pooled,1,Pre,-.0389240203055701,.0086770700447577,-4.49,0,-.0559393965313969,-.0219086440797433,9082
D_1750_2500,pooled,2,Post,.0759481368177029,.0101682391990853,7.47,0,.0560071000799462,.0958891735554595,8767
D_2500_3500,event,1,pre4,-.0397447889123943,.01114165107273,-3.57,.0004,-.0615930697579383,-.0178965080668502,9092
D_2500_3500,event,2,pre3,-.0332981060604858,.011499407806268,-2.9,.0038,-.0558479319048546,-.0107482802161171,10288
D_2500_3500,event,3,pre2,-.0252587737333546,.0094660561375542,-2.67,.0077,-.0438212876411156,-.0066962598255937,11483
D_2500_3500,event,4,pre1,0,,,,,,
D_2500_3500,event,5,tau0,.011881656385292,.0093690711829614,1.27,.2049,-.006490662720842,.0302539754914261,12687
D_2500_3500,event,6,tau1,.0065391757183733,.0102279522502463,.64,.5227000000000001,-.0135175461200273,.0265958975567739,11445
D_2500_3500,event,7,tau2,.0320965671586058,.011790101488939,2.72,.0065,.0089758382435162,.0552172960736954,10123
D_2500_3500,event,8,tau3,.0511109573672368,.0130605540077631,3.91,.0001,.0254978232586061,.0767240914758675,8777
D_2500_3500,pooled,1,Pre,-.0309259673476781,.0090667362660821,-3.41,.0007,-.0487054440808518,-.0131464906145045,9087
D_2500_3500,pooled,2,Post,.0246316765303139,.0100828432612952,2.44,.0147,.004858132919755,.0444052201408728,8771
D_250_500,event,1,pre4,-.0844613849946259,.0185673334276772,-4.55,0,-.1208726221686876,-.0480501478205641,8911
D_250_500,event,2,pre3,-.0722451649096726,.0185078648650635,-3.9,.0001,-.108539665802109,-.0359506640172361,10124
D_250_500,event,3,pre2,.0148628148241194,.0182231914249124,.8200000000000001,.4148,-.020873233385626,.0505988630338647,11346
D_250_500,event,4,pre1,0,,,,,,
D_250_500,event,5,tau0,.0664714946746255,.0190709690007128,3.49,.0005,.0290732291561284,.1038697601931227,12589
D_250_500,event,6,tau1,.0818744466232854,.0195793407338405,4.18,0,.0434786536650154,.1202702395815554,11313
D_250_500,event,7,tau2,.1840250522653525,.0229820690434411,8.01,0,.138955072902092,.2290950316286131,10002
D_250_500,event,8,tau3,.2383323889256699,.0262869673396553,9.07,0,.1867791251774239,.2898856526739158,8667
D_250_500,pooled,1,Pre,-.0440329820957957,.0138206621599382,-3.19,.0015,-.0711361343125023,-.0169298298790891,8863
D_250_500,pooled,2,Post,.1715420822118357,.0188176888736783,9.120000000000001,0,.1346369335995208,.2084472308241506,8627
D_3500_4000,event,1,pre4,-.0233588675213457,.0125842673661229,-1.86,.0635,-.0480360911842633,.0013183561415719,9085
D_3500_4000,event,2,pre3,-.0317974518615476,.0114535178304474,-2.78,.0055,-.0542573037645107,-.0093375999585846,10285
D_3500_4000,event,3,pre2,-.0143543555600137,.0110493278464784,-1.3,.194,-.0360216222139611,.0073129110939337,11477
D_3500_4000,event,4,pre1,0,,,,,,
D_3500_4000,event,5,tau0,-.002356843801307,.0110097371174504,-.21,.8305,-.023946447263797,.019232759661183,12684
D_3500_4000,event,6,tau1,-.0200055639766207,.0129437045761623,-1.55,.1223,-.0453878317639909,.0053767038107494,11439
D_3500_4000,event,7,tau2,-.0054261900718179,.0141760229739298,-.38,.7019000000000001,-.0332258001572802,.0223734200136443,10120
D_3500_4000,event,8,tau3,-.0050981120194973,.0157435238039461,-.32,.7461,-.0359728609820445,.02577663694305,8774
