test,outcome,row,rowname,prew,postw,c1,c2,c3,c4,c5,c6,c7,matrix_type
T4b_lo14,lnp,1,pre4,4,3,-.05197911,.053606447,-.97000003,.33270001,-.15732419,.053365979,1887,event
T4b_lo14,lnp,2,pre3,4,3,-.032402769,.04823783,-.67000002,.50209999,-.1271966,.062391054,2163,event
T4b_lo14,lnp,3,pre2,4,3,-.038421825,.04583817,-.83999997,.4023,-.12849642,.051652778,2447,event
T4b_lo14,lnp,4,pre1,4,3,0,,,,,,,event
T4b_lo14,lnp,5,tau0,4,3,-.0096307993,.051687416,-.19,.85229999,-.11118509,.09192349,2793,event
T4b_lo14,lnp,6,tau1,4,3,-.078257866,.055184208,-1.42,.1568,-.18669979,.030184057,2444,event
T4b_lo14,lnp,7,tau2,4,3,-.044925682,.046384092,-.97000003,.33329999,-.13608092,.046229552,2154,event
T4b_lo14,lnp,8,tau3,4,3,-.01453795,.062541261,-.23,.81629997,-.1374751,.10839921,1839,event
T4b_lo14,lnp,1,Pre,4,3,-.056066327,.036667071,-1.53,.127,-.12813868,.01600603,1816,pooled
T4b_lo14,lnp,2,Post,4,3,-.0075280601,.045586009,-.17,.8689,-.097148903,.082092784,1789,pooled
T4bn_lo14,netin,1,pre4,4,3,-.014107591,.036740247,-.38,.70120001,-.086325757,.058110572,1754,event
T4bn_lo14,netin,2,pre3,4,3,-.021329029,.028675754,-.74000001,.45739999,-.077692233,.035034172,2021,event
T4bn_lo14,netin,3,pre2,4,3,.00097518216,.023862291,.039999999,.96740001,-.045924839,.047875203,2282,event
T4bn_lo14,netin,4,pre1,4,3,0,,,,,,,event
T4bn_lo14,netin,5,tau0,4,3,-.035467066,.024499942,-1.45,.14839999,-.083610311,.012676179,2647,event
T4bn_lo14,netin,6,tau1,4,3,-.037257914,.029067341,-1.28,.2006,-.094388172,.019872351,2282,event
T4bn_lo14,netin,7,tau2,4,3,.0043624765,.026991896,.16,.87169999,-.048692111,.057417065,2010,event
T4bn_lo14,netin,8,tau3,4,3,-.0010696938,.029111195,-.039999999,.97070003,-.058301505,.056162119,1720,event
T4bn_lo14,netin,1,Pre,4,3,.0078986194,.023048289,.34,.73199999,-.037419535,.053216774,1647,pooled
T4bn_lo14,netin,2,Post,4,3,-.0049815075,.026521008,-.19,.85110003,-.057129588,.047166571,1643,pooled
T4b_hi5,lnp,1,pre4,4,3,.014744668,.024757124,.60000002,.55150002,-.03381316,.063302495,6728,event
T4b_hi5,lnp,2,pre3,4,3,.0058033145,.023893977,.23999999,.80809999,-.041061286,.052667916,7643,event
T4b_hi5,lnp,3,pre2,4,3,-.0017726441,.024119154,-.07,.94139999,-.049078703,.045533415,8551,event
T4b_hi5,lnp,4,pre1,4,3,0,,,,,,,event
T4b_hi5,lnp,5,tau0,4,3,.018413324,.023757417,.77999997,.4384,-.028182583,.065009229,9506,event
T4b_hi5,lnp,6,tau1,4,3,.061128877,.02298264,2.6600001,.0078999996,.016051542,.10620621,8531,event
T4b_hi5,lnp,7,tau2,4,3,.11462884,.029808499,3.8499999,.000099999997,.056161169,.17309652,7538,event
T4b_hi5,lnp,8,tau3,4,3,.076534279,.02769292,2.76,.0057999999,.022213057,.1308555,6524,event
T4b_hi5,lnp,1,Pre,4,3,.018021394,.018994352,.94999999,.34290001,-.019234082,.055276867,6674,pooled
T4b_hi5,lnp,2,Post,4,3,.07486552,.022488113,3.3299999,.00089999998,.030753158,.11897788,6482,pooled
T4bn_hi5,netin,1,pre4,4,3,-.012841564,.014662432,-.88,.3813,-.041601848,.015918721,6466,event
T4bn_hi5,netin,2,pre3,4,3,-.0095147118,.013614984,-.69999999,.48480001,-.03622023,.017190807,7369,event
T4bn_hi5,netin,3,pre2,4,3,-.0058866628,.014635538,-.40000001,.68760002,-.034593794,.022820469,8271,event
T4bn_hi5,netin,4,pre1,4,3,0,,,,,,,event
T4bn_hi5,netin,5,tau0,4,3,.003090027,.0137202,.23,.82179999,-.023821006,.030001059,9248,event
T4bn_hi5,netin,6,tau1,4,3,.015278732,.014949881,1.02,.30689999,-.014045291,.044602755,8249,event
T4bn_hi5,netin,7,tau2,4,3,.026579531,.015401793,1.73,.084600002,-.003632219,.056791283,7273,event
T4bn_hi5,netin,8,tau3,4,3,.04444062,.017207645,2.5799999,.0098999999,.010684778,.078196459,6294,event
T4bn_hi5,netin,1,Pre,4,3,-.0060852719,.010910843,-.56,.57709998,-.027487611,.015317067,6368,pooled
T4bn_hi5,netin,2,Post,4,3,.017073691,.014224618,1.2,.23019999,-.010831558,.044978939,6210,pooled
