test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
C_1000_1500,event,1,pre4,-.0178537300813773,.0226499661534334,-.79,.4306,-.0622718533932744,.0265643932305198,8635
C_1000_1500,event,2,pre3,-.0095409887718577,.0217480631391948,-.44,.6609,-.0521902745820063,.033108297038291,9828
C_1000_1500,event,3,pre2,-.0015268078433763,.0215671861680363,-.07,.9436,-.0438211766244144,.0407675609376618,11022
C_1000_1500,event,4,pre1,0,,,,,,
C_1000_1500,event,5,tau0,.0335878580668223,.0216014597627686,1.55,.1201,-.0087730632512517,.0759487793848964,12307
C_1000_1500,event,6,tau1,.0623558660117663,.0214329790986756,2.91,.0037,.0203244357329231,.1043872962906095,10999
C_1000_1500,event,7,tau2,.1207749086356064,.0259149116234369,4.66,0,.0699526965183596,.1715971207528532,9705
C_1000_1500,event,8,tau3,.1053439198964622,.0252558778735097,4.17,0,.0558118384044737,.1548760013884506,8375
C_1000_1500,pooled,1,Pre,-.0075347551501662,.0171692558421694,-.44,.6608000000000001,-.0412054806718092,.0261359703714768,8527
C_1000_1500,pooled,2,Post,.0937851786318532,.0203666024443689,4.600000000000001,0,.0538413788664311,.1337289783972754,8308
C_1500_2000,event,1,pre4,-.0210361635249714,.0224455468534681,-.9400000000000001,.3488,-.0650533606521283,.0229810336021856,8780
C_1500_2000,event,2,pre3,-.0173890798819396,.0216129983826207,-.8,.4212,-.0597734188710068,.0249952591071277,9991
C_1500_2000,event,3,pre2,-.0091804144348901,.0214648850795939,-.43,.6689000000000001,-.0512741227360148,.0329132938662346,11199
C_1500_2000,event,4,pre1,0,,,,,,
C_1500_2000,event,5,tau0,.0244262428733452,.0216528035479692,1.13,.2594,-.0180353646978313,.0668878504445218,12480
C_1500_2000,event,6,tau1,.0491083349095458,.021453848459531,2.29,.0222,.0070360221329134,.0911806476861782,11176
C_1500_2000,event,7,tau2,.1012939664062852,.0260488865827088,3.89,.0001,.0502090865206971,.1523788462918733,9877
C_1500_2000,event,8,tau3,.0847958524241417,.0255329261818466,3.32,.0009,.0347205541388722,.1348711507094111,8531
C_1500_2000,pooled,1,Pre,-.0130274800112337,.0169720347207856,-.77,.4428,-.046311285994603,.0202563259721356,8695
C_1500_2000,pooled,2,Post,.0851728219275314,.020371159813325,4.18,0,.0452203059414391,.1251253379136236,8476
C_2000_2500,event,1,pre4,-.0345609562166918,.0224981501860314,-1.54,.1246,-.078681288936426,.0095593765030424,8685
C_2000_2500,event,2,pre3,-.0206147399257631,.0217430726531091,-.9500000000000001,.3432,-.0632541401656442,.022024660314118,9884
C_2000_2500,event,3,pre2,-.0107093302891467,.0214942198130292,-.5,.6184000000000001,-.0528605441182573,.0314418835399638,11087
C_2000_2500,event,4,pre1,0,,,,,,
C_2000_2500,event,5,tau0,.0194066264560779,.021574362975446,.9,.3685,-.022901137173683,.0617143900858389,12392
C_2000_2500,event,6,tau1,.0526940873303919,.0214939978543737,2.45,.0143,.0105430609286828,.0948451137321009,11064
C_2000_2500,event,7,tau2,.1057813237503351,.0260856908351585,4.06,.0001,.0546242810463463,.1569383664543239,9772
C_2000_2500,event,8,tau3,.0941512288703917,.0256505559688837,3.67,.0002,.0438452344780187,.1444572232627647,8442
C_2000_2500,pooled,1,Pre,-.0206222439832566,.0169829161315986,-1.21,.2248,-.0539274818065964,.0126829938400831,8565
C_2000_2500,pooled,2,Post,.0975186820434748,.0203698120222611,4.79,0,.0575686711684316,.1374686929185181,8346
C_2500_3500,event,1,pre4,-.0647856623850311,.0222004365536311,-2.92,.0036,-.1083221593490215,-.0212491654210407,8868
C_2500_3500,event,2,pre3,-.0465402478531908,.0215728870174696,-2.16,.0311,-.0888459043969124,-.0042345913094692,10088
C_2500_3500,event,3,pre2,-.0243165653684044,.0214436688359724,-1.13,.2569,-.0663686569073588,.0177355261705501,11307
C_2500_3500,event,4,pre1,0,,,,,,
C_2500_3500,event,5,tau0,.0357269000634488,.0215284629811675,1.66,.0972,-.0064908628763809,.0779446630032785,12580
C_2500_3500,event,6,tau1,.0834367631028968,.0214147864983787,3.9,.0001,.0414410640933948,.1254324621123988,11284
C_2500_3500,event,7,tau2,.1524289908562989,.0258435188342849,5.9,0,.1017468897535517,.2031110919590462,9976
C_2500_3500,event,8,tau3,.1537412790604467,.0251132677652377,6.12,0,.1044890331820877,.2029935249388057,8625
C_2500_3500,pooled,1,Pre,-.0427980216453685,.0168528799628875,-2.54,.0112,-.0758481353719474,-.0097479079187897,8804
C_2500_3500,pooled,2,Post,.1330763781931835,.020132797909731,6.61,0,.0935913717090283,.1725613846773387,8585
C_400_1000,event,1,pre4,-.0006343942774458,.022523091164507,-.03,.9775,-.0448037071114309,.0435349185565393,8615
C_400_1000,event,2,pre3,-.0036251267157605,.0216277458469427,-.17,.8669,-.0460384300460584,.0387881766145374,9806
C_400_1000,event,3,pre2,-.0083013157778982,.0214325793717567,-.39,.6986,-.0503317029760416,.0337290714202452,10998
C_400_1000,event,4,pre1,0,,,,,,
C_400_1000,event,5,tau0,.0162366090932517,.0215969978373759,.75,.4523,-.026115562294375,.0585887804808784,12299
