test,rowname,b,se,lb,ub
low,pre4,.0059403787337237,.043238424,-.07911174,.090992495
low,pre3,-.0373567217893403,.033978295,-.10418946,.029476022
low,pre2,-.0113507437875158,.025164204,-.060845308,.038143821
low,pre1,0,,,
low,tau0,-.034761497212618,.027378052,-.088593401,.019070404
low,tau1,-.0305381320792463,.03188524,-.093250789,.032174524
low,tau2,.025083052363379,.031848926,-.037560735,.087726839
low,tau3,.0187495415296962,.035356306,-.050810628,.088309713
low,Pre,-.0025100642852428,.028121421,-.057850294,.052830163
low,Post,.0074368473241459,.033311661,-.058116391,.07299009
mid,pre4,-.0424327505509521,.025650717,-.092813835,.0079483343
mid,pre3,-.0254394378022977,.0250162,-.074571081,.023692204
mid,pre2,-.0173163587578384,.027304469,-.070939764,.036307048
mid,pre1,0,,,
mid,tau0,-.0213005076405752,.023594094,-.067633808,.025032794
mid,tau1,.0126220087809128,.026603403,-.039625984,.06487
mid,tau2,.0008035428703215,.026884088,-.052002024,.05360911
mid,tau3,.0390101527933296,.027759776,-.015523729,.093544036
mid,Pre,-.0344081632720939,.019803476,-.073308498,.0044921678
mid,Post,.0177535362639306,.022427794,-.026310582,.061817653
high,pre4,-.0049861792859562,.017183965,-.038704596,.028732236
high,pre3,-.0017222350764775,.014992968,-.031141505,.027697034
high,pre2,.0010809713829166,.016043233,-.030398995,.032560937
high,pre1,0,,,
high,tau0,.014748417650876,.016061837,-.016766945,.04626378
high,tau1,.0119552359341986,.017050404,-.021501582,.045412052
high,tau2,.0325225759408302,.017478645,-.0017767451,.066821896
high,tau3,.0387502777450196,.020545898,-.0015710818,.079071641
high,Pre,.008850442653173,.012202096,-.015093778,.032794666
high,Post,.0119536386354429,.016928203,-.021269858,.045177136
