mode,step,ctrl,b,se,nobs
cumul,0,none,.0241955536853396,.014216027,11088
cumul,1,med_hh_inc,.0229581394323952,.014234432,11088
cumul,2,med_value,.0203665385958427,.014263868,11088
cumul,3,med_rent,.0206675794820472,.014277042,11088
cumul,4,poverty,.0207204008668854,.014274997,11088
cumul,5,ba_share,.0205322838463224,.014406517,11088
cumul,6,renter_share,.0195503797467327,.014393823,11088
cumul,7,vacancy,.019188927090537,.0145161,11088
cumul,8,seasonal_share,.0191537004910906,.014515468,11088
cumul,9,mainland_share,.0191439977723444,.014509602,11088
cumul,10,lnpop,.0190663515680988,.014452734,11088
solo,1,med_hh_inc,.0229581394323952,.014234432,11088
solo,2,med_value,.0201708533393173,.014315856,11088
solo,3,med_rent,.0232045642537058,.014309062,11088
solo,4,poverty,.0233700596461722,.014245337,11088
solo,5,ba_share,.0215197096441353,.014454586,11088
solo,6,renter_share,.0223492356478594,.014287489,11088
solo,7,vacancy,.0237852128001733,.014321957,11088
solo,8,seasonal_share,.0241767054894765,.014229366,11088
solo,9,mainland_share,.0242643572348718,.014203935,11088
solo,10,lnpop,.0226137016778659,.014419483,11088
