test,outcome,row,rowname,prew,postw,c1,c2,c3,c4,c5,c6,c7,matrix_type
T1_baseline,lnp,1,pre4,4,3,-.0006467592092474,.0225249325654261,-.03,.9771000000000001,-.0448196831556084,.0435261647371136,8615,event
T1_baseline,lnp,1,Pre,4,3,.0034350769604875,.017051076196736,.2,.8404,-.0300038764199701,.0368740303409451,8490,pooled
T1_baseline,lnp,2,pre3,4,3,-.0035569583938978,.0216277552947931,-.16,.8694000000000001,-.0459702802519956,.0388563634641999,9806,event
T1_baseline,lnp,2,Post,4,3,.0694790616216203,.0202803129524914,3.43,.0006,.0297045101945022,.1092536130487384,8271,pooled
T1_baseline,lnp,3,pre2,4,3,-.0082620206534062,.0214345944520187,-.39,.6999000000000001,-.0502963595272754,.0337723182204631,10998,event
T1_baseline,lnp,4,pre1,4,3,0,,,,,,,event
T1_baseline,lnp,5,tau0,4,3,.0163961877069398,.0216019741433064,.76,.4479,-.0259657423222923,.0587581177361718,12299,event
T1_baseline,lnp,6,tau1,4,3,.0412159215638758,.0213634415592371,1.93,.0538,-.0006791303138745,.0831109734416261,10975,event
T1_baseline,lnp,7,tau2,4,3,.091914457333146,.0258968162362743,3.55,.0004,.0411277614860681,.142701153180224,9692,event
T1_baseline,lnp,8,tau3,4,3,.0705132309169782,.0252902331343153,2.79,.0054,.0209138046129753,.1201126572209811,8363,event
T2_comp_lncab,lncab,1,Pre,4,3,.0122222089194216,.0145990154284212,.84,.4026,-.0164080840794569,.0408525019183001,8470,pooled
T2_comp_lncab,lncab,1,pre4,4,3,.0297112839081778,.0200836687032759,1.48,.1392,-.0096742801696417,.0690968479859973,8596,event
T2_comp_lncab,lncab,2,Post,4,3,.0294478645851212,.0165582336861075,1.78,.0755,-.0030269120319195,.061922641202162,8252,pooled
T2_comp_lncab,lncab,2,pre3,4,3,-.0196550087321011,.0192650954698904,-1.02,.3077,-.0574351211647975,.0181251037005953,9787,event
T2_comp_lncab,lncab,3,pre2,4,3,.0037954083153032,.0172408067850553,.22,.8258000000000001,-.030014784203021,.0376056008336274,10974,event
T2_comp_lncab,lncab,4,pre1,4,3,0,,,,,,,event
T2_comp_lncab,lncab,5,tau0,4,3,-.0075892430449989,.0173526905947461,-.44,.6619,-.0416183199281707,.0264398338381729,12274,event
T2_comp_lncab,lncab,6,tau1,4,3,-.0147787376318879,.0168931211266589,-.87,.3818,-.0479072965111252,.0183498212473494,10951,event
T2_comp_lncab,lncab,7,tau2,4,3,.0143088725624296,.0183944124238652,.78,.4367,-.021764832590908,.0503825777157672,9671,event
T2_comp_lncab,lncab,8,tau3,4,3,.0498193112627435,.0214900315054075,2.32,.0205,.0076727325138616,.0919658900116253,8343,event
T2_comp_lnstru,lnstru,1,pre4,4,3,.0217030387676654,.0140238903996444,1.55,.1219,-.0057990947752684,.0492051723105992,8498,event
T2_comp_lnstru,lnstru,1,Pre,4,3,.0117261310241383,.0102336667634968,1.15,.252,-.0083434064046473,.0317956684529239,8363,pooled
T2_comp_lnstru,lnstru,2,pre3,4,3,.0003607334492309,.0136835461465333,.03,.9790000000000001,-.0264738590822972,.027195325980759,9671,event
T2_comp_lnstru,lnstru,2,Post,4,3,.0231731405085851,.012893424224202,1.8,.0725,-.0021142957864069,.0484605768035772,8148,pooled
T2_comp_lnstru,lnstru,3,pre2,4,3,-.0055236764856471,.011761454689446,-.47,.6387,-.0285887554557775,.0175414024844833,10853,event
T2_comp_lnstru,lnstru,4,pre1,4,3,0,,,,,,,event
T2_comp_lnstru,lnstru,5,tau0,4,3,-.0034873582910684,.0130966781520745,-.27,.79,-.0291704992185526,.0221957826364158,12156,event
T2_comp_lnstru,lnstru,6,tau1,4,3,.0177580481685239,.0137631425544475,1.29,.1971,-.0092326835012491,.0447487798382968,10826,event
T2_comp_lnstru,lnstru,7,tau2,4,3,.0240323143099793,.0143520237026685,1.67,.0942,-.0041140756033337,.0521787042232922,9556,event
T2_comp_lnstru,lnstru,8,tau3,4,3,.0501976286798216,.0172792770913392,2.91,.0037,.016308968711652,.0840862886479912,8252,event
T2_comp_subu,subu,1,pre4,4,3,.0002590399522584,.006529489690913,.04,.9684,-.0125457331891254,.0130638130936422,8615,event
T2_comp_subu,subu,1,Pre,4,3,-.0018681066354389,.0046343044989699,-.4,.6869000000000001,-.0109564650653639,.0072202517944861,8490,pooled
T2_comp_subu,subu,2,pre3,4,3,.0101583691174685,.0055828277357484,1.82,.069,-.0007898900248761,.0211066282598132,9806,event
T2_comp_subu,subu,2,Post,4,3,.0047877555906536,.0052128703553796,.92,.3585,-.0054359318109491,.0150114429922563,8271,pooled
T2_comp_subu,subu,3,pre2,4,3,-.0017965172631998,.0052786850872403,-.34,.7336,-.0121482894071603,.0085552548807607,10998,event
T2_comp_subu,subu,4,pre1,4,3,0,,,,,,,event
T2_comp_subu,subu,5,tau0,4,3,.0096204571185371,.0056561836309163,1.7,.0891,-.0014714390950136,.0207123533320879,12299,event
T2_comp_subu,subu,6,tau1,4,3,.0155370300283244,.0055532813941166,2.8,.0052,.0046466961159185,.0264273639407302,10975,event
T2_comp_subu,subu,7,tau2,4,3,-.0009277663250955,.0059484475606593,-.16,.8761,-.0125933700915667,.0107378374413758,9692,event
T2_comp_subu,subu,8,tau3,4,3,.0046501248451258,.0064534292990734,.72,.4713,-.008006397110505,.0173066468007567,8363,event
T2_comp_vac,vac,1,pre4,4,3,.0048142025395618,.005306754971804,.91,.3644,-.005592704699365,.0152211097784886,8615,event
T2_comp_vac,vac,1,Pre,4,3,-.0016615278214849,.0037220705282034,-.45,.6554,-.0089608995113019,.0056378438683322,8490,pooled
T2_comp_vac,vac,2,pre3,4,3,-.0101170353809709,.005104815129182,-1.98,.0476,-.0201278832081704,-.0001061875537714,9806,event
T2_comp_vac,vac,2,Post,4,3,-.0002512593592628,.004670838727202,-.05,.9571000000000001,-.0094118929056031,.0089093741870775,8271,pooled
T2_comp_vac,vac,3,pre2,4,3,-.0085821358314534,.0052988168025728,-1.62,.1055,-.0189733873015236,.0018091156386168,10998,event
T2_comp_vac,vac,4,pre1,4,3,0,,,,,,,event
T2_comp_vac,vac,5,tau0,4,3,-.0081402510324096,.0055454249397605,-1.47,.1423,-.0190149471005597,.0027344450357404,12299,event
T2_comp_vac,vac,6,tau1,4,3,-.0011488482672625,.005370032876934,-.21,.8306,-.0116798203178355,.0093821237833105,10975,event
T2_comp_vac,vac,7,tau2,4,3,-.0054175379901895,.0064865226604601,-.84,.4037,-.0181383701749785,.0073032941945995,9692,event
T2_comp_vac,vac,8,tau3,4,3,-.0001039963038626,.0064560733913267,-.02,.9871000000000001,-.0127657038763346,.0125577112686094,8363,event
T3_gradient_gap,lnp,1,pre4,4,3,-.0310468462105571,.024113242616081,-1.29,.198,-.0783353188054134,.0162416263842992,8557,event
T3_gradient_gap,lnp,1,Pre,4,3,-.0014616990376239,.0180408773091736,-.08,.9354,-.0368425483876228,.0339191503123749,8415,pooled
T3_gradient_gap,lnp,2,Post,4,3,.069381167892167,.0214489258496116,3.23,.0012,.0273140699232833,.1114482658610507,8232,pooled
T3_gradient_gap,lnp,2,pre3,4,3,-.01487828630655,.0226512140175331,-.66,.5114000000000001,-.059299599726435,.0295430271133349,9730,event
T3_gradient_gap,lnp,3,pre2,4,3,.0014916046230876,.021496676684492,.07,.9447000000000001,-.0406652211869878,.043648430433163,10935,event
T3_gradient_gap,lnp,4,pre1,4,3,0,,,,,,,event
T3_gradient_gap,lnp,5,tau0,4,3,.0125837214773526,.0216811663902448,.58,.5617,-.0299342117590612,.0551016547137664,12236,event
T3_gradient_gap,lnp,6,tau1,4,3,.0140229010512947,.0258080906738529,.54,.5869,-.0365893095052163,.0646351116078058,10911,event
T3_gradient_gap,lnp,7,tau2,4,3,.076277237417688,.0253046828749564,3.01,.0026,.0266508170081711,.125903657827205,9630,event
T3_gradient_gap,lnp,8,tau3,4,3,.0750225197060438,.0283960716308434,2.64,.0083,.0193312537553536,.1307137856567341,8331,event
T4_dose_high,lnp,1,Pre,4,3,.0306584762130749,.0253964285551921,1.21,.2276,-.019171362349117,.0804883147752668,4534,pooled
T4_dose_high,lnp,1,pre4,4,3,.041694375852846,.0314065566261558,1.33,.1846,-.0199265955323909,.1033153472380829,4556,event
T4_dose_high,lnp,2,Post,4,3,.0899233119321122,.0286750900625251,3.14,.0018,.0336518828029422,.1461947410612822,4395,pooled
T4_dose_high,lnp,2,pre3,4,3,.0113357280130356,.0317142731863955,.36,.7208,-.0508885945820882,.0735600506081595,5171,event
T4_dose_high,lnp,3,pre2,4,3,.0061152801684476,.0324796013712124,.19,.8507,-.0576105219321573,.0698410822690524,5781,event
T4_dose_high,lnp,4,pre1,4,3,0,,,,,,,event
T4_dose_high,lnp,5,tau0,4,3,.0225326332984658,.0313931513495857,.72,.4731,-.0390604208406759,.0841256874376075,6410,event
T4_dose_high,lnp,6,tau1,4,3,.0924343075276356,.0297673927857976,3.11,.0019,.034029226405911,.1508393886493602,5768,event
T4_dose_high,lnp,7,tau2,4,3,.1284604873467403,.0384769558170045,3.34,.0009,.052962351564565,.2039586231289156,5099,event
T4_dose_high,lnp,8,tau3,4,3,.1017794344353525,.0342126926605518,2.97,.003,.0346422857664335,.1689165831042715,4409,event
T4_dose_low,lnp,1,pre4,4,3,.0178684765779797,.0587339532692236,.3,.7611,-.0976288439410312,.1333657970969905,1521,event
T4_dose_low,lnp,1,Pre,4,3,-.0351666896330812,.0414910848554732,-.85,.3973,-.1167825832152898,.0464492039491273,1453,pooled
T4_dose_low,lnp,2,pre3,4,3,.008830960402785,.0583760641183397,.15,.8798,-.1059595100273264,.1236214308328963,1747,event
T4_dose_low,lnp,2,Post,4,3,.0255638042610106,.046412521186801,.55,.5822000000000001,-.065748420766083,.1168760292881042,1438,pooled
T4_dose_low,lnp,3,pre2,4,3,-.0078695939691024,.0500414365755328,-.16,.8751,-.1062674309968811,.0905282430586763,1977,event
T4_dose_low,lnp,4,pre1,4,3,0,,,,,,,event
T4_dose_low,lnp,5,tau0,4,3,.0304581217536189,.061274880579968,.5,.6194000000000001,-.0900020106673379,.1509182541745757,2272,event
T4_dose_low,lnp,6,tau1,4,3,-.0407946279513074,.0584117766038851,-.7000000000000001,.4854,-.1556512921099523,.0740620362073375,1977,event
T4_dose_low,lnp,7,tau2,4,3,-.0181265735608948,.0524264402007814,-.35,.7297,-.12121956479251,.0849664176707204,1744,event
T4_dose_low,lnp,8,tau3,4,3,-.0008511789894689,.0662767966606054,-.01,.9898,-.1312181225484861,.1295157645695483,1487,event
T4_dose_mid,lnp,1,pre4,4,3,-.0817089981651011,.037992219335306,-2.15,.0319,-.1563139097934068,-.0071040865367955,2538,event
T4_dose_mid,lnp,1,Pre,4,3,-.0301604654833198,.0236619100252626,-1.27,.2029,-.0766275208204005,.0163065898537608,2502,pooled
T4_dose_mid,lnp,2,Post,4,3,.0236763526261954,.0346068649474075,.68,.4942,-.0442998290153153,.0916525342677061,2437,pooled
T4_dose_mid,lnp,2,pre3,4,3,-.0361944792049852,.0298713836088392,-1.21,.2261,-.0948515545749002,.0224625961649298,2887,event
T4_dose_mid,lnp,3,pre2,4,3,-.0382660893935883,.0301426755865878,-1.27,.2047,-.0974540169049396,.0209218381177629,3239,event
T4_dose_mid,lnp,4,pre1,4,3,0,,,,,,,event
T4_dose_mid,lnp,5,tau0,4,3,-.0076661032030469,.0317951707798076,-.24,.8095,-.0700962702661926,.0547640638600988,3617,event
T4_dose_mid,lnp,6,tau1,4,3,-.030373853919661,.0348956320382145,-.87,.3844,-.0988966170496325,.0381489092103106,3229,event
T4_dose_mid,lnp,7,tau2,4,3,.0545900518565039,.0405558363535317,1.35,.1788,-.0250562152411928,.1342363189542007,2849,event
T4_dose_mid,lnp,8,tau3,4,3,.0162186784739958,.0456876094528975,.35,.7227,-.0735179344442801,.1059552913922718,2467,event
T5_late,lnp,1,Pre,4,3,.0036031473292314,.0176749256536529,.2,.8385,-.0310610483084301,.0382673429668929,7627,pooled
T5_late,lnp,1,pre4,4,3,-.0116862046386477,.0234471999072057,-.5,.6183000000000001,-.0576701097981809,.0342977005208856,7733,event
T5_late,lnp,2,Post,4,3,.0600939512251121,.0205240522414077,2.93,.0035,.0198386150953754,.1003492873548487,7402,pooled
T5_late,lnp,2,pre3,4,3,-.0139473214795232,.0220699827935478,-.63,.5275000000000001,-.0572300978322979,.0293354548732514,8815,event
T5_late,lnp,3,pre2,4,3,-.0030591748587296,.0221909030520757,-.14,.8904000000000001,-.0465788301109462,.0404604803934871,9909,event
