spec,h,b,se,lb,ub
S1_pooled,99,.070928574,.015814926,.039931316,.10192583
S2_hedonic,99,.067203104,.013178013,.041374199,.09303201
S3_es,-4,.00044560322,.031626593,-.061542518,.062433727
S3_es,-3,-.00583388,.032969862,-.070454814,.058787052
S3_es,-2,-.033900145,.026325511,-.085498147,.017697856
S3_es,-1,0,,,
S3_es,0,.048334282,.034845565,-.019963024,.11663159
S3_es,1,.030246509,.029858826,-.02827679,.088769808
S3_es,2,.064708449,.028942335,.0079814717,.12143543
S3_es,3,.066842064,.041757368,-.015002376,.1486865
S4_es_hed,-4,-.0041257762,.029759308,-.062454019,.054202467
S4_es_hed,-3,-.022168986,.020197114,-.061755329,.017417356
S4_es_hed,-2,-.04070846,.018460596,-.076891229,-.0045256917
S4_es_hed,-1,0,,,
S4_es_hed,0,.036948409,.03210675,-.025980821,.099877641
S4_es_hed,1,.037487507,.021200359,-.0040651965,.079040207
S4_es_hed,2,.046698499,.0207374,.0060531949,.087343805
S4_es_hed,3,.018277232,.031863857,-.044175927,.080730394
