test,rowname,b,se,lb,ub
isl2main,pre4,-.0016141417273564,.0089751165,-.019215856,.015987571
isl2main,pre3,-.0063396436507302,.007984438,-.021998359,.0093190726
isl2main,pre2,.0013218164523306,.009049831,-.016426193,.019069826
isl2main,pre1,0,,,
isl2main,tau0,.006649054479267,.0087333387,-.010477828,.023775937
isl2main,tau1,.0132229047973771,.0096317846,-.0056665242,.032112334
isl2main,tau2,.0128348058593593,.0098810708,-.006544081,.032213692
isl2main,tau3,.0316652835742903,.010787239,.010508322,.052822247
isl2main,Pre,-.0014296035786325,.0066167857,-.014406696,.011547489
isl2main,Post,.0091449519075991,.0081484318,-.0068370537,.025126958
main2isl,pre4,.0104983942455681,.0094174854,-.0079708807,.028967669
main2isl,pre3,.0057211893307534,.0085482579,-.011043265,.022485644
main2isl,pre2,.0063252107313993,.0073147458,-.008020049,.02067047
main2isl,pre1,0,,,
main2isl,tau0,.0097257663856155,.007466611,-.0049169455,.024368478
main2isl,tau1,.0053199213660395,.0081526842,-.010668761,.021308605
main2isl,tau2,-.0117109923540826,.008390611,-.028166771,.0047447868
main2isl,tau3,-.006509858297083,.0090211043,-.024202907,.011183191
main2isl,Pre,.003396070607498,.0065330593,-.0094168149,.016208956
main2isl,Post,-.0056851195790704,.0083248075,-.022013061,.010642822
netin,pre4,-.0121125355348766,.013772224,-.039122183,.014897114
netin,pre3,-.0120608332109998,.012284903,-.036153425,.012031758
netin,pre2,-.0050033944460743,.012707562,-.029924735,.019917946
netin,pre1,0,,,
netin,tau0,-.0030767112889012,.012077182,-.026761178,.020607755
netin,tau1,.0079029832842551,.013358029,-.018294189,.034100156
netin,tau2,.0245457982389967,.013502658,-.0019357956,.051027391
netin,tau3,.0381751416787108,.015020532,.0087154433,.067634843
netin,Pre,-.0048256744762001,.0099284817,-.024297791,.014646442
netin,Post,.0148300707227089,.012588363,-.0098602362,.039520379
