outcome,spec,b,se,r2,nobs
lnhp,1,8.4482517,1.4585387,.73246413,16343
lnhp,2,7.2025671,1.4941943,.76071304,16324
lnhp,3,5.5880628,1.4760967,.75730199,15314
lninc_all,1,9.5648146,1.9151611,.61378711,11088
lninc_all,2,7.5400834,2.0294645,.6531437,11071
lninc_all,3,6.694521,1.9631848,.65182924,10707
purch_hisp_n,1,.0063442183,.04542749,.5492081,12350
purch_hisp_n,2,.016685892,.04737249,.5652917,12329
purch_hisp_n,3,.040316973,.039410044,.54803824,11159
purch_nonhisp_n,1,.37376496,.13854413,.35274842,7033
purch_nonhisp_n,2,.26055938,.12388845,.37541458,5379
purch_nonhisp_n,3,.24594823,.11521525,.38309258,4991
