tract_geoid,n_events,group,V_assessed,ratio,V_market,uplift_d2_dose,uplift_d2_uniform,uplift_ring_central,uplift_ring_conserv
72001956500,1,lo14,6054413.0,9.997917100604042,60531519.26681942,2319315.0067658047,4747077.119581397,1183924.823266141,246865.3135542024
72003430100,1,lo14,17905824.0,13.740245261984393,246030413.37792644,9426857.88792035,19294499.133903455,4593925.435939732,3808199.247758394
72003430300,1,lo14,14282866.0,11.155475240893704,159332158.0320025,6104942.840689111,12495342.112152291,7052290.79111978,4694845.085843996
72003430501,1,lo14,24068851.0,12.401947870066724,298500635.39440334,11437297.652280534,23409383.303518336,9475427.308065642,3208088.474668191
72003430502,1,lo14,10971053.0,10.730080390585844,117720280.65937799,4510549.492909231,9232004.377183326,4163906.401456929,1872360.097351651
72003430601,2,lo14,13295640.0,12.423746466299658,165181660.46719238,6329071.343399363,12954078.973664483,7507952.916019189,5245133.01900206
72003430602,1,lo14,14613879.0,15.96763891845859,233349143.0700447,8940964.57339312,18299992.984794278,9115476.267567372,4442728.07511345
72005400100,6,hi5,94990991.0,14.851485148514852,1410757292.079208,283469804.7934361,110636140.37162933,49243016.08514858,18874105.03871484
72005400300,5,hi5,20930312.0,15.0257734175437,314494125.6704959,63192718.4874636,24663644.433446787,25019947.118230164,24239962.077456344
72005400400,1,lo14,17585316.0,13.315579227696405,234158668.44207725,8971982.204644645,18363478.57738873,15793345.657547437,14897626.704459978
72005400501,2,lo14,14278791.0,13.67195174029548,195218941.46176544,7479974.499589302,15309699.501132984,11783731.37737056,10350050.612655047
72005400502,1,lo14,23465979.0,12.636080870917574,296518008.3592535,11361331.6647894,23253899.29206082,14216212.98255335,9831903.987253578
72005400700,2,lo14,16193328.0,13.240648791790798,214410168.8182721,8215302.179206935,16814737.494301204,14644535.213588411,14205172.105403468
72005401301,1,lo14,16450406.0,12.095701075593691,198979193.54815292,7624051.654744426,15604590.606781028,10342079.690632025,7669509.368854285
72005401303,1,lo14,16251389.0,15.207840486650895,247148531.598513,9469699.508282028,19382185.573732216,10402916.451209148,5975471.226961056
72007230200,1,lo14,18562610.0,9.677678885524823,179642978.85723194,6883168.666015588,14088182.238869801,5576488.212161683,1596896.2058691708
72007230502,2,lo14,12669917.0,10.293713972001099,130420501.64699425,4997168.918335858,10227996.699764732,4787434.115422491,2038590.3821635593
72011810200,1,lo14,25190050.0,9.604302727621974,241932865.9239339,9269856.983001888,18973156.236833476,860387.9590708836,334097.8294560354
72011810700,2,lo14,12750922.0,13.748951172897657,175311803.98742655,6717216.134274443,13748517.52576835,7118120.811989475,5199991.677865685
72013300302,1,lo14,33232769.0,10.529176784456215,349913699.8379962,13407231.553695194,27441361.76406107,14087277.34003686,7004474.576631503
72013300400,1,lo14,7590831.0,11.190050109683778,84941779.26414102,3254614.219747508,6661408.498008191,1301839.8570698644,98589.6348794428
72013300800,1,lo14,19866322.0,9.765625,194007050.78125,7433539.910206382,15214659.122325538,10234732.181054998,7222138.29525071
72013302202,1,lo14,82976893.0,11.213645220513495,930473439.6025097,35651856.05790744,72970730.4395462,7417367.089703937,4495707.931161124
72017590100,1,lo14,29837008.0,11.898224418817499,355007417.17005306,13602401.527810456,27840827.518324357,7729810.964511697,6444376.800249006
72019952500,1,lo14,17385565.0,9.659613615455381,167937840.38638455,6434676.646642312,13170227.49909921,992072.6657878489,275644.02455280424
72021030101,3,lo14,85583811.0,11.498028909329829,984045133.0486202,37704499.60712576,77171995.55391216,39023407.14571458,17492531.885199096
72021030104,2,lo14,24331431.0,15.181818181818182,369395361.54545456,14153687.464634322,28969176.556471124,32397831.44947888,31414643.024261158
72021030105,4,lo14,29312990.0,16.42427260883686,481444538.7401087,18446943.9582934,37756434.69522778,39654980.98746866,39999020.19093733
72021030200,1,lo14,25237678.0,12.00795273084097,303052844.46018505,11611719.291256152,23766382.231704313,23975613.483646013,23227575.14575049
72021031021,1,lo14,35529807.0,11.574074074074074,411224618.0555556,15756409.873072412,32249561.86503956,14047644.31578043,5739254.363578163
72021031033,1,lo14,24282416.0,10.01669449081803,243229542.5709516,9319540.216510277,19074845.804799225,17216475.937029265,16761093.980069876
72021031122,1,lo14,16190459.0,12.774944957413009,206832222.56025207,7924946.92809853,16220450.489273343,14999246.586211111,14941577.901486948
72021031202,1,lo14,6259927.0,13.934306569343065,87227741.91970803,3342202.76132355,6840681.067900684,7461692.177081185,7277227.691917661
72021031501,1,lo14,19018922.0,9.719313540324004,184850866.1169661,7082713.1549256295,14496601.56736987,12236944.950512698,11597449.307851974
72021032100,1,lo14,5132488.0,8.772309512473129,45023773.30505418,1725122.9500343036,3530909.6266281893,1525465.2463324964,887956.9688490841
72023830102,1,lo14,15901921.0,10.769753996145562,171259777.23614103,6561959.39256526,13430744.50913265,8225210.179333973,5335680.792552394
72023830201,3,lo14,26841600.0,13.904982618771726,373231981.46002316,14300690.716013031,29270056.673698947,14901832.122122092,8202905.788770093
72023830503,1,lo14,32727400.0,12.822248127159082,419638843.35678613,16078807.844374446,32909432.571908955,16951115.163326625,8575744.992997857
72023830606,1,lo14,37895357.0,13.776716869404371,522073604.05400103,20003680.05272399,40942697.13631074,13376967.28778617,9307025.999391504
72025200100,1,lo14,60862554.0,10.508405480690257,639568396.0224067,24505589.76075482,50157017.9625341,24100628.15527397,11870477.30172322
72025200302,1,lo14,41324113.0,11.664779161947905,482036652.2083805,18469631.27341955,37802870.14458498,21955225.90426473,14516312.073023554
72025200304,1,lo14,40166680.0,12.614598941080047,506686558.9947011,19414112.750464354,39735995.39771735,22717832.81064616,14778663.92154313
72025200305,1,lo14,33175003.0,12.35016060330424,409716615.06509995,15698629.49669371,32131299.403119557,20821448.88141428,15588035.91089683
72025200306,1,lo14,36586112.0,9.888529306005035,361782840.7047825,13862007.459920375,28372178.101074684,23402315.64553897,22194731.154441517
72025202500,1,lo14,28260043.0,10.976173500994799,310187135.11357355,11885075.512534792,24325876.33222177,16801618.277223695,12962595.152126087
