test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
T_lnhp_base,event,1,pre4,-1.181132826641184,2.046063202557679,-.58,.5639000000000001,-5.19667798891214,2.834412335629772,11518
T_lnhp_base,event,2,pre3,-1.266766902340114,1.723079025932061,-.74,.4624,-4.648432550861051,2.114898746180824,12422
T_lnhp_base,event,3,pre2,-1.417343784298114,1.920521734820555,-.74,.4607,-5.186504850121789,2.35181728152556,13325
T_lnhp_base,event,4,pre1,0,,,,,,
T_lnhp_base,event,5,tau0,7.208972786382438,1.956025113496197,3.69,.0002,3.370144991284211,11.04780058148066,14266
T_lnhp_base,event,6,tau1,5.207479509464128,2.186531878525646,2.38,.0174,.916254538510489,9.498704480417768,13307
T_lnhp_base,event,7,tau2,5.01787703978765,2.067770986255905,2.43,.0154,.9597288016664125,9.076025277908887,12380
T_lnhp_base,event,8,tau3,10.31623714063458,2.724383405053039,3.79,.0002,4.9694323197712,15.66304196149796,11444
T_lnhp_base,pooled,1,Pre,-1.400501486822875,1.607606161178404,-.87,.3839,-4.55555725881744,1.754554285171689,11467
T_lnhp_base,pooled,2,Post,7.550335510331943,1.810287281291111,4.17,0,3.99750181652525,11.10316920413864,11402
T_lnhp_dose14,event,1,pre4,-2.72997096314235,2.265542051412848,-1.2,.2285,-7.176559244226598,1.716617317941899,11259
T_lnhp_dose14,event,2,pre3,-1.815286556821565,1.81242541134035,-1,.3168,-5.372541029047952,1.741967915404823,12119
T_lnhp_dose14,event,3,pre2,-2.959266760577348,2.171553296098207,-1.36,.1733,-7.221382942512014,1.302849421357318,12978
T_lnhp_dose14,event,4,pre1,0,,,,,,
T_lnhp_dose14,event,5,tau0,4.695985455210915,2.142223204589604,2.19,.0286,.4914490863558836,8.900521824065946,13875
T_lnhp_dose14,event,6,tau1,2.063719224251013,2.581371483425556,.8,.4242,-3.002748723305728,7.130187171807753,12960
T_lnhp_dose14,event,7,tau2,.7700871042053639,2.246203422501363,.34,.7318,-3.63854517397158,5.178719382382307,12077
T_lnhp_dose14,event,8,tau3,6.447678571373301,3.409656549366535,1.89,.059,-.2444785304427359,13.13983567318934,11186
T_lnhp_dose14,pooled,1,Pre,-2.648732894073293,1.7534121429781,-1.51,.1313,-6.090178497146147,.7927127089995611,11208
T_lnhp_dose14,pooled,2,Post,3.759395487733264,2.12196386636188,1.77,.0768,-.4054115412447339,7.924202516711263,11144
T_lnhp_dose5,event,1,pre4,5.31871707819901,4.545314306929721,1.17,.2423,-3.604936038251496,14.24237019464952,9604
T_lnhp_dose5,event,2,pre3,1.04738261262713,4.677649378088464,.22,.8229000000000001,-8.136079219000896,10.23084444425516,10317
T_lnhp_dose5,event,3,pre2,5.069648117851568,3.890141110760484,1.3,.1929,-2.567726880296558,12.70702311599969,11029
T_lnhp_dose5,event,4,pre1,0,,,,,,
T_lnhp_dose5,event,5,tau0,17.85739215018668,4.353941570940539,4.1,0,9.309494155614265,26.40529014475909,11777
T_lnhp_dose5,event,6,tau1,17.27400299382304,3.074202403745724,5.62,0,11.23853129520782,23.30947469243825,11029
T_lnhp_dose5,event,7,tau2,19.14840287673309,4.221241186419546,4.54,0,10.86099093449346,27.43581481897272,10315
T_lnhp_dose5,event,8,tau3,21.37861276521081,3.39208559287701,6.3,0,14.71903676765973,28.03818876276189,9594
T_lnhp_dose5,pooled,1,Pre,3.844193860976298,3.807366421616916,1.01,.313,-3.630725210569549,11.31911293252215,9557
T_lnhp_dose5,pooled,2,Post,18.30636932946242,2.876952192192122,6.36,0,12.6581121280424,23.95462653088244,9556
T_lnhp_fips,event,1,pre4,-1.31158302874837,2.132320137583009,-.62,.5386000000000001,-5.496413586367968,2.873247528871227,11518
T_lnhp_fips,event,2,pre3,-1.336118263971481,1.774333677375679,-.75,.4516,-4.818374826493034,2.146138298550073,12422
T_lnhp_fips,event,3,pre2,-1.487053353619584,1.937662923143146,-.77,.443,-5.289855225728379,2.315748518489212,13325
T_lnhp_fips,event,4,pre1,0,,,,,,
T_lnhp_fips,event,5,tau0,7.175460869700785,1.952288336046232,3.68,.0003,3.343966745852506,11.00695499354906,14266
T_lnhp_fips,event,6,tau1,5.233918817771822,2.222127927008679,2.36,.0187,.8728340594453767,9.595003576098268,13307
T_lnhp_fips,event,7,tau2,5.041701951257671,2.101056076767801,2.4,.0166,.9182293458276822,9.16517455668766,12380
T_lnhp_fips,event,8,tau3,10.21166717217724,2.727059016515878,3.74,.0002,4.859611265052753,15.56372307930173,11444
T_lnhp_fips,pooled,1,Pre,-1.533207246154921,1.665979028192274,-.92,.3577,-4.802824442114781,1.736409949804939,11467
T_lnhp_fips,pooled,2,Post,7.50732738148046,1.824972169000945,4.11,0,3.925673420092779,11.08898134286814,11402
T_lnhpsimple_base,event,1,pre4,-2.68227396082458,1.911285236789409,-1.4,.1608,-6.433307739603101,1.06875981795394,11518
T_lnhpsimple_base,event,2,pre3,-1.511466205291942,1.85808447667132,-.8100000000000001,.4162,-5.158089692807571,2.135157282223687,12422
T_lnhpsimple_base,event,3,pre2,-1.949830020429663,1.901350636940747,-1.03,.3054,-5.681366437488601,1.781706396629275,13325
T_lnhpsimple_base,event,4,pre1,0,,,,,,
T_lnhpsimple_base,event,5,tau0,4.974854456134329,1.851514619214526,2.69,.0073,1.341135372350566,8.608573539918092,14266
T_lnhpsimple_base,event,6,tau1,4.571960031646596,2.262392347967753,2.02,.0436,.1318534715538409,9.012066591739352,13307
T_lnhpsimple_base,event,7,tau2,3.338371992773879,2.180173913634306,1.53,.1261,-.9403750180026775,7.617119003550435,12380
T_lnhpsimple_base,event,8,tau3,9.159602702868948,2.706394813324151,3.38,.0007,3.848101829606397,14.4711035761315,11444
T_lnhpsimple_base,pooled,1,Pre,-2.107670887633353,1.565883358527875,-1.35,.1786,-5.180842319728494,.9655005444617872,11467
T_lnhpsimple_base,pooled,2,Post,6.047140352082252,1.763334694387584,3.43,.0006,2.586454868389075,9.50782583577543,11402
T_lnsales_base,event,1,pre4,-9.433286764495472,2.784735605949096,-3.39,.0007,-14.89852927347283,-3.968044255518117,11518
T_lnsales_base,event,2,pre3,-9.943078012709472,2.587118402552562,-3.84,.0001,-15.02048264644989,-4.865673378969061,12422
T_lnsales_base,event,3,pre2,-4.004453198753266,2.363517529143012,-1.69,.0906,-8.643025149135273,.6341187516287405,13325
T_lnsales_base,event,4,pre1,0,,,,,,
T_lnsales_base,event,5,tau0,-.0901992383653007,2.50671355489109,-.04,.9713000000000001,-5.009789279653444,4.829390802922842,14266
T_lnsales_base,event,6,tau1,-10.4277922169856,2.983188144627061,-3.5,.0005,-16.2825120063483,-4.5730724276229,13307
T_lnsales_base,event,7,tau2,-6.62619142229107,2.934528967994672,-2.26,.0242,-12.38541410233573,-.8669687422464145,12380
T_lnsales_base,event,8,tau3,-10.86352658512903,3.315608068489494,-3.28,.0011,-17.37065372876542,-4.356399441492645,11444
T_lnsales_base,pooled,1,Pre,-7.729010740143885,2.232042955658597,-3.46,.0006,-12.10957370428953,-3.348447775998244,11467
T_lnsales_base,pooled,2,Post,-5.852130979722532,2.410150921743917,-2.43,.0154,-10.58224508394578,-1.122016875499281,11402
