municipio,stock_B,uplift_ring_B,uplift_ring_hi5_B,uplift_d2_B,uplift_d2_hi5_B,uplift_conc_B,uplift_synth_B,uplift_pct_of_stock,growth_2019_2024_pct,boom_B,share_ring_pct,share_ring_hi5_pct,share_d2_pct,share_d2_hi5_pct,share_synth_pct,share_conc_pct
San Juan,37.866,2.682,1.075,3.163,2.68,1.605,4.287,11.322,88.612,17.79,15.078,6.044,17.778,15.064,24.098,9.021
Carolina,16.035,0.795,0.361,0.933,0.882,0.521,1.316,8.206,90.76,7.629,10.415,4.726,12.224,11.559,17.248,6.833
Dorado,5.84,0.427,0.385,0.933,0.924,0.538,0.965,16.534,176.935,3.731,11.45,10.331,25.009,24.759,25.878,14.428
Guaynabo,9.809,0.716,0.091,0.465,0.215,0.124,0.84,8.563,123.586,5.422,13.211,1.678,8.584,3.96,15.492,2.281
Bayamón,12.266,0.489,0.0,0.128,0.001,0.0,0.49,3.992,92.544,5.896,8.301,0.004,2.167,0.009,8.306,0.005
Río Grande,3.758,0.169,0.124,0.474,0.439,0.315,0.484,12.879,115.385,2.013,8.373,6.148,23.534,21.817,24.041,15.668
Aguadilla,4.574,0.191,0.075,0.4,0.347,0.272,0.463,10.121,104.925,2.342,8.14,3.193,17.099,14.82,19.767,11.626
Isabela,5.447,0.318,0.053,0.237,0.137,0.083,0.401,7.369,113.308,2.894,10.996,1.847,8.197,4.723,13.872,2.876
Humacao,4.627,0.21,0.129,0.346,0.312,0.183,0.393,8.488,120.498,2.529,8.299,5.118,13.664,12.352,15.533,7.234
Rincón,1.818,0.146,0.139,0.334,0.33,0.192,0.337,18.559,148.384,1.086,13.406,12.749,30.721,30.41,31.067,17.661
Fajardo,2.976,0.17,0.088,0.218,0.19,0.102,0.273,9.156,72.571,1.252,13.604,7.026,17.379,15.194,21.772,8.168
Caguas,8.122,0.235,0.0,0.116,0.0,0.0,0.235,2.893,85.667,3.747,6.268,0.0,3.105,0.002,6.27,0.001
Luquillo,1.425,0.094,0.041,0.152,0.125,0.084,0.178,12.459,123.531,0.788,11.871,5.254,19.271,15.928,22.544,10.674
Vega Alta,1.883,0.074,0.068,0.172,0.171,0.103,0.177,9.381,95.354,0.919,8.005,7.406,18.713,18.622,19.22,11.215
Mayagüez,4.229,0.161,0.0,0.053,0.0,0.0,0.161,3.807,72.463,1.777,9.062,0.0,2.965,0.0,9.062,0.0
Ponce,7.95,0.157,0.0,0.028,0.0,0.0,0.157,1.979,69.829,3.269,4.813,0.0,0.846,0.0,4.813,0.0
Vieques,0.97,0.06,0.036,0.136,0.122,0.086,0.146,15.071,117.837,0.525,11.512,6.907,25.901,23.255,27.86,16.348
Trujillo Alto,3.264,0.132,0.0,0.035,0.0,0.0,0.132,4.042,91.479,1.56,8.456,0.002,2.213,0.006,8.46,0.004
Toa Alta,3.167,0.128,0.0,0.056,0.0,0.0,0.128,4.052,80.519,1.413,9.083,0.001,3.961,0.003,9.084,0.001
Arecibo,4.644,0.087,0.0,0.06,0.0,0.0,0.087,1.864,115.571,2.49,3.478,0.0,2.403,0.0,3.478,0.0
Manatí,2.931,0.084,0.0,0.066,0.0,0.0,0.084,2.85,105.829,1.507,5.542,0.0,4.391,0.0,5.542,0.0
Culebra,0.392,0.019,0.019,0.079,0.079,0.059,0.079,20.082,74.209,0.167,11.669,11.659,47.141,47.134,47.144,35.475
Cataño,1.968,0.077,0.0,0.013,0.0,0.0,0.077,3.931,68.054,0.797,9.708,0.0,1.679,0.0,9.708,0.0
