test,h,b,se,lb,ub
entity_n,-4,-.013814634,.15712507,-.32177976,.2941505
entity_n,-3,-.1079204,.13734996,-.37712634,.16128552
entity_n,-2,-.10264289,.13955036,-.37616158,.17087582
entity_n,-1,0,,,
entity_n,0,.39656609,.35494009,-.29911646,1.0922487
entity_n,1,-.052891575,.14384407,-.33482596,.2290428
entity_n,2,-.043825824,.12750734,-.29374021,.20608857
entity_n,3,-.14366807,.18821548,-.51257038,.22523427
entity_n,99,.12110311,.13494581,-.14339069,.3855969
port10_n,-4,-.17655361,.51338518,-1.1827886,.82968134
port10_n,-3,-1.0770185,.51908863,-2.0944321,-.059604794
port10_n,-2,-.45243961,.56609225,-1.5619804,.65710121
port10_n,-1,0,,,
port10_n,0,.98421431,.66263604,-.31455234,2.2829809
port10_n,1,-.46144274,.55689484,-1.5529566,.63007116
port10_n,2,-.42239073,.49922809,-1.4008778,.55609632
port10_n,3,-.55085462,.59904963,-1.7249919,.62328267
port10_n,99,.48921177,.45271006,-.39809996,1.3765235
port25_n,-4,-1.5089741,.98501176,-3.4395971,.42164898
port25_n,-3,-2.2773612,.99049258,-4.2187266,-.3359957
port25_n,-2,-1.4756109,1.0683677,-3.5696115,.6183899
port25_n,-1,0,,,
port25_n,0,1.083232,.88176417,-.64502573,2.8114898
port25_n,1,-1.1786364,1.1314659,-3.3963096,1.0390368
port25_n,2,-1.7226322,.96085536,-3.6059086,.16064435
port25_n,3,-1.0923191,1.0770401,-3.2033176,1.0186794
port25_n,99,1.17296,.96657217,-.72152138,3.0674415
