test,h,b,se,lb,ub
port10_n,-4,-.10162695,.37554508,-.8376953,.63444144
port10_n,-3,-.30993149,.38295728,-1.0605278,.44066477
port10_n,-2,-.30585235,.33463821,-.96174324,.35003853
port10_n,-1,0,,,
port10_n,0,2.0373325,2.103004,-2.0845551,6.1592202
port10_n,1,-.18876094,.38281947,-.93908709,.56156522
port10_n,2,-.22220477,.36644989,-.94044656,.49603701
port10_n,3,.073386282,.62312293,-1.1479347,1.2947072
port10_n,99,.60348284,.27746409,.059653223,1.1473124
port25_n,-4,-.16983071,.3633109,-.8819201,.54225868
port25_n,-3,-.23847106,.37237561,-.96832722,.49138513
port25_n,-2,-.36079311,.32123855,-.99042064,.26883444
port25_n,-1,0,,,
port25_n,0,1.9033924,2.0924265,-2.1977637,6.0045485
port25_n,1,-.31504279,.36965173,-1.0395602,.40947461
port25_n,2,-.50825369,.34379536,-1.1820925,.1655852
port25_n,3,-.32867149,.63837957,-1.5798955,.92255247
port25_n,99,.38235196,.25936124,-.12599605,.89069998
