spec,h,b,se,lb,ub
baseline,-4,-.10162695,.37554508,-.8376953,.63444144
baseline,-3,-.30993149,.38295728,-1.0605278,.44066477
baseline,-2,-.30585235,.33463821,-.96174324,.35003853
baseline,-1,0,,,
baseline,0,2.0373325,2.103004,-2.0845551,6.1592202
baseline,1,-.18876094,.38281947,-.93908709,.56156522
baseline,2,-.22220477,.36644989,-.94044656,.49603701
baseline,3,.073386282,.62312293,-1.1479347,1.2947072
capped,-4,-.075972058,.048372451,-.17078206,.018837947
capped,-3,-.11197329,.056133773,-.22199549,-.0019510903
capped,-2,-.020698149,.054911759,-.12832519,.086928897
capped,-1,0,,,
capped,0,.024640823,.067444317,-.10755004,.15683168
capped,1,.017416829,.063181058,-.10641804,.1412517
capped,2,.089506991,.075360194,-.058198988,.23721297
capped,3,.22337306,.059391804,.10696512,.33978099
dropblip,-4,-.35134318,.31708437,-.97282857,.2701422
dropblip,-3,-.49462745,.33647448,-1.1541175,.16486253
dropblip,-2,-.32107636,.33922264,-.98595273,.34380001
dropblip,-1,0,,,
dropblip,0,-.43946105,.33793777,-1.101819,.22289698
dropblip,1,-.19848885,.38426888,-.95165586,.55467814
dropblip,2,-.17170125,.36656216,-.89016306,.54676056
dropblip,3,.3668685,.46012545,-.53497738,1.2687144
extensive,-4,-.041495398,.02675542,-.093936019,.010945226
extensive,-3,-.046467952,.032403845,-.10997949,.017043585
extensive,-2,-.0099416533,.031273555,-.071237825,.051354516
extensive,-1,0,,,
extensive,0,.0030284266,.035140488,-.065846927,.07190378
extensive,1,.017332569,.034831278,-.050936736,.085601874
extensive,2,.012254555,.037866354,-.061963499,.086472608
extensive,3,.095077612,.030564575,.035171047,.15498418
