tract_geoid,year,municipio,port10_n,buyers
72127001600,2014,San Juan,483,COBIAN PLAZA LLC (480) | PLAZA COBIAN LLC (1) | MAS INC (1) | ARMATEL LLC (1)
72053150601,2023,Fajardo,37,JUF RESORT OWNER LLC (37)
72127002100,2023,San Juan,32,607 609 CONDADO ST LLC (20) | CONDADO 607 609 LLC (2) | RM EQUITIES LLC (2) | BEYOND TOMORROW HOSPITAL CORP (1) | BETOND TOMORROW HOSPITALS CORP (1)
72023830606,2015,Cabo Rojo,16,EL COMBATE DEVELOPMENT LLC (16)
72095951400,2021,Maunabo,11,SANDY KAY LLC (11)
72097080600,2022,Mayagüez,5,RAMEY RESORT INC (3) | JR PROPERTIES INC (1) | V RELATED GROUP LLC (1)
72127006702,2022,San Juan,4,RANA HOLDING LLC (3) | BELA LIVING LLC (1)
72127000506,2019,San Juan,4,MIGSIF3 LLC (2) | BQB PR 1 LLC (1) | TRUIM REALTY LLC (1)
72127010500,2019,San Juan,3,BAM BAM LLC (2) | T J LLC (1)
72127007300,2025,San Juan,3,INVERSIONES B TRES INC (2) | SABRI Y TAREK REALTY LLC (1)
72031050803,2023,Carolina,3,SABRI Y TAREK REALTY LLC (3)
72025200306,2025,Caguas,3,PR HOUSING INVESTMENT GROUP LLC (1) | RR CAPITAL INVESMENT LLC (1) | RR CAPITAL INVESTMENT LLC (1)
72151950602,2021,Yabucoa,2,PLAYA FORTUNA LLC (2)
72127008700,2025,San Juan,2,MR HOME LLC (1) | SABRI Y TAREK REALY LLC (1)
72127005602,2024,San Juan,2,SABRI Y TAREK REALTY LLC (2)
72127001001,2014,San Juan,2,IRA REALTY LLC (1) | TRIUM REALTY LLC (1)
72119130701,2024,Río Grande,2,ALDAVI INVERSIONES INMOBILIARIAS LLC (1) | TWIN INVESTMENTS LLC (1)
72113071602,2024,Ponce,2,CONSTELLATIONS REALTY LLC (2)
72069180600,2025,Humacao,2,CONSTELLATIONS RALTY LLC (1) | HIRAL INVESTMENTS INC (1)
72055961500,2024,Guánica,2,JSR INVESTMENT LLC (1) | J S R INVESTMENT LLC (1)
72029100700,2025,Canóvanas,2,ALEJANDRO INVESTMENT GROUP INC (2)
72023830503,2022,Cabo Rojo,2,JR PROPERTIES INC (1) | ALAMEDA HOLDING CORP (1)
72021030104,2021,Bayamón,2,SP PROPERTIES INC (2)
72151951300,2021,Yabucoa,1,SPLIT ROCK LLC (1)
72143550101,2018,Vega Alta,1,ORTIZ MEDICAL GROUP (1)
72127009300,2024,San Juan,1,CUATRO AN INC (1)
72127007900,2021,San Juan,1,JMC INVESTMENT LLC (1)
72127006900,2022,San Juan,1,X X REAL ESTATE INC (1)
72127006800,2019,San Juan,1,CONDADO 3 CR LLC (1)
72127006500,2023,San Juan,1,ANDSIX LLC (1)
72127006301,2022,San Juan,1,SARA INVESTMENT LLC (1)
72127005601,2024,San Juan,1,REALTY KINGS LLC (1)
72127005500,2021,San Juan,1,COTRUST PUERTO RICO 18 LLC (1)
72127001400,2023,San Juan,1,TROPICALIA CORP (1)
72127000600,2017,San Juan,1,DROC INVESTMENT LLC (1)
72119130102,2021,Río Grande,1,ROUTE 65 INC (1)
72111730800,2014,Peñuelas,1,INVERSIONES SIGLO XX (1)
72099420100,2025,Moca,1,PHALANX CAPITAL SERIES 5 REAL ESTATE LLC (1)
72097081501,2020,Mayagüez,1,ALAMEDA HOLDINGS COR (1)
72089140201,2023,Luquillo,1,MENR INVESTMENT CORP (1)
72089140101,2020,Luquillo,1,AQUI INVESTMENT LLC (1)
72069180901,2026,Humacao,1,MCLP ASSET COMPANY INC (1)
72065310200,2017,Hatillo,1,TONNE INVESTMENT GRO (1)
72053150106,2017,Fajardo,1,LIME RESIDENTIAL LTD (1)
72051540600,2021,Dorado,1,JJA INVESTMENT GROUP (1)
72043954600,2025,Coamo,1,PHALANX CAPITAL SERIES 22 REAL ESTATE LLC (1)
72035260700,2024,Cayey,1,VPP HOLDINGS LLC (1)
72031050506,2025,Carolina,1,DREAM PROPERTIES LLC (1)
72031050106,2021,Carolina,1,JVI HOLDINGS LLC (1)
72023830606,2015,Caguas,1,EL COMBATE DEVELOPMENT LLC (1)
72023830201,2022,Cabo Rojo,1,DUNAMIS VENTURE CAPITAL INC CORPORATION (1)
72021031021,2018,Bayamón,1,VP PETROLEUM LLC (1)
72007230502,2020,Aguas Buenas,1,ASTURIAS INVESTMENT (1)
72003430100,2025,Aguada,1,EMPRESAS PUCHO INC (1)
