test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
H_cashout_n,event,1,pre3,-28.21946503081346,8.575261131034052,-3.29,.001,-45.04976360120104,-11.38916646042588,3332
H_cashout_n,event,2,pre2,-13.63807659856817,6.993684450879095,-1.95,.0515,-27.36392554732043,.0877723501840979,4232
H_cashout_n,event,3,pre1,0,,,,,,
H_cashout_n,event,4,tau0,-9.139228171734082,6.681822839492534,-1.37,.1717,-22.2527064389326,3.974250095464436,5148
H_cashout_n,event,5,tau1,5.266533275405394,7.873772534974727,.67,.5037,-10.18621779246,20.71928434327079,4228
H_cashout_n,event,6,tau2,-13.19821783956083,9.771988716766625,-1.35,.1772,-32.37633206719883,5.979896388077162,3317
H_cashout_n,event,7,tau3,-13.37060318810988,11.65058441348225,-1.15,.2514,-36.23667176148721,9.495465385267442,2438
H_cashout_n,pooled,1,Pre,-23.8005390204801,6.845344223794699,-3.48,.0005,-37.23560360254843,-10.36547443841177,3332
H_cashout_n,pooled,2,Post,-5.204778553631887,8.282567465722416,-.63,.5299,-21.4605944778243,11.05103737056053,2438
H_cashout_v,event,1,pre3,-146.9418085640231,67.87493365757659,-2.16,.0307,-280.1570403157484,-13.72657681229785,3332
H_cashout_v,event,2,pre2,-56.81144444977334,57.29803359295953,-.99,.3217,-169.2649243974765,55.64203549792979,4232
H_cashout_v,event,3,pre1,0,,,,,,
H_cashout_v,event,4,tau0,-38.32169546706496,49.25490753821327,-.78,.4368,-134.9874070656512,58.34401613152133,5148
H_cashout_v,event,5,tau1,55.22788823133725,60.654050431069,.91,.3628,-63.80932530331456,174.2651017659891,4228
H_cashout_v,event,6,tau2,-6.763889206826769,72.75851726754108,-.09,.926,-149.5568452400566,136.029066826403,3317
H_cashout_v,event,7,tau3,-82.76240410476159,80.34514804449337,-1.03,.3033,-240.4521473418069,74.92733913228371,2438
H_cashout_v,pooled,1,Pre,-127.0006249652018,53.22884436912728,-2.39,.0172,-231.4706031501202,-22.53064678028342,3332
H_cashout_v,pooled,2,Post,-47.55372531015388,58.33452581061254,-.8200000000000001,.4152,-162.0442281073634,66.93677748705565,2438
H_purch_nonoo_n,event,1,pre3,-3.329895973612369,7.241548380427236,-.46,.6458,-17.54257352268665,10.88278157546191,3332
H_purch_nonoo_n,event,2,pre2,11.32951928624872,7.802617653357726,1.45,.1468,-3.983947037127363,26.64298560962481,4232
H_purch_nonoo_n,event,3,pre1,0,,,,,,
H_purch_nonoo_n,event,4,tau0,7.415557536212726,7.519206304656118,.99,.3243,-7.341336028804138,22.17245110122959,5148
H_purch_nonoo_n,event,5,tau1,13.97525417912228,8.059754261685987,1.73,.0833,-1.842497187300774,29.79300554554534,4228
H_purch_nonoo_n,event,6,tau2,1.973297064781679,8.94829985642618,.22,.8255,-15.58827834875207,19.53487247831543,3317
H_purch_nonoo_n,event,7,tau3,20.64322555280361,9.822240828595701,2.1,.0359,1.365563217600112,39.92088788800712,2438
H_purch_nonoo_n,pooled,1,Pre,3.858686962945416,7.088828578549785,.54,.5863,-10.05425395724582,17.77162788313666,3332
H_purch_nonoo_n,pooled,2,Post,11.87904053070083,7.370996864812241,1.61,.1074,-2.587677513923778,26.34575857532545,2438
H_purch_nonoo_v,event,1,pre3,-4.032800680492927,65.11030987007425,-.06,.9506,-131.8220234667222,123.7564221057363,3332
H_purch_nonoo_v,event,2,pre2,88.7457499342039,70.31878260817483,1.26,.2073,-49.26233366165141,226.7538335300592,4232
H_purch_nonoo_v,event,3,pre1,0,,,,,,
H_purch_nonoo_v,event,4,tau0,63.10778530691502,62.49905547695702,1.01,.3129,-59.55036134034857,185.7659319541786,5148
H_purch_nonoo_v,event,5,tau1,140.2213079107143,65.32316226668776,2.15,.0321,12.02068222726686,268.4219335941617,4228
H_purch_nonoo_v,event,6,tau2,19.05256747695763,77.80060578238756,.24,.8066,-133.6357898186247,171.74092477254,3317
H_purch_nonoo_v,event,7,tau3,154.1158899951626,77.97457294458472,1.98,.0484,1.078765963221258,307.153014027104,2438
H_purch_nonoo_v,pooled,1,Pre,45.77658789556447,62.36649342799398,.73,.4631,-76.62746361285664,168.1806394039856,3332
