outcome,h,b,se,lb,ub
purch_hisp_n,-4,-.24464329,.091149293,-.42329589,-.065990672
purch_hisp_n,-3,-.069443256,.082338981,-.23082766,.091941148
purch_hisp_n,-2,-.0020766521,.050516054,-.10108812,.09693481
purch_hisp_n,-1,0,,,
purch_hisp_n,0,.0134492,.05267527,-.08979433,.11669273
purch_hisp_n,1,-.045792438,.066496834,-.17612623,.084541358
purch_hisp_n,2,-.11270355,.07079687,-.25146541,.026058318
purch_hisp_n,3,-.14714178,.082597472,-.30903283,.014749261
purch_hisp_n,99,-.0080346894,.053067673,-.11204733,.095977947
purch_nonhisp_n,-4,-.50431627,.30861002,-1.1091919,.10055938
purch_nonhisp_n,-3,-.071439579,.24044263,-.54270715,.39982799
purch_nonhisp_n,-2,-.10091582,.20088939,-.49465904,.2928274
purch_nonhisp_n,-1,0,,,
purch_nonhisp_n,0,.27752307,.16146919,-.038956545,.59400266
purch_nonhisp_n,1,-.029898228,.19393648,-.41001374,.35021728
purch_nonhisp_n,2,.062003266,.23922473,-.40687722,.53088373
purch_nonhisp_n,3,-.21278003,.2285669,-.66077113,.23521109
purch_nonhisp_n,99,.19504862,.15743548,-.11352492,.50362217
lninc_all,-4,-4.4643831,3.7635651,-11.840971,2.9122045
lninc_all,-3,-4.5115995,3.762548,-11.886193,2.8629944
lninc_all,-2,-3.5460072,3.1506221,-9.7212267,2.6292121
lninc_all,-1,0,,,
lninc_all,0,8.3667202,3.6724389,1.16874,15.5647
lninc_all,1,6.2118106,3.9184237,-1.4682997,13.891921
lninc_all,2,8.7636566,4.2234764,.48564285,17.04167
lninc_all,3,12.643496,4.1478949,4.5136218,20.773369
lninc_all,99,10.71157,2.6008503,5.613903,15.809237
lninc_hisp,-4,-5.4019847,3.6596198,-12.57484,1.7708701
lninc_hisp,-3,-3.3564804,3.7826748,-10.770523,4.0575624
lninc_hisp,-2,-3.1855781,3.1754899,-9.4095383,3.0383821
lninc_hisp,-1,0,,,
lninc_hisp,0,5.9349408,3.2004495,-.33794013,12.207822
lninc_hisp,1,7.1327872,3.7600858,-.23698097,14.502556
lninc_hisp,2,9.8009195,4.2056937,1.5577599,18.044079
lninc_hisp,3,15.145988,4.2783022,6.7605152,23.53146
lninc_hisp,99,10.247598,2.4816604,5.3835435,15.111652
