outcome,h,b,se
lninc_all,99,6.001204,3.9198513
lninc_all,-3,1.4030263,6.4675813
lninc_all,-2,-.98348564,4.1745658
lninc_all,-1,0,
lninc_all,0,6.1440907,4.5563416
lninc_all,1,.1762453,6.1753182
lninc_all,2,-.664675,8.0647631
lninc_all,3,-.21567914,11.150263
lninc_hisp,99,3.2657244,3.6286268
lninc_hisp,-3,1.3801939,7.0096426
lninc_hisp,-2,-.89089525,4.3490543
lninc_hisp,-1,0,
lninc_hisp,0,3.6546457,4.0405092
lninc_hisp,1,1.8627785,6.2199297
lninc_hisp,2,2.7192111,8.2511206
lninc_hisp,3,5.1730342,11.29999
