test,h,b,se,lb,ub
hi5,-4,82.080681,7.6992993,66.990051,97.17131
hi5,-3,39.056347,37.163635,-33.784378,111.89707
hi5,-2,3.09676,6.4929533,-9.6294289,15.822948
hi5,-1,0,,,
hi5,0,16.847782,7.5377121,2.0738664,31.621698
hi5,1,16.972181,7.3427029,2.5804837,31.363878
hi5,2,22.727636,7.8791494,7.2845035,38.170769
hi5,3,20.293348,7.4178562,5.7543502,34.832348
hi5,99,10.903839,10.109145,-8.9100857,30.717764
lo14,-4,-6.4020014,3.6958549,-13.645877,.84187424
lo14,-3,-6.1386671,3.7430441,-13.475034,1.1976994
lo14,-2,-4.1370115,3.3275161,-10.658943,2.3849199
lo14,-1,0,,,
lo14,0,7.9343815,3.9598684,.17303936,15.695724
lo14,1,5.5712571,4.2300901,-2.7197196,13.862234
lo14,2,7.19592,4.6545911,-1.9270785,16.318918
lo14,3,13.082685,4.444798,4.3708816,21.794489
lo14,99,10.930686,2.6954286,5.647646,16.213726
