test,h,b,se,lb,ub
purch_hisp_n,-4,-.14730367,.063770086,-.27229303,-.022314303
purch_hisp_n,-3,-.081819966,.058973581,-.19740818,.033768252
purch_hisp_n,-2,-.052066345,.043385305,-.13710155,.032968853
purch_hisp_n,-1,0,,,
purch_hisp_n,0,-.0098009957,.043756675,-.095564082,.075962089
purch_hisp_n,1,-.081372537,.053101834,-.18545213,.022707058
purch_hisp_n,2,-.096860819,.055997107,-.20661515,.012893512
purch_hisp_n,3,-.13830675,.07230965,-.28003368,.0034201632
purch_hisp_n,99,.0063442183,.04542749,-.082693659,.095382102
purch_nonhisp_n,-4,-.26599818,.15312351,-.56612027,.034123901
purch_nonhisp_n,-3,.10818885,.17992094,-.24445619,.46083391
purch_nonhisp_n,-2,-.052378405,.19148317,-.42768541,.32292861
purch_nonhisp_n,-1,0,,,
purch_nonhisp_n,0,.30116236,.16963807,-.03132825,.63365299
purch_nonhisp_n,1,.23508786,.18442063,-.12637658,.59655231
purch_nonhisp_n,2,.30241165,.21607731,-.12109989,.72592318
purch_nonhisp_n,3,.39885306,.19212686,.022284428,.77542168
purch_nonhisp_n,99,.37376496,.13854413,.10221847,.64531147
lninc_all,-4,-3.732954,2.464828,-8.5640173,1.0981089
lninc_all,-3,-1.0601925,2.9918783,-6.924274,4.8038888
lninc_all,-2,-2.3884897,3.3472786,-8.9491558,4.1721764
lninc_all,-1,0,,,
lninc_all,0,7.0139346,3.3711972,.40638804,13.621481
lninc_all,1,5.6867394,3.3970723,-.97152227,12.345001
lninc_all,2,4.8344574,3.5212953,-2.0672815,11.736197
lninc_all,3,10.025647,3.1935306,3.7663274,16.284967
lninc_all,99,9.5648146,1.9151611,5.8110986,13.31853
lninc_hisp,-4,-4.3055339,2.4132817,-9.0355663,.4244982
lninc_hisp,-3,-.88781005,2.8231297,-6.421144,4.645524
lninc_hisp,-2,-4.4229603,3.0206516,-10.343437,1.4975169
lninc_hisp,-1,0,,,
lninc_hisp,0,2.0770273,2.7026856,-3.2202365,7.3742909
lninc_hisp,1,2.8954389,3.1441617,-3.267118,9.0579958
lninc_hisp,2,2.6579971,3.3235488,-3.8561585,9.1721525
lninc_hisp,3,4.6810412,3.1626174,-1.517689,10.879771
lninc_hisp,99,6.1037498,1.7902591,2.594842,9.6126575
inc_hi5,-4,-3.8610241,7.5795832,-18.717007,10.994959
inc_hi5,-3,-.60789829,9.3108501,-18.857164,17.641369
inc_hi5,-2,.81919259,11.924745,-22.553307,24.191692
inc_hi5,-1,0,,,
inc_hi5,0,13.615032,12.550081,-10.983127,38.213192
inc_hi5,1,13.945857,8.3115072,-2.344697,30.236412
inc_hi5,2,11.73691,8.5216951,-4.9656124,28.439432
inc_hi5,3,18.839075,7.5176625,4.1044564,33.573692
inc_hi5,99,17.639919,4.8859367,8.0634832,27.216354
inc_lo14,-4,-4.463491,2.5372787,-9.4365568,.50957519
inc_lo14,-3,-1.5103849,3.0965278,-7.5795794,4.5588098
inc_lo14,-2,-3.1185362,3.2456739,-9.4800568,3.2429845
inc_lo14,-1,0,,,
inc_lo14,0,5.5533686,2.8619304,-.056014959,11.162752
inc_lo14,1,3.6789134,3.6667306,-3.5078788,10.865705
inc_lo14,2,2.9762325,3.8760781,-4.6208806,10.573345
inc_lo14,3,6.4306149,3.2824175,-.0029234218,12.864153
inc_lo14,99,7.8726325,2.0055823,3.9416912,11.803574
