outcome,h,b,se,lb,ub
purch_oo_n,-3,-.19373894,.074004143,-.33878705,-.048690815
purch_oo_n,-2,-.039795876,.052399002,-.14249793,.062906168
purch_oo_n,0,.018654365,.056095228,-.091292284,.12860101
purch_oo_n,1,-.068158016,.063938461,-.19347739,.057161368
purch_oo_n,2,-.13400756,.073341064,-.27775604,.0097409273
purch_oo_n,3,-.18706289,.088287286,-.36010596,-.014019808
purch_oo_n,-1,0,,,
purch_oo_n,99,.013026537,.054010667,-.092834368,.11888745
purch_nonoo_n,-3,-.061490692,.1122572,-.28151479,.15853341
purch_nonoo_n,-2,.24951741,.097825259,.057779904,.44125491
purch_nonoo_n,0,.13072522,.12373006,-.11178569,.37323612
purch_nonoo_n,1,.14161971,.1220821,-.097661205,.38090062
purch_nonoo_n,2,-.05381114,.13707648,-.32248104,.21485877
purch_nonoo_n,3,-.021025935,.1384006,-.2922911,.25023925
purch_nonoo_n,-1,0,,,
purch_nonoo_n,99,.030674366,.1243233,-.2129993,.27434805
refi_n,-3,-.15961264,.079057291,-.31456494,-.0046603503
refi_n,-2,-.15360278,.075280949,-.30115345,-.0060521178
refi_n,0,.062447373,.07349804,-.081608787,.20650353
refi_n,1,.047380146,.096254073,-.14127783,.23603813
refi_n,2,.003455163,.11289121,-.21781161,.22472194
refi_n,3,.0028793612,.12382449,-.23981665,.24557537
refi_n,-1,0,,,
refi_n,99,.1109696,.070057996,-.026344076,.24828327
cashout_n,-3,-.34177506,.098978341,-.53577262,-.14777751
cashout_n,-2,-.1092109,.076883085,-.25990176,.041479945
cashout_n,0,-.045021486,.09038835,-.22218265,.13213968
cashout_n,1,.0157253,.086918958,-.15463586,.18608646
cashout_n,2,-.016616313,.10453013,-.22149536,.18826273
cashout_n,3,-.054523341,.11045486,-.27101487,.16196817
cashout_n,-1,0,,,
cashout_n,99,.088750429,.073895492,-.056084733,.2335856
total_n,-3,-.18374556,.06095989,-.30322695,-.064264178
total_n,-2,-.035029415,.042836368,-.11898869,.048929866
total_n,0,.024059156,.049521863,-.073003694,.12112201
total_n,1,-.028095305,.056814611,-.13945194,.083261333
total_n,2,-.10159757,.068220153,-.23530906,.032113932
total_n,3,-.1467507,.079302117,-.30218285,.0086814463
total_n,-1,0,,,
total_n,99,.030593026,.051655304,-.070651367,.13183743
