outcome,h,b,se,lb,ub
purch_oo_n,-3,-.16179259,.080641739,-.31985039,-.0037347826
purch_oo_n,-2,-.022816492,.051945996,-.12463064,.078997657
purch_oo_n,-1,0,,,
purch_oo_n,0,.010566095,.052474134,-.092283204,.1134154
purch_oo_n,1,-.078425579,.066988438,-.20972292,.05287176
purch_oo_n,2,-.12537192,.073476397,-.26938567,.018641818
purch_oo_n,3,-.18213706,.086291142,-.3512677,-.013006419
purch_oo_n,99,-.0054744831,.054367822,-.11203542,.10108645
purch_nonoo_n,-3,-.090314738,.1320653,-.34916273,.16853324
purch_nonoo_n,-2,.16085993,.10152295,-.03812506,.35984492
purch_nonoo_n,-1,0,,,
purch_nonoo_n,0,.083980463,.11155785,-.13467292,.30263385
purch_nonoo_n,1,.13011557,.12315248,-.11126329,.37149444
purch_nonoo_n,2,-.077525072,.12914966,-.33065841,.17560826
purch_nonoo_n,3,-.085739613,.13830112,-.35680979,.18533058
purch_nonoo_n,99,.030301815,.11267564,-.19054244,.25114608
refi_n,-3,-.19608574,.072904103,-.33897778,-.053193696
refi_n,-2,-.15416345,.075612783,-.3023645,-.0059623946
refi_n,-1,0,,,
refi_n,0,.060652621,.073427215,-.083264723,.20456997
refi_n,1,.033567656,.093870535,-.15041859,.2175539
refi_n,2,.0034421429,.10678209,-.20585075,.21273503
refi_n,3,.059442427,.11612935,-.16817109,.28705594
refi_n,99,.11122596,.068718322,-.023461947,.24591388
cashout_n,-3,-.34978989,.092311338,-.53072011,-.16885966
cashout_n,-2,-.11692378,.083708592,-.28099263,.047145061
cashout_n,-1,0,,,
cashout_n,0,-.057428934,.088140115,-.23018356,.11532569
cashout_n,1,.010598988,.094027214,-.17369436,.19489233
cashout_n,2,-.049434382,.10557149,-.25635451,.15748574
cashout_n,3,.0075559299,.11471298,-.21728152,.23239338
cashout_n,99,.089485668,.073274888,-.054133113,.23310445
total_n,-3,-.17438768,.062706761,-.29729292,-.051482428
total_n,-2,-.034751948,.042166412,-.11739811,.047894221
total_n,-1,0,,,
total_n,0,.01162118,.045107257,-.076789044,.10003141
total_n,1,-.041113198,.058198441,-.15518214,.072955742
total_n,2,-.10394616,.066899531,-.23506923,.027176924
total_n,3,-.13384496,.074738368,-.28033215,.012642246
total_n,99,.018995747,.04939203,-.077812634,.11580413
