outcome,h,b,se
purch_oo_n,-3,-.32736641,.37804595
purch_oo_n,-2,.23081461,.16104783
purch_oo_n,0,.66521442,.2723439
purch_oo_n,1,.56058294,.26775271
purch_oo_n,2,.5639475,.27335376
purch_oo_n,3,.3686561,.26951817
purch_oo_n,99,.53715706,.31156605
purch_nonoo_n,-3,-.094078861,.41496977
purch_nonoo_n,-2,.088751197,.14933838
purch_nonoo_n,0,.068823412,.25577602
purch_nonoo_n,1,.026273187,.2952868
purch_nonoo_n,2,-.11748823,.28310704
purch_nonoo_n,3,-.23095891,.25131676
purch_nonoo_n,99,-.048885513,.30232862
refi_n,-3,-.35000563,.19201057
refi_n,-2,-.48055565,.31525284
refi_n,0,.38759214,.34315175
refi_n,1,-.050909791,.32445627
refi_n,2,.16118817,.29243201
refi_n,3,.32890224,.31757906
refi_n,99,.39236733,.36845219
cashout_n,-3,-.86461663,.41672575
cashout_n,-2,-.48470512,.38013104
cashout_n,0,.21897006,.27024889
cashout_n,1,-.10138965,.27729344
cashout_n,2,.11967194,.30535102
cashout_n,3,.27340859,.28418183
cashout_n,99,.36629468,.30843121
total_n,-3,-.28810424,.32751125
total_n,-2,.052727867,.11580253
total_n,0,.47240454,.23717526
total_n,1,.32573226,.23999605
total_n,2,.33844054,.23412724
total_n,3,.25236148,.22772367
total_n,99,.39541608,.27119386
