test,h,b,se,lb,ub
refi_hisp_n,-4,-.14738685,.046065461,-.23767515,-.057098545
refi_hisp_n,-3,-.068324693,.048747174,-.16386916,.027219769
refi_hisp_n,-2,-.0078396657,.038401753,-.083107099,.067427769
refi_hisp_n,-1,0,,,
refi_hisp_n,0,.045039758,.044841539,-.04284966,.13292918
refi_hisp_n,1,.10762037,.052480616,.0047583594,.21048237
refi_hisp_n,2,.11413787,.062726654,-.0088063693,.23708211
refi_hisp_n,3,.27102444,.069334812,.1351282,.40692067
refi_hisp_n,99,.2058406,.037153929,.1330189,.27866229
refi_nonhisp_n,-4,-.060553983,.38353661,-.81228572,.69117779
refi_nonhisp_n,-3,.20489739,.43591353,-.64949316,1.0592879
refi_nonhisp_n,-2,.25570127,.43404382,-.59502465,1.1064272
refi_nonhisp_n,-1,0,,,
refi_nonhisp_n,0,.16965139,.35899845,-.53398556,.87328833
refi_nonhisp_n,1,.53673446,.37078652,-.19000712,1.263476
refi_nonhisp_n,2,.89047253,.47673902,-.043935947,1.824881
refi_nonhisp_n,3,1.2408816,.4176212,.42234403,2.0594192
refi_nonhisp_n,99,.55556691,.1999855,.16359532,.9475385
