test,h,b,se,lb,ub
refi_hisp_n,-4,-.18914521,.044853821,-.27705869,-.10123172
refi_hisp_n,-3,-.12347171,.047463164,-.21649951,-.030443907
refi_hisp_n,-2,-.029565101,.041867275,-.11162496,.052494757
refi_hisp_n,-1,0,,,
refi_hisp_n,0,.011052946,.042419508,-.072089292,.09419518
refi_hisp_n,1,.073322892,.051386707,-.027395053,.17404084
refi_hisp_n,2,.069389969,.059820142,-.047857508,.18663745
refi_hisp_n,3,.32470784,.06397222,.19932228,.45009339
refi_hisp_n,99,.2389781,.037515379,.16544797,.31250826
refi_nonhisp_n,-4,.19758126,.35889277,-.50584859,.90101111
refi_nonhisp_n,-3,.45185471,.43257123,-.39598492,1.2996943
refi_nonhisp_n,-2,.37328076,.4172774,-.44458294,1.1911445
refi_nonhisp_n,-1,0,,,
refi_nonhisp_n,0,.39882362,.34439856,-.27619755,1.0738448
refi_nonhisp_n,1,.39797825,.43148512,-.44773257,1.2436891
refi_nonhisp_n,2,.90538138,.43282801,.057038482,1.7537243
refi_nonhisp_n,3,1.7554642,.34284723,1.0834836,2.4274447
refi_nonhisp_n,99,.70283818,.16719869,.37512875,1.0305476
cashout_hisp_n,-4,-.34513715,.12096896,-.58223629,-.10803799
cashout_hisp_n,-3,-.37469262,.1055343,-.58153987,-.16784538
cashout_hisp_n,-2,-.095133334,.085809849,-.26332062,.073053971
cashout_hisp_n,-1,0,,,
cashout_hisp_n,0,-.088852689,.099701762,-.28426814,.10656276
cashout_hisp_n,1,.019590864,.10488459,-.18598294,.22516467
cashout_hisp_n,2,-.038340636,.1127131,-.2592583,.18257704
cashout_hisp_n,3,.029632211,.12614788,-.21761763,.27688205
cashout_hisp_n,99,.079128914,.081669703,-.080943704,.23920153
cashout_nonhisp_n,-4,-.69821101,.7125982,-2.0949035,.69848144
cashout_nonhisp_n,-3,-.69025952,1.0522919,-2.7527516,1.3722326
cashout_nonhisp_n,-2,-.63268155,.93586135,-2.4669697,1.2016068
cashout_nonhisp_n,-1,0,,,
cashout_nonhisp_n,0,-.98552489,.65157902,-2.2626197,.29156998
cashout_nonhisp_n,1,-.93471342,.70251328,-2.3116395,.44221261
cashout_nonhisp_n,2,-1.1163452,.88935131,-2.8594737,.62678337
cashout_nonhisp_n,3,-2.1862261,.95433319,-4.0567193,-.31573308
cashout_nonhisp_n,99,-.73420691,.6501981,-2.0085952,.54018134
refirt_hisp_n,-4,-.41396517,.11050333,-.6305517,-.19737864
refirt_hisp_n,-3,-.13513041,.079291195,-.29054114,.020280337
refirt_hisp_n,-2,-.15799381,.082123101,-.31895509,.0029674692
refirt_hisp_n,-1,0,,,
refirt_hisp_n,0,.09050744,.075258017,-.056998271,.23801315
refirt_hisp_n,1,.037505727,.10256676,-.16352513,.23853658
refirt_hisp_n,2,.010622743,.11664557,-.21800257,.23924805
refirt_hisp_n,3,.069365397,.12672397,-.17901359,.31774437
refirt_hisp_n,99,.12321156,.070712298,-.015384549,.26180765
refirt_nonhisp_n,-4,1.2372389,1.3074281,-1.3253202,3.799798
refirt_nonhisp_n,-3,0,0,0,0
refirt_nonhisp_n,-2,.72716796,1.033448,-1.29839,2.7527261
refirt_nonhisp_n,-1,0,,,
refirt_nonhisp_n,0,.88567406,1.2029959,-1.4721979,3.243546
refirt_nonhisp_n,1,.69679272,1.226849,-1.7078313,3.1014166
refirt_nonhisp_n,2,.81560838,1.1827205,-1.5025239,3.1337407
refirt_nonhisp_n,3,-.038616057,1.2725141,-2.5327437,2.4555116
refirt_nonhisp_n,99,.80464256,.73730665,-.64047849,2.2497635
