test,matrix_type,row,rowname,c1,c2,c3,c4,c5,c6,c7
T_iany_base,event,1,pre4,.6206331229620167,.6559675920497544,.9500000000000001,.3458,-.6770272481169596,1.918293494040993,1411
T_iany_base,event,2,pre3,-.260200047226931,.4074898799773213,-.64,.5242,-1.06631223214443,.5459121376905682,1543
T_iany_base,event,3,pre2,-.383847923615305,.4320028699654915,-.89,.3759,-1.238452650039171,.4707568028085609,1674
T_iany_base,event,4,pre1,0,,,,,,
T_iany_base,event,5,tau0,-.434394785386085,.3915260658605567,-1.11,.2693,-1.208926737984691,.3401371672125205,1807
T_iany_base,event,6,tau1,.4700255297694257,.4621176612133506,1.02,.311,-.4441534373018328,1.384204496840684,1670
T_iany_base,event,7,tau2,.2893085866095313,1.129659584934009,.26,.7983,-1.945427540517921,2.524044713736983,1531
T_iany_base,event,8,tau3,-.6225181687977266,.5463829669466991,-1.14,.2566,-1.703394011190726,.4583576735952726,1389
T_iany_base,pooled,1,Pre,-.0749945064037617,.4364692028864046,-.17,.8638,-.9384347047408113,.7884456919332881,1410
T_iany_base,pooled,2,Post,.261936463440355,.5037582798566257,.52,.604,-.7346175802284254,1.258490507109135,1387
T_iany_dose14,event,1,pre4,.1457041570605768,.5019262697357443,.29,.7722,-.850882217588403,1.142290531709557,1164
T_iany_dose14,event,2,pre3,-.2366491440767802,.438651260582249,-.54,.5908,-1.107601504767171,.6343032166136109,1259
T_iany_dose14,event,3,pre2,-.3358126340893124,.369657020676346,-.91,.366,-1.069775314092765,.3981500459141401,1353
T_iany_dose14,event,4,pre1,0,,,,,,
T_iany_dose14,event,5,tau0,-1.111040023933282,.4210499880292889,-2.64,.0097,-1.947044645363087,-.2750354025034761,1449
T_iany_dose14,event,6,tau1,.2468846013487393,.4774688595789468,.52,.6063000000000001,-.7011410121065729,1.194910214804051,1349
T_iany_dose14,event,7,tau2,-1.222611566272255,.6997908314867898,-1.75,.0839,-2.612062666592598,.1668395340480877,1248
T_iany_dose14,event,8,tau3,-1.235163904305281,.7536984574243413,-1.64,.1046,-2.731649859620008,.2613220510094461,1145
T_iany_dose14,pooled,1,Pre,-.2618774218343426,.3213008827613869,-.8200000000000001,.4171,-.8998278564495092,.3760730127808241,1163
T_iany_dose14,pooled,2,Post,-.4333084611423781,.4339182145506401,-1,.3206,-1.294863247985576,.4282463257008197,1143
T_iany_dose5,event,1,pre4,1.191117982031518,1.295755486228734,.92,.3608,-1.388533029623623,3.77076899368666,828
T_iany_dose5,event,2,pre3,-.2575791583210332,.7271088513997351,-.35,.7241000000000001,-1.705141683837231,1.189983367195164,907
T_iany_dose5,event,3,pre2,-.4756211109161573,.8189951714463997,-.58,.5631,-2.10611524736115,1.154873025528835,985
T_iany_dose5,event,4,pre1,0,,,,,,
T_iany_dose5,event,5,tau0,.3709590903958419,.6812286362457451,.54,.5876,-.9852629432645851,1.727181124056269,1065
T_iany_dose5,event,6,tau1,.7345722177119368,.785446816281459,.9400000000000001,.3526,-.8291322741894799,2.298276709613353,985
T_iany_dose5,event,7,tau2,1.663723843520865,2.002528531072655,.8300000000000001,.4086,-2.32300421277691,5.650451899818639,906
T_iany_dose5,event,8,tau3,-.0777611618969212,.7432164547346241,-.1,.9169,-1.557391462297964,1.401869138504121,826
T_iany_dose5,pooled,1,Pre,.1526392279639002,.8666310825635452,.18,.8606,-1.572690722498836,1.877969178426636,827
T_iany_dose5,pooled,2,Post,.8363415232965249,.7988295341384647,1.05,.2984,-.7540059132232456,2.426688959816295,824
T_iany_min20,event,1,pre4,-.0404407577182424,.4417713481482661,-.09,.9272,-.9149000542087433,.8340185387722585,1317
T_iany_min20,event,2,pre3,-.5236090656610499,.3639608877863895,-1.44,.1528,-1.244047326806333,.1968291954842331,1441
T_iany_min20,event,3,pre2,-.6462938451289391,.3738752189585839,-1.73,.0864,-1.38635691693329,.0937692266754121,1564
T_iany_min20,event,4,pre1,0,,,,,,
T_iany_min20,event,5,tau0,-.6482641395793036,.3373702202017885,-1.92,.057,-1.316014308359305,.0194860292006976,1689
T_iany_min20,event,6,tau1,.5426616837361582,.4572878023439313,1.19,.2376,-.3625114824447208,1.447834849917037,1560
T_iany_min20,event,7,tau2,-.4753557808412283,.363407725082172,-1.31,.1933,-1.194699090330632,.2439875286481757,1428
T_iany_min20,event,8,tau3,-.3519690240740531,.5196488927809431,-.68,.4995,-1.380582145110555,.676644096962449,1293
T_iany_min20,pooled,1,Pre,-.4034479009470241,.3344302416314946,-1.21,.23,-1.065432058697506,.258536256803458,1316
T_iany_min20,pooled,2,Post,-.1946115137752629,.3759312488180873,-.52,.6056,-.9387443706212218,.5495213430706961,1293
T_iany_muni,event,1,pre4,.6032737642230318,.7484764915748245,.8100000000000001,.4217,-.8773912771182294,2.083938805564293,1411
T_iany_muni,event,2,pre3,-.1854565672510824,.465868037129503,-.4,.6912,-1.107054672496275,.7361415379941102,1543
T_iany_muni,event,3,pre2,-.3876914780514777,.4590368020861986,-.84,.3999,-1.295775770863465,.520392814760509,1674
T_iany_muni,event,4,pre1,0,,,,,,
T_iany_muni,event,5,tau0,-.4040520888185847,.4282699711901226,-.9400000000000001,.3472,-1.25127225102197,.4431680733848006,1807
T_iany_muni,event,6,tau1,.4521062112652224,.4955811103532671,.91,.3633,-.5282714405501946,1.432483863080639,1670
T_iany_muni,event,7,tau2,.3068069402005875,1.249199497182846,.25,.8064,-2.164407648313731,2.778021528714906,1531
T_iany_muni,event,8,tau3,-.6598272829302866,.6627447745147721,-1,.3213,-1.970894537548957,.651239971688384,1389
T_iany_muni,pooled,1,Pre,-.1919920178991822,.4879414345361075,-.39,.6946,-1.157256568585868,.7732725327875034,1410
T_iany_muni,pooled,2,Post,.2678156702382986,.5632466662633544,.48,.6352,-.8464205920569012,1.382051932533498,1387
T_ioff_base,event,1,pre4,.3843788784543619,.2747387700303399,1.4,.1642,-.1591199446404091,.927877701549133,1411
T_ioff_base,event,2,pre3,-.0867103430432594,.2216727979346833,-.39,.6963,-.5252320150166787,.3518113289301599,1543
T_ioff_base,event,3,pre2,.0321849779317077,.1918366038005204,.17,.867,-.3473135849415512,.4116835408049665,1674
T_ioff_base,event,4,pre1,0,,,,,,
T_ioff_base,event,5,tau0,-.0692583361571906,.2208880073487146,-.31,.7544000000000001,-.5062275051482213,.3677108328338401,1807
T_ioff_base,event,6,tau1,.1633328382838365,.2407701774828546,.68,.4987,-.3129680059100852,.6396336824777582,1670
T_ioff_base,event,7,tau2,-.1260060392089413,.3851028132115987,-.33,.744,-.8878312658701643,.6358191874522817,1531
T_ioff_base,event,8,tau3,-.2891780732479033,.3494714866622076,-.8300000000000001,.4095,-.9805160365252183,.4021598900294117,1389
T_ioff_base,pooled,1,Pre,.0418192850827912,.1691233483518239,.25,.8051,-.2927470405104717,.376385610676054,1410
T_ioff_base,pooled,2,Post,-.0368693205302646,.2266488510498379,-.16,.871,-.48523481254934,.4114961714888108,1387
T_ioff_dose14,event,1,pre4,.3454296865124512,.3050136630284516,1.13,.2603,-.2601820915201402,.9510414645450426,1164
T_ioff_dose14,event,2,pre3,.0967007441548721,.2726277279792247,.35,.7236,-.44460800065071,.6380094889604544,1259
T_ioff_dose14,event,3,pre2,.0972675717829351,.2055581702028294,.47,.6372,-.3108729938219877,.5054081373878578,1353
T_ioff_dose14,event,4,pre1,0,,,,,,
T_ioff_dose14,event,5,tau0,.0317638242168694,.3112890975290978,.1,.9189000000000001,-.5863079761246535,.6498356245583923,1449
T_ioff_dose14,event,6,tau1,.0808886225675034,.2527376089662623,.32,.7496,-.4209278246763253,.5827050698113321,1349
T_ioff_dose14,event,7,tau2,-.7261311398491537,.5011235699660679,-1.45,.1507,-1.72112373528866,.2688614555903528,1248
T_ioff_dose14,event,8,tau3,-1.099209868112384,.5486131293945861,-2,.048,-2.188494097041131,-.0099256391836375,1145
T_ioff_dose14,pooled,1,Pre,.0585261180628044,.1738833138383529,.34,.7372000000000001,-.2867232777126927,.4037755138383015,1163
T_ioff_dose14,pooled,2,Post,-.4202278658672008,.2568857570975699,-1.64,.1052,-.930280558466076,.0898248267316744,1143
T_ioff_dose5,event,1,pre4,.3999525228067244,.4587486387793666,.87,.386,-.5133458600285303,1.313250905641979,828
T_ioff_dose5,event,2,pre3,-.3008602609600521,.3441981554076405,-.87,.3848,-.9861061497437438,.3843856278236396,907
T_ioff_dose5,event,3,pre2,-.0395372310761017,.3440729011356307,-.11,.9088000000000001,-.7245337577595065,.645459295607303,985
T_ioff_dose5,event,4,pre1,0,,,,,,
T_ioff_dose5,event,5,tau0,-.1958902075432846,.2947869217264639,-.66,.5083,-.7827658865864364,.3909854714998673,1065
T_ioff_dose5,event,6,tau1,.2518297838806953,.4166234243603323,.6,.5473,-.5776037393053612,1.081263307066752,985
T_ioff_dose5,event,7,tau2,.3699408821204765,.5145986958330971,.72,.4744,-.6545464230931636,1.394428187334117,906
T_ioff_dose5,event,8,tau3,.3211240868938587,.4070755543908087,.79,.4326,-.4893010873499766,1.131549261137694,826
T_ioff_dose5,pooled,1,Pre,.0198516840817691,.3026852405551844,.07,.9479000000000001,-.582748339850081,.6224517080136194,827
T_ioff_dose5,pooled,2,Post,.2691641369567935,.3360287847515649,.8,.4256,-.3998177842022138,.9381460581158009,824
T_ioff_min20,event,1,pre4,.1074217303906559,.1896224285116788,.5700000000000001,.5721000000000001,-.267924240166701,.4827677009480127,1317
T_ioff_min20,event,2,pre3,-.2325028538627022,.1872741161507119,-1.24,.2168,-.6032004840880784,.138194776362674,1441
T_ioff_min20,event,3,pre2,-.0071871610553626,.1927859045179594,-.04,.9703000000000001,-.3887950383989158,.3744207162881906,1564
T_ioff_min20,event,4,pre1,0,,,,,,
T_ioff_min20,event,5,tau0,-.1746648880573281,.1758282649570017,-.99,.3225,-.5226782768238516,.1733485007091954,1689
T_ioff_min20,event,6,tau1,.1894909032216268,.2373641299142389,.8,.4262,-.2803568379841308,.6593386444273844,1560
T_ioff_min20,event,7,tau2,-.0007899145709241,.2078447005942639,0,.997,-.4122057554188456,.4106259262769975,1428
T_ioff_min20,event,8,tau3,-.0300012945512688,.2724782136023634,-.11,.9125000000000001,-.5693552114009038,.5093526222983663,1293
T_ioff_min20,pooled,1,Pre,-.0440894172194979,.1602199354389922,-.28,.7836000000000001,-.361234955550591,.2730561211115951,1316
T_ioff_min20,pooled,2,Post,-.0783639394520568,.2119746939777835,-.37,.7123,-.4979548489724964,.3412269700683829,1293
T_ioff_muni,event,1,pre4,.5146737302774967,.3176814991996731,1.62,.1076,-.1137760546397819,1.143123515194775,1411
T_ioff_muni,event,2,pre3,.0463818785712721,.2613676104153163,.18,.8594000000000001,-.4706656012588585,.5634293584014026,1543
T_ioff_muni,event,3,pre2,.0773408614117892,.2010613739089281,.38,.7011000000000001,-.320406497205462,.4750882200290404,1674
T_ioff_muni,event,4,pre1,0,,,,,,
T_ioff_muni,event,5,tau0,-.0366575175186345,.2580932666978174,-.14,.8873000000000001,-.5472275644161219,.4739125293788528,1807
T_ioff_muni,event,6,tau1,.0688348620373084,.2563818191343313,.27,.7887000000000001,-.4383495333322188,.5760192574068356,1670
T_ioff_muni,event,7,tau2,-.2504307258437548,.4305527061324401,-.58,.5618000000000001,-1.10216668228488,.6013052305973707,1531
T_ioff_muni,event,8,tau3,-.4380192324507334,.4062809780755853,-1.08,.283,-1.24173992103607,.3657014561346027,1389
T_ioff_muni,pooled,1,Pre,.0609864388357295,.1823309621987526,.33,.7386,-.2997076974808006,.4216805751522595,1410
T_ioff_muni,pooled,2,Post,-.1440330700617126,.2379844766741417,-.61,.5461,-.6148231335570732,.3267569934336481,1387
T_iwithin_base,event,1,pre4,.2362542179964492,.4844959261444905,.49,.6266,-.7221942952026981,1.194702731195596,1411
T_iwithin_base,event,2,pre3,-.173489639503725,.3202300948549074,-.54,.5889,-.8069811545671033,.4600018755596533,1543
T_iwithin_base,event,3,pre2,-.4160328622315682,.3736472511837091,-1.11,.2676,-1.155196254600676,.3231305301375395,1674
T_iwithin_base,event,4,pre1,0,,,,,,
T_iwithin_base,event,5,tau0,-.3651364445772167,.2974036386350011,-1.23,.2217,-.9534717842323213,.223198895077888,1807
T_iwithin_base,event,6,tau1,.3066926441181138,.333646797651609,.92,.3597,-.3533403094870996,.9667255977233272,1670
T_iwithin_base,event,7,tau2,.4153145824973799,1.060210198793104,.39,.6959000000000001,-1.682034092440242,2.512663257435002,1531
T_iwithin_base,event,8,tau3,-.3333401183356435,.3926640229020326,-.85,.3975,-1.110123221409685,.443442984738398,1389
T_iwithin_base,pooled,1,Pre,-.1168137452039718,.3457527084261398,-.34,.736,-.8007950780558462,.5671675876479025,1410
T_iwithin_base,pooled,2,Post,.2988057335523819,.4021448512560776,.74,.4588,-.4967327095554597,1.094344176660224,1387
