test,b,se,r2,nobs
T1_baseline,.0532454824027482,.014006177,.15432808,12379
T2_comp_lnstru,.0168564679533448,.0091882367,.011808136,12252
T2_comp_lncab,-.0031310865556611,.012203909,.011130992,12358
T2_comp_subu,.0044208416914509,.004031165,.0092082759,12379
T2_comp_vac,-.0034053108776741,.003766156,.013975207,12379
T3_gradient_gap,.0403853539432632,.017782589,.14148851,12317
T4_dose_low,-.0260754338491079,.041261133,.054056428,2333
T4_dose_mid,.0388292303725401,.021972235,.23689461,3635
T4_dose_high,.0731461190698192,.019145843,.22465131,6411
T5_late,.056341605479575,.014474987,.11458431,11140
T7_buy_nh,.0250419094659582,.0068391701,.018933494,12230
T7_sell_nh,-.0054839616631579,.0065877354,.034708593,12189
T7_isl2main,.020367293507046,.0064703999,.020125281,12035
T7_main2main,.0023180520623338,.0045404579,.0070984657,12035
T8_incl_investors,.0530143497427339,.013478871,.15617962,12404
T8_hisp_buyers,.0378708674355207,.01507496,.1038862,12034
T6_real_far750,.0442834109761769,.014570396,.10920185,12036
T6_placebo,-.0033481215068464,.013971184,.25842318,7932
D_0_250,.0658187157523254,.014212199,.12494615,12518
D_250_500,.0631896274591934,.014581639,.12182741,12534
D_500_1000,.0337165654008088,.011526719,.1254909,12606
D_1000_1500,.0194795862345727,.011206927,.12321535,12612
C_400_1000,.0532681918322369,.014008414,.15434764,12379
C_1000_1500,.0782486180031492,.014077528,.12880222,12371
C_1500_2000,.0658187157523254,.014212199,.12494615,12518
C_2000_2500,.0659878900023472,.014298424,.16624436,12459
C_2500_3500,.1191711577710273,.013782419,.18107359,12597
D35_0_250,.1191711577710273,.013782419,.18107359,12597
D35_250_500,.1158885731888463,.014168006,.17344719,12613
D35_500_1000,.0861736781325461,.010954057,.18387425,12685
D35_1000_1750,.0754432258922631,.0090617333,.18843967,12699
D35_1750_2500,.0687528491314078,.0085881725,.18597883,12704
D5K_0_250,.1546889836694994,.013608846,.2199236,12586
D5K_250_500,.1514205843858349,.013984566,.21028802,12602
D5K_500_1000,.1217880887899107,.010727034,.2246554,12674
D5K_1000_1750,.1110389099019621,.0087951096,.23138149,12688
D5K_1750_2500,.1043284529215925,.008296662,.22914714,12693
D5K_2500_3500,.0511947309295453,.0072001605,.22523673,12695
D5K_3500_4000,.013492512909835,.0084044402,.21183445,12691
T_lnhp_base,6.441931085357313,1.4136353,.15327989,11714
T_lnhp_fips,6.441931085357313,1.4136353,.15327989,11714
T_lnhpsimple_base,5.685692292175979,1.4510918,.16798589,11714
T_lnsales_base,-.4849935111932569,2.1254852,.72033536,11714
T_lnhp_dose5,16.30057310551049,2.5439487,.1515606,11476
T_lnhp_dose14,4.128373872364509,1.5911601,.15279743,11670
